Dataset,Filename,Column,Coder,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30
IRKIS
,vwc_1202.dat.csv
,,VWC
,,,CoderPCA,5,5,10,10,25,25,25,25,,48.03,48.03,41.9,25.05,14.67,11.43,10.6,9.32
,,,CoderAPCA,50,50,50,200,200,200,200,200,,26.09,26.09,20.91,9.69,3.16,2.2,1.98,1.65
,,,CoderPWLH,100,100,200,200,200,200,200,200,,92.2,92.2,72.77,31.33,9.31,6.49,5.71,4.89
,,,CoderPWLHint,50,50,50,50,100,200,200,200,,34.68,34.68,34.68,34.68,26.48,11.62,7.16,2.4
,,,CoderGAMPS,25,25,25,25,25,25,25,200,,33.48,33.48,33.48,33.48,32.63,32.63,32.63,5.52
,vwc_1205.dat.csv
,,VWC
,,,CoderPCA,100,100,25,25,25,25,25,25,,18.43,18.43,16.0,14.87,12.7,11.43,11.08,10.41
,,,CoderAPCA,200,200,200,200,200,200,200,200,,12.06,11.14,5.33,3.93,2.95,2.53,2.37,2.06
,,,CoderPWLH,200,200,200,200,200,200,200,200,,33.58,30.89,12.0,8.4,6.94,6.17,5.91,5.36
,,,CoderPWLHint,200,200,200,200,200,200,200,200,,13.21,13.21,12.16,7.88,4.0,2.76,2.66,2.31
,,,CoderGAMPS,100,100,100,200,200,200,200,200,,14.21,14.21,14.21,13.43,13.43,5.22,5.22,5.12
,vwc_333.smet.csv
,,VWC
,,,CoderPCA,5,5,5,10,10,10,25,25,,58.46,45.7,38.31,27.36,17.87,15.26,12.3,9.54
,,,CoderAPCA,25,50,50,100,200,200,200,200,,32.68,22.67,16.83,9.54,4.36,3.02,2.23,1.68
,,,CoderPWLH,50,100,200,200,200,200,200,200,,116.65,74.53,53.53,28.4,11.84,8.35,6.24,5.06
,,,CoderPWLHint,25,25,50,100,200,200,200,200,,43.11,43.11,27.98,20.34,18.81,9.88,3.36,2.27
,,,CoderGAMPS,10,10,10,10,10,10,50,50,,57.18,57.18,57.18,57.18,54.69,54.69,18.94,18.38
,vwc_1204.dat.csv
,,VWC
,,,CoderPCA,50,10,10,10,25,25,25,25,,34.26,28.91,24.79,19.33,13.36,12.47,10.83,9.6
,,,CoderAPCA,100,100,200,200,200,200,200,200,,18.53,13.02,10.06,5.91,3.0,2.74,2.17,1.77
,,,CoderPWLH,200,200,200,200,200,200,200,200,,58.02,38.58,28.91,15.33,7.02,6.56,5.45,4.63
,,,CoderPWLHint,100,100,200,200,200,200,200,200,,22.44,22.44,15.11,14.24,5.9,5.53,2.63,2.08
,,,CoderGAMPS,50,50,50,50,50,50,200,200,,25.95,25.95,25.95,25.95,23.1,23.1,6.1,5.77
,vwc_1203.dat.csv
,,VWC
,,,CoderPCA,100,100,10,10,25,25,25,25,,26.11,26.11,22.27,17.25,14.67,11.1,9.4,8.06
,,,CoderAPCA,100,100,200,200,200,200,200,200,,14.84,14.84,7.34,4.35,3.01,2.25,1.89,1.56
,,,CoderPWLH,200,200,200,200,200,200,200,200,,44.09,44.09,19.66,9.53,6.66,5.06,4.36,3.77
,,,CoderPWLHint,200,200,200,200,200,200,200,200,,17.25,17.25,17.25,13.9,6.8,2.59,2.06,1.68
,,,CoderGAMPS,100,100,100,100,100,200,200,200,,21.2,21.2,21.2,18.35,18.35,6.42,6.42,5.88
,vwc_222.smet.csv
,,VWC
,,,CoderPCA,5,5,5,10,10,10,25,25,,57.46,57.46,39.79,24.39,18.06,15.49,13.43,9.75
,,,CoderAPCA,25,25,50,100,200,200,200,200,,32.19,32.19,18.1,7.88,4.32,3.12,2.45,1.73
,,,CoderPWLH,50,50,200,200,200,200,200,200,,115.8,115.8,59.64,21.29,11.66,8.28,6.6,5.07
,,,CoderPWLHint,25,25,25,25,100,200,200,200,,42.81,42.81,42.81,42.81,14.95,5.33,3.52,2.28
,,,CoderGAMPS,25,25,25,25,25,100,100,100,,47.88,47.88,47.88,45.26,45.26,10.59,10.59,10.31
,vwc_SLF2.smet.csv
,,VWC
,,,CoderPCA,5,5,5,10,10,10,25,25,,52.26,52.26,43.22,31.47,16.35,14.84,11.61,8.83
,,,CoderAPCA,25,25,50,100,200,200,200,200,,25.63,25.63,18.54,11.95,4.31,3.26,2.54,1.85
,,,CoderPWLH,100,100,100,200,200,200,200,200,,94.33,94.33,65.62,37.91,11.03,8.81,7.05,5.52
,,,CoderPWLHint,50,50,50,50,100,200,200,200,,35.26,35.26,35.26,28.03,20.81,13.67,6.78,2.71
,,,CoderGAMPS,25,25,25,25,25,25,25,50,,45.06,45.06,45.06,45.06,42.84,42.84,42.84,13.66
NOAA-SST
,noaa-buoy-201710.csv
,,SST
,,,CoderPCA,50,5,5,5,10,10,10,10,,88.66,68.15,42.85,35.42,28.79,25.76,24.67,23.82
,,,CoderAPCA,5,10,50,50,100,200,200,200,,102.87,41.52,19.38,13.37,8.65,7.2,6.52,5.93
,,,CoderPWLH,10,50,100,100,200,200,200,200,,185.31,84.18,38.59,26.88,18.07,15.59,14.57,13.71
,,,CoderPWLHint,5,25,50,100,200,200,200,200,,97.15,48.5,22.29,15.33,10.35,8.9,8.31,7.81
,,,CoderGAMPS,5,5,5,5,5,5,5,5,,110.23,110.09,104.88,99.85,90.68,82.8,75.94,64.89
,noaa-buoy-201703.csv
,,SST
,,,CoderPCA,50,5,5,5,10,10,10,10,,61.16,56.02,40.56,33.61,25.11,21.15,19.21,17.63
,,,CoderAPCA,10,25,50,100,200,200,200,200,,76.57,36.14,18.34,12.22,7.01,5.21,4.35,3.57
,,,CoderPWLH,25,100,200,200,200,200,200,200,,129.95,68.7,34.62,22.81,13.23,10.21,8.83,7.66
,,,CoderPWLHint,25,50,100,100,200,200,200,200,,69.88,40.74,20.88,13.65,7.66,5.86,5.04,4.36
,,,CoderGAMPS,10,10,10,10,10,10,10,10,,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3
NOAA-ADCP
,noaa-adcp-201503.csv
,,Vel
,,,CoderPCA,25,25,25,25,25,5,5,5,,73.47,73.47,73.47,73.47,73.47,70.68,64.95,53.92
,,,CoderAPCA,5,5,5,5,10,10,25,25,,91.66,88.14,79.13,72.36,57.16,46.87,39.53,28.79
,,,CoderPWLH,25,25,25,25,25,50,50,50,,200.35,195.73,182.8,171.48,142.73,120.17,102.96,76.75
,,,CoderPWLHint,10,10,10,10,25,25,25,25,,83.9,83.33,79.29,75.23,64.3,54.56,47.06,35.74
,,,CoderGAMPS,5,5,5,5,5,5,5,5,,97.77,97.77,97.77,97.77,97.77,97.77,97.77,97.77
,noaa-adcp-201508.csv
,,Vel
,,,CoderPCA,25,25,25,25,25,5,5,5,,76.92,76.92,76.92,76.92,76.92,75.73,71.12,60.48
,,,CoderAPCA,5,5,5,5,5,10,10,25,,95.19,92.05,84.27,77.83,63.47,53.44,45.12,33.49
,,,CoderPWLH,25,25,25,25,25,25,25,50,,210.09,206.14,195.17,184.83,158.05,136.27,117.28,89.69
,,,CoderPWLHint,10,10,10,10,10,25,25,25,,87.56,87.12,83.76,80.17,70.4,61.42,53.27,41.21
,,,CoderGAMPS,5,5,5,5,5,5,5,5,,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53
SolarAnywhere
,solar-anywhere-2014.csv
,,GHI
,,,CoderPCA,5,5,5,5,5,5,5,5,,80.2,76.19,74.54,73.37,71.13,69.17,67.32,63.42
,,,CoderAPCA,5,5,25,25,25,25,25,25,,86.62,80.06,75.98,71.5,62.38,55.73,49.98,39.48
,,,CoderPWLH,25,25,25,25,25,25,25,25,,231.53,207.51,192.51,179.39,155.3,139.89,128.27,110.38
,,,CoderPWLHint,10,10,25,25,25,25,25,25,,83.01,81.34,78.82,76.2,69.45,65.09,61.82,56.91
,,,CoderGAMPS,5,10,25,25,25,25,25,25,,87.72,79.26,69.63,65.74,57.22,51.63,47.7,41.42
,,DNI
,,,CoderPCA,5,5,5,5,5,5,5,5,,77.64,74.76,72.45,71.13,68.93,66.95,64.65,61.39
,,,CoderAPCA,5,10,25,25,25,25,25,25,,82.99,77.0,70.18,65.51,57.03,50.79,44.78,36.6
,,,CoderPWLH,25,25,25,25,25,25,25,25,,219.73,203.49,189.17,180.45,164.65,152.25,140.52,121.01
,,,CoderPWLHint,25,25,25,25,25,25,25,25,,79.65,77.56,75.74,73.79,69.71,66.48,63.54,58.54
,,,CoderGAMPS,5,10,25,25,25,25,25,25,,88.56,83.6,76.18,72.78,64.84,60.22,56.03,49.81
,,DHI
,,,CoderPCA,5,5,5,5,5,5,5,5,,80.2,78.66,76.05,74.98,73.4,71.93,70.4,66.98
,,,CoderAPCA,5,5,10,10,25,25,25,25,,85.92,81.91,75.59,71.57,63.99,56.89,50.83,40.92
,,,CoderPWLH,25,25,25,25,25,25,25,25,,230.61,217.45,198.54,188.44,170.54,155.63,142.99,122.98
,,,CoderPWLHint,10,10,10,25,25,25,25,25,,82.7,82.7,78.24,75.42,70.24,65.7,61.94,56.11
,,,CoderGAMPS,5,5,10,25,25,25,25,25,,87.94,87.6,78.8,74.07,68.0,61.77,58.35,51.57
,solar-anywhere-2013.csv
,,GHI
,,,CoderPCA,5,5,5,5,5,5,5,5,,80.35,76.29,74.89,73.67,71.41,69.69,67.72,64.01
,,,CoderAPCA,5,5,25,25,25,25,25,25,,86.89,80.25,76.65,72.14,63.11,56.26,50.23,40.06
,,,CoderPWLH,25,25,25,25,25,25,25,25,,232.41,207.61,192.75,180.32,158.57,142.82,131.18,113.68
,,,CoderPWLHint,10,10,25,25,25,25,25,25,,83.33,81.23,78.87,76.13,69.98,65.69,62.72,58.08
,,,CoderGAMPS,5,10,25,25,25,25,25,25,,88.43,80.64,71.7,68.04,59.41,54.4,49.94,43.65
,,DNI
