Dataset,Filename,Column,Coder,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30
IRKIS
,vwc_1202.dat.csv
,,VWC
,,,CoderPCA,5,5,5,10,10,25,25,25,,71.33,71.33,60.63,37.41,19.4,15.98,13.94,11.39
,,,CoderAPCA,25,25,25,50,200,200,200,200,,44.58,44.58,35.82,17.24,5.67,3.85,3.42,2.79
,,,CoderPWLH,25,25,50,200,200,200,200,200,,168.33,168.33,133.88,57.34,15.61,10.3,8.81,7.22
,,,CoderPWLHint,25,25,25,25,25,100,200,200,,61.53,61.53,61.53,61.53,47.62,21.47,13.14,4.14
,,,CoderGAMPS,10,10,10,10,10,10,10,100,,57.08,57.08,57.08,57.08,55.76,55.76,55.76,9.95
,vwc_1203.dat.csv
,,VWC
,,,CoderPCA,5,5,5,5,10,10,10,10,,76.73,76.73,47.62,33.41,26.84,21.26,18.75,16.58
,,,CoderAPCA,10,10,25,50,100,100,200,200,,50.12,50.12,25.18,15.26,10.5,7.6,6.19,4.81
,,,CoderPWLH,25,25,100,200,200,200,200,200,,169.67,169.67,74.41,33.4,21.6,15.0,12.05,9.66
,,,CoderPWLHint,25,25,25,25,50,200,200,200,,62.55,62.55,62.55,50.78,25.6,9.0,6.8,5.23
,,,CoderGAMPS,5,5,5,10,10,25,25,25,,69.54,69.54,69.54,61.4,61.4,21.92,21.92,20.23
,vwc_1204.dat.csv
,,VWC
,,,CoderPCA,5,5,5,10,10,10,10,25,,74.59,56.79,48.45,35.91,22.09,20.92,18.18,15.59
,,,CoderAPCA,10,25,25,50,200,200,200,200,,48.08,34.09,26.85,16.19,8.08,7.27,5.51,4.26
,,,CoderPWLH,25,50,100,200,200,200,200,200,,168.64,112.32,83.94,42.3,16.67,15.19,11.83,9.28
,,,CoderPWLHint,25,25,25,50,100,200,200,200,,62.05,62.05,42.56,40.67,16.84,15.67,6.76,5.05
,,,CoderGAMPS,10,10,10,10,10,10,50,50,,66.19,66.19,66.19,66.19,59.73,59.73,16.28,15.48
,vwc_1205.dat.csv
,,VWC
,,,CoderPCA,5,5,5,5,10,10,10,10,,83.42,80.73,44.59,36.21,30.8,27.24,26.28,23.9
,,,CoderAPCA,10,10,25,50,50,100,100,200,,61.34,56.74,27.89,20.28,14.91,12.34,11.35,9.34
,,,CoderPWLH,25,25,100,200,200,200,200,200,,199.19,182.01,63.88,39.9,29.87,24.45,22.7,18.96
,,,CoderPWLHint,10,10,25,25,100,200,200,200,,74.31,74.31,68.38,44.9,21.61,13.46,12.74,10.31
,,,CoderGAMPS,5,5,5,10,10,25,25,25,,72.4,72.4,72.4,69.08,69.08,27.42,27.42,27.0
,vwc_222.smet.csv
,,VWC
,,,CoderPCA,5,5,5,10,10,10,10,25,,67.07,67.07,44.82,28.34,20.2,16.91,15.23,11.32
,,,CoderAPCA,25,25,25,100,200,200,200,200,,39.53,39.53,22.37,9.94,5.65,4.13,3.28,2.37
,,,CoderPWLH,50,50,100,200,200,200,200,200,,144.79,144.79,74.91,26.76,14.56,10.3,8.18,6.23
,,,CoderPWLHint,25,25,25,25,100,200,200,200,,52.96,52.96,52.96,52.96,18.87,6.91,4.64,3.06
,,,CoderGAMPS,10,10,10,10,10,50,50,50,,57.81,57.81,57.81,55.14,55.14,13.2,13.2,12.92
,vwc_333.smet.csv
,,VWC
,,,CoderPCA,5,5,5,10,10,10,25,25,,64.61,49.73,41.14,30.07,19.17,15.99,13.15,9.9
,,,CoderAPCA,25,25,50,100,200,200,200,200,,37.4,25.79,19.44,11.19,5.3,3.75,2.82,2.18
,,,CoderPWLH,50,100,200,200,200,200,200,200,,134.68,86.3,62.2,32.97,13.68,9.62,7.17,5.77
,,,CoderPWLHint,25,25,50,100,100,200,200,200,,49.52,49.52,32.39,23.75,21.98,11.72,4.12,2.85
,,,CoderGAMPS,10,10,10,10,10,10,25,50,,64.4,64.4,64.4,64.4,61.5,61.5,21.78,21.21
,vwc_SLF2.smet.csv
,,VWC
,,,CoderPCA,5,5,5,5,10,10,25,25,,58.28,58.28,47.58,35.08,17.59,15.75,13.12,9.94
,,,CoderAPCA,25,25,25,50,200,200,200,200,,29.76,29.76,21.7,14.19,5.36,4.11,3.26,2.43
,,,CoderPWLH,50,50,100,200,200,200,200,200,,111.7,111.7,77.72,45.1,13.09,10.44,8.35,6.54
,,,CoderPWLHint,25,25,25,50,100,200,200,200,,41.69,41.69,41.69,33.16,24.85,16.49,8.3,3.45
,,,CoderGAMPS,10,10,10,10,10,10,10,50,,52.2,52.2,52.2,52.2,49.97,49.97,49.97,16.02
NOAA-SST
,noaa-buoy-201701.csv
,,SST
,,,CoderPCA,200,5,5,5,10,10,10,25,,100.03,66.33,38.46,31.18,20.9,16.89,15.32,13.17
,,,CoderAPCA,5,10,50,50,200,200,200,200,,114.32,41.08,18.51,12.04,6.44,4.49,3.6,2.91
,,,CoderPWLH,5,50,100,200,200,200,200,200,,205.69,79.37,33.19,21.22,11.25,8.15,6.72,5.74
,,,CoderPWLHint,5,25,100,100,200,200,200,200,,107.86,47.16,20.05,12.97,6.95,4.99,4.17,3.57
,,,CoderGAMPS,5,5,5,5,5,5,5,5,,122.82,122.58,115.84,109.38,103.11,92.18,83.1,69.32
,noaa-buoy-201702.csv
,,SST
,,,CoderPCA,200,5,5,5,10,10,10,10,,100.03,72.76,45.74,36.28,26.57,20.6,17.61,15.14
,,,CoderAPCA,5,10,25,50,100,200,200,200,,114.8,48.43,24.11,16.14,8.98,6.36,5.08,3.88
,,,CoderPWLH,5,25,100,100,200,200,200,200,,205.53,94.41,44.04,28.52,15.03,10.51,8.63,6.83
,,,CoderPWLHint,5,25,50,100,200,200,200,200,,108.03,55.61,26.27,17.08,9.19,6.56,5.45,4.43
,,,CoderGAMPS,5,5,5,5,5,5,5,5,,122.23,122.14,113.12,105.0,91.75,81.86,74.26,65.92
NOAA-ADCP
,noaa-adcp-201501.csv
,,Vel
,,,CoderPCA,200,200,200,200,5,5,5,5,,100.05,100.05,100.05,100.05,98.9,93.68,86.74,72.05
,,,CoderAPCA,5,5,5,5,5,5,5,10,,121.49,116.81,105.08,96.61,76.24,63.71,54.84,40.42
,,,CoderPWLH,5,5,5,5,10,10,25,25,,274.92,269.05,253.53,240.58,205.14,175.51,151.27,112.25
,,,CoderPWLHint,5,5,5,5,5,10,10,25,,111.48,110.88,106.67,102.06,89.43,78.64,68.08,52.02
,,,CoderGAMPS,5,5,5,5,5,5,5,5,,129.51,129.51,129.51,129.51,129.51,129.51,129.51,129.51
,noaa-adcp-201502.csv
,,Vel
,,,CoderPCA,200,200,200,200,5,5,5,5,,100.05,100.05,100.05,100.05,98.72,93.51,86.81,72.58
,,,CoderAPCA,5,5,5,5,5,5,5,10,,121.71,117.47,106.01,97.07,76.81,64.15,55.39,41.22
,,,CoderPWLH,5,5,5,5,10,10,25,25,,275.74,270.6,255.04,241.72,207.31,178.06,154.14,115.73
,,,CoderPWLHint,5,5,5,5,5,10,10,25,,111.58,111.08,106.78,102.17,89.89,79.29,69.0,53.29
,,,CoderGAMPS,5,5,5,5,5,5,5,5,,129.78,129.78,129.78,129.78,129.78,129.78,129.78,129.78
SolarAnywhere
,solar-anywhere-2011.csv
,,GHI
,,,CoderPCA,5,5,5,5,5,5,5,5,,80.72,76.57,75.08,73.95,71.25,69.41,67.31,63.45
,,,CoderAPCA,5,5,25,25,25,25,25,25,,87.28,80.34,76.55,72.01,62.31,56.05,50.14,39.89
,,,CoderPWLH,25,25,25,25,25,25,25,25,,233.26,207.54,191.91,179.39,156.51,140.87,129.17,112.05
,,,CoderPWLHint,10,10,10,25,25,25,25,25,,83.64,81.5,78.97,76.54,70.02,65.69,62.58,57.79
,,,CoderGAMPS,5,25,25,25,25,25,25,25,,88.38,80.09,70.21,66.35,58.06,52.69,48.98,42.96
,,DNI
,,,CoderPCA,5,5,5,5,5,5,5,5,,77.49,74.62,72.41,71.0,68.96,67.35,65.49,62.3
,,,CoderAPCA,5,10,25,25,25,25,25,25,,82.59,76.81,70.08,65.22,57.19,51.6,45.92,37.33
,,,CoderPWLH,25,25,25,25,25,25,25,25,,217.89,201.58,188.14,178.85,164.02,153.16,142.09,122.29
,,,CoderPWLHint,25,25,25,25,25,25,25,25,,79.21,76.9,75.14,73.54,69.83,66.68,64.04,59.63
,,,CoderGAMPS,10,10,25,25,25,25,25,25,,88.28,83.81,76.68,73.27,65.62,60.65,57.32,51.1
,,DHI
,,,CoderPCA,5,5,5,5,5,5,5,5,,80.72,79.1,76.45,75.71,74.05,72.62,70.96,67.54
,,,CoderAPCA,5,5,10,10,25,25,25,25,,86.59,82.36,75.95,72.3,64.32,57.36,51.53,41.8
,,,CoderPWLH,25,25,25,25,25,25,25,25,,232.49,218.37,200.17,190.83,172.83,158.08,146.4,126.07
,,,CoderPWLHint,10,10,10,10,25,25,25,25,,83.37,83.37,78.6,75.82,70.8,66.52,63.34,57.5
,,,CoderGAMPS,5,5,25,25,25,25,25,25,,88.39,88.06,79.29,74.41,68.42,62.27,59.02,53.46
,solar-anywhere-2012.csv
,,GHI
,,,CoderPCA,5,5,5,5,5,5,5,5,,80.67,76.42,74.87,73.76,71.37,69.74,67.93,64.21
,,,CoderAPCA,5,5,25,25,25,25,25,25,,87.19,80.31,76.9,72.48,63.07,56.48,50.7,40.38
,,,CoderPWLH,25,25,25,25,25,25,25,25,,232.96,207.63,192.78,179.65,156.35,141.12,129.84,112.37
,,,CoderPWLHint,10,10,25,25,25,25,25,25,,83.59,81.63,79.04,76.5,69.77,65.5,62.53,57.75
,,,CoderGAMPS,5,10,25,25,25,25,25,25,,88.14,79.99,70.31,66.58,58.01,52.74,48.07,41.84
,,DNI
