Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
IRKIS,vwc_1202.dat.csv,26.305,CoderBasic,,,,384.811,100,447185,0,447185,100,2630500,0,2630500,100
,,,CoderPWLHint,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,222.327,57.78,447185,0,447185,100.0,1330628,0,1330628,50.58
,,,,,,10,188.112,48.88,447185,0,447185,100.0,1056908,0,1056908,40.18
,,,,,,25,171.362,44.53,447185,0,447185,100.0,922905,0,922905,35.08
,,,,,,50,170.020,44.18,447185,0,447185,100.0,912166,0,912166,34.68
,,,,,,100,171.681,44.61,447185,0,447185,100.0,925461,0,925461,35.18
,,,,,,200,174.602,45.37,447185,0,447185,100.0,948828,0,948828,36.07
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,222.327,57.78,447185,0,447185,100.0,1330628,0,1330628,50.58
,,,,,,10,188.112,48.88,447185,0,447185,100.0,1056908,0,1056908,40.18
,,,,,,25,171.362,44.53,447185,0,447185,100.0,922905,0,922905,35.08
,,,,,,50,170.020,44.18,447185,0,447185,100.0,912166,0,912166,34.68
,,,,,,100,171.681,44.61,447185,0,447185,100.0,925461,0,925461,35.18
,,,,,,200,174.602,45.37,447185,0,447185,100.0,948828,0,948828,36.07
,,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5,222.327,57.78,447185,0,447185,100.0,1330628,0,1330628,50.58
,,,,,,10,188.112,48.88,447185,0,447185,100.0,1056908,0,1056908,40.18
,,,,,,25,171.362,44.53,447185,0,447185,100.0,922905,0,922905,35.08
,,,,,,50,170.020,44.18,447185,0,447185,100.0,912166,0,912166,34.68
,,,,,,100,171.681,44.61,447185,0,447185,100.0,925461,0,925461,35.18
,,,,,,200,174.602,45.37,447185,0,447185,100.0,948828,0,948828,36.07
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",5,222.327,57.78,447185,0,447185,100.0,1330628,0,1330628,50.58
,,,,,,10,188.112,48.88,447185,0,447185,100.0,1056908,0,1056908,40.18
,,,,,,25,171.362,44.53,447185,0,447185,100.0,922905,0,922905,35.08
,,,,,,50,170.020,44.18,447185,0,447185,100.0,912166,0,912166,34.68
,,,,,,100,171.681,44.61,447185,0,447185,100.0,925461,0,925461,35.18
,,,,,,200,174.602,45.37,447185,0,447185,100.0,948828,0,948828,36.07
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",5,209.230,54.37,447185,0,447185,100.0,1225847,0,1225847,46.6
,,,,,,10,169.002,43.92,447185,0,447185,100.0,904028,0,904028,34.37
,,,,,,25,147.209,38.25,447185,0,447185,100.0,729685,0,729685,27.74
,,,,,,50,143.262,37.23,447185,0,447185,100.0,698108,0,698108,26.54
,,,,,,100,143.084,37.18,447185,0,447185,100.0,696678,0,696678,26.48
,,,,,,200,144.605,37.58,447185,0,447185,100.0,708850,0,708850,26.95
,,,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",5,188.152,48.89,447185,0,447185,100.0,1057223,0,1057223,40.19
,,,,,,10,137.810,35.81,447185,0,447185,100.0,654488,0,654488,24.88
,,,,,,25,107.477,27.93,447185,0,447185,100.0,411825,0,411825,15.66
,,,,,,50,98.785,25.67,447185,0,447185,100.0,342292,0,342292,13.01
,,,,,,100,95.182,24.73,447185,0,447185,100.0,313467,0,313467,11.92
,,,,,,200,94.211,24.48,447185,0,447185,100.0,305696,0,305696,11.62
