Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
IRKIS,vwc_1202.dat.csv,26.305,CoderBasic,,,,384.811,100,447185,0,447185,100,2630500,0,2630500,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,531.477,138.11,447185,0,447185,100.0,3803824,0,3803824,144.6
,,,,,,10,424.497,110.31,447185,0,447185,100.0,2947984,0,2947984,112.07
,,,,,,25,371.529,96.55,447185,0,447185,100.0,2524241,0,2524241,95.96
,,,,,,50,361.249,93.88,447185,0,447185,100.0,2442002,0,2442002,92.83
,,,,,,100,359.149,93.33,447185,0,447185,100.0,2425201,0,2425201,92.2
,,,,,,200,360.310,93.63,447185,0,447185,100.0,2434488,0,2434488,92.55
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,531.477,138.11,447185,0,447185,100.0,3803824,0,3803824,144.6
,,,,,,10,424.497,110.31,447185,0,447185,100.0,2947984,0,2947984,112.07
,,,,,,25,371.529,96.55,447185,0,447185,100.0,2524241,0,2524241,95.96
,,,,,,50,361.249,93.88,447185,0,447185,100.0,2442002,0,2442002,92.83
,,,,,,100,359.149,93.33,447185,0,447185,100.0,2425201,0,2425201,92.2
,,,,,,200,360.310,93.63,447185,0,447185,100.0,2434488,0,2434488,92.55
,,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5,499.396,129.78,447185,0,447185,100.0,3547176,0,3547176,134.85
,,,,,,10,378.887,98.46,447185,0,447185,100.0,2583108,0,2583108,98.2
,,,,,,25,315.385,81.96,447185,0,447185,100.0,2075090,0,2075090,78.89
,,,,,,50,300.590,78.11,447185,0,447185,100.0,1956726,0,1956726,74.39
,,,,,,100,295.784,76.86,447185,0,447185,100.0,1918283,0,1918283,72.92
,,,,,,200,295.278,76.73,447185,0,447185,100.0,1914232,0,1914232,72.77
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",5,433.163,112.57,447185,0,447185,100.0,3017316,0,3017316,114.71
,,,,,,10,284.447,73.92,447185,0,447185,100.0,1827588,0,1827588,69.48
,,,,,,25,198.904,51.69,447185,0,447185,100.0,1143244,0,1143244,43.46
,,,,,,50,173.919,45.2,447185,0,447185,100.0,943360,0,943360,35.86
,,,,,,100,162.998,42.36,447185,0,447185,100.0,855993,0,855993,32.54
,,,,,,200,159.000,41.32,447185,0,447185,100.0,824008,0,824008,31.33
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",5,400.634,104.11,447185,0,447185,100.0,2757082,0,2757082,104.81
,,,,,,10,236.973,61.58,447185,0,447185,100.0,1447796,0,1447796,55.04
,,,,,,25,138.883,36.09,447185,0,447185,100.0,663075,0,663075,25.21
,,,,,,50,107.760,28.0,447185,0,447185,100.0,414086,0,414086,15.74
,,,,,,100,92.987,24.16,447185,0,447185,100.0,295903,0,295903,11.25
,,,,,,200,86.598,22.5,447185,0,447185,100.0,244792,0,244792,9.31
,,,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",5,398.787,103.63,447185,0,447185,100.0,2742304,0,2742304,104.25
,,,,,,10,233.606,60.71,447185,0,447185,100.0,1420856,0,1420856,54.01
,,,,,,25,133.260,34.63,447185,0,447185,100.0,618087,0,618087,23.5
,,,,,,50,100.680,26.16,447185,0,447185,100.0,357450,0,357450,13.59
,,,,,,100,84.669,22.0,447185,0,447185,100.0,229362,0,229362,8.72
,,,,,,200,77.353,20.1,447185,0,447185,100.0,170832,0,170832,6.49
,,,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",5,398.497,103.56,447185,0,447185,100.0,2739988,0,2739988,104.16
,,,,,,10,232.901,60.52,447185,0,447185,100.0,1415216,0,1415216,53.8
,,,,,,25,131.876,34.27,447185,0,447185,100.0,607020,0,607020,23.08
,,,,,,50,98.843,25.69,447185,0,447185,100.0,342756,0,342756,13.03
,,,,,,100,82.496,21.44,447185,0,447185,100.0,211974,0,211974,8.06
,,,,,,200,74.775,19.43,447185,0,447185,100.0,150208,0,150208,5.71
,,,,30,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",5,398.003,103.43,447185,0,447185,100.0,2736035,0,2736035,104.01
,,,,,,10,231.999,60.29,447185,0,447185,100.0,1408000,0,1408000,53.53
,,,,,,25,130.440,33.9,447185,0,447185,100.0,595529,0,595529,22.64
,,,,,,50,96.970,25.2,447185,0,447185,100.0,327770,0,327770,12.46
,,,,,,100,80.197,20.84,447185,0,447185,100.0,193585,0,193585,7.36
,,,,,,200,72.080,18.73,447185,0,447185,100.0,128648,0,128648,4.89
,vwc_1203.dat.csv,26.305,CoderBasic,,,,384.811,100,447185,0,447185,100,2630500,0,2630500,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 0, 'N', 0, 0, 0, 'N', 'N']",5,396.877,103.14,447185,0,447185,100.0,2727022,0,2727022,103.67
,,,,,,10,288.479,74.97,447185,0,447185,100.0,1859844,0,1859844,70.7
,,,,,,25,228.242,59.31,447185,0,447185,100.0,1377947,0,1377947,52.38
,,,,,,50,211.224,54.89,447185,0,447185,100.0,1241804,0,1241804,47.21
,,,,,,100,203.810,52.96,447185,0,447185,100.0,1182490,0,1182490,44.95
,,,,,,200,200.985,52.23,447185,0,447185,100.0,1159888,0,1159888,44.09
,,,,1,"[0, 0, 0, 0, 0, 'N', 0, 0, 0, 'N', 'N']",5,396.877,103.14,447185,0,447185,100.0,2727022,0,2727022,103.67
,,,,,,10,288.479,74.97,447185,0,447185,100.0,1859844,0,1859844,70.7
,,,,,,25,228.242,59.31,447185,0,447185,100.0,1377947,0,1377947,52.38
,,,,,,50,211.224,54.89,447185,0,447185,100.0,1241804,0,1241804,47.21
,,,,,,100,203.810,52.96,447185,0,447185,100.0,1182490,0,1182490,44.95
,,,,,,200,200.985,52.23,447185,0,447185,100.0,1159888,0,1159888,44.09
,,,,3,"[0, 1, 1, 0, 0, 'N', 1, 1, 0, 'N', 'N']",5,354.238,92.06,447185,0,447185,100.0,2385913,0,2385913,90.7
,,,,,,10,227.335,59.08,447185,0,447185,100.0,1370692,0,1370692,52.11
,,,,,,25,155.071,40.3,447185,0,447185,100.0,792580,0,792580,30.13
,,,,,,50,134.406,34.93,447185,0,447185,100.0,627258,0,627258,23.85
,,,,,,100,124.855,32.45,447185,0,447185,100.0,550850,0,550850,20.94
,,,,,,200,120.629,31.35,447185,0,447185,100.0,517040,0,517040,19.66
,,,,5,"[0, 1, 1, 1, 1, 'N', 2, 1, 1, 'N', 'N']",5,339.804,88.3,447185,0,447185,100.0,2270443,0,2270443,86.31
,,,,,,10,206.298,53.61,447185,0,447185,100.0,1202392,0,1202392,45.71
,,,,,,25,127.350,33.09,447185,0,447185,100.0,570809,0,570809,21.7
,,,,,,50,103.491,26.89,447185,0,447185,100.0,379936,0,379936,14.44
,,,,,,100,92.318,23.99,447185,0,447185,100.0,290550,0,290550,11.05
,,,,,,200,87.327,22.69,447185,0,447185,100.0,250624,0,250624,9.53
,,,,10,"[0, 3, 2, 1, 1, 'N', 3, 2, 1, 'N', 'N']",5,338.481,87.96,447185,0,447185,100.0,2259854,0,2259854,85.91
,,,,,,10,203.332,52.84,447185,0,447185,100.0,1178664,0,1178664,44.81
,,,,,,25,121.480,31.57,447185,0,447185,100.0,523847,0,523847,19.91
,,,,,,50,95.603,24.84,447185,0,447185,100.0,316834,0,316834,12.04
,,,,,,100,83.398,21.67,447185,0,447185,100.0,219195,0,219195,8.33
,,,,,,200,77.904,20.24,447185,0,447185,100.0,175240,0,175240,6.66
,,,,15,"[0, 4, 3, 2, 2, 'N', 5, 3, 2, 'N', 'N']",5,337.836,87.79,447185,0,447185,100.0,2254695,0,2254695,85.71
,,,,,,10,201.959,52.48,447185,0,447185,100.0,1167680,0,1167680,44.39
,,,,,,25,118.840,30.88,447185,0,447185,100.0,502728,0,502728,19.11
,,,,,,50,91.874,23.88,447185,0,447185,100.0,287002,0,287002,10.91
,,,,,,100,78.698,20.45,447185,0,447185,100.0,181590,0,181590,6.9
,,,,,,200,72.651,18.88,447185,0,447185,100.0,133216,0,133216,5.06
,,,,20,"[0, 6, 4, 3, 3, 'N', 7, 3, 2, 'N', 'N']",5,337.572,87.72,447185,0,447185,100.0,2252586,0,2252586,85.63
,,,,,,10,201.478,52.36,447185,0,447185,100.0,1163836,0,1163836,44.24
,,,,,,25,117.736,30.6,447185,0,447185,100.0,493901,0,493901,18.78
,,,,,,50,90.260,23.46,447185,0,447185,100.0,274090,0,274090,10.42
,,,,,,100,76.727,19.94,447185,0,447185,100.0,165828,0,165828,6.3
,,,,,,200,70.320,18.27,447185,0,447185,100.0,114568,0,114568,4.36
,,,,30,"[0, 8, 6, 4, 4, 'N', 10, 5, 3, 'N', 'N']",5,337.418,87.68,447185,0,447185,100.0,2251351,0,2251351,85.59
,,,,,,10,201.023,52.24,447185,0,447185,100.0,1160196,0,1160196,44.11
,,,,,,25,116.865,30.37,447185,0,447185,100.0,486932,0,486932,18.51
,,,,,,50,88.935,23.11,447185,0,447185,100.0,263488,0,263488,10.02
