Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
IRKIS,vwc_1202.dat.csv,26.305,CoderBasic,,,,384.811,100,447185,0,447185,100,2630500,0,2630500,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,531.477,138.11,447185,0,447185,100.0,3803824,0,3803824,144.6
,,,,,,10,424.497,110.31,447185,0,447185,100.0,2947984,0,2947984,112.07
,,,,,,25,371.529,96.55,447185,0,447185,100.0,2524241,0,2524241,95.96
,,,,,,50,361.249,93.88,447185,0,447185,100.0,2442002,0,2442002,92.83
,,,,,,100,359.149,93.33,447185,0,447185,100.0,2425201,0,2425201,92.2
,,,,,,200,360.310,93.63,447185,0,447185,100.0,2434488,0,2434488,92.55
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,531.477,138.11,447185,0,447185,100.0,3803824,0,3803824,144.6
,,,,,,10,424.497,110.31,447185,0,447185,100.0,2947984,0,2947984,112.07
,,,,,,25,371.529,96.55,447185,0,447185,100.0,2524241,0,2524241,95.96
,,,,,,50,361.249,93.88,447185,0,447185,100.0,2442002,0,2442002,92.83
,,,,,,100,359.149,93.33,447185,0,447185,100.0,2425201,0,2425201,92.2
,,,,,,200,360.310,93.63,447185,0,447185,100.0,2434488,0,2434488,92.55
,,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5,499.396,129.78,447185,0,447185,100.0,3547176,0,3547176,134.85
,,,,,,10,378.887,98.46,447185,0,447185,100.0,2583108,0,2583108,98.2
,,,,,,25,315.385,81.96,447185,0,447185,100.0,2075090,0,2075090,78.89
,,,,,,50,300.590,78.11,447185,0,447185,100.0,1956726,0,1956726,74.39
,,,,,,100,295.784,76.86,447185,0,447185,100.0,1918283,0,1918283,72.92
,,,,,,200,295.278,76.73,447185,0,447185,100.0,1914232,0,1914232,72.77
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",5,433.163,112.57,447185,0,447185,100.0,3017316,0,3017316,114.71
,,,,,,10,284.447,73.92,447185,0,447185,100.0,1827588,0,1827588,69.48
,,,,,,25,198.904,51.69,447185,0,447185,100.0,1143244,0,1143244,43.46
,,,,,,50,173.919,45.2,447185,0,447185,100.0,943360,0,943360,35.86
,,,,,,100,162.998,42.36,447185,0,447185,100.0,855993,0,855993,32.54
,,,,,,200,159.000,41.32,447185,0,447185,100.0,824008,0,824008,31.33
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",5,400.634,104.11,447185,0,447185,100.0,2757082,0,2757082,104.81
,,,,,,10,236.973,61.58,447185,0,447185,100.0,1447796,0,1447796,55.04
,,,,,,25,138.883,36.09,447185,0,447185,100.0,663075,0,663075,25.21
,,,,,,50,107.760,28.0,447185,0,447185,100.0,414086,0,414086,15.74
,,,,,,100,92.987,24.16,447185,0,447185,100.0,295903,0,295903,11.25
,,,,,,200,86.598,22.5,447185,0,447185,100.0,244792,0,244792,9.31
,,,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",5,398.787,103.63,447185,0,447185,100.0,2742304,0,2742304,104.25
,,,,,,10,233.606,60.71,447185,0,447185,100.0,1420856,0,1420856,54.01
,,,,,,25,133.260,34.63,447185,0,447185,100.0,618087,0,618087,23.5
,,,,,,50,100.680,26.16,447185,0,447185,100.0,357450,0,357450,13.59
,,,,,,100,84.669,22.0,447185,0,447185,100.0,229362,0,229362,8.72
,,,,,,200,77.353,20.1,447185,0,447185,100.0,170832,0,170832,6.49
,,,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",5,398.497,103.56,447185,0,447185,100.0,2739988,0,2739988,104.16
,,,,,,10,232.901,60.52,447185,0,447185,100.0,1415216,0,1415216,53.8
,,,,,,25,131.876,34.27,447185,0,447185,100.0,607020,0,607020,23.08
,,,,,,50,98.843,25.69,447185,0,447185,100.0,342756,0,342756,13.03
,,,,,,100,82.496,21.44,447185,0,447185,100.0,211974,0,211974,8.06
,,,,,,200,74.775,19.43,447185,0,447185,100.0,150208,0,150208,5.71
,,,,30,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",5,398.003,103.43,447185,0,447185,100.0,2736035,0,2736035,104.01
,,,,,,10,231.999,60.29,447185,0,447185,100.0,1408000,0,1408000,53.53
,,,,,,25,130.440,33.9,447185,0,447185,100.0,595529,0,595529,22.64
,,,,,,50,96.970,25.2,447185,0,447185,100.0,327770,0,327770,12.46
,,,,,,100,80.197,20.84,447185,0,447185,100.0,193585,0,193585,7.36
,,,,,,200,72.080,18.73,447185,0,447185,100.0,128648,0,128648,4.89
,,,CoderPWLHint,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,222.327,57.78,447185,0,447185,100.0,1330628,0,1330628,50.58
,,,,,,10,188.112,48.88,447185,0,447185,100.0,1056908,0,1056908,40.18
,,,,,,25,171.362,44.53,447185,0,447185,100.0,922905,0,922905,35.08
,,,,,,50,170.020,44.18,447185,0,447185,100.0,912166,0,912166,34.68
,,,,,,100,171.681,44.61,447185,0,447185,100.0,925461,0,925461,35.18
,,,,,,200,174.602,45.37,447185,0,447185,100.0,948828,0,948828,36.07
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,222.327,57.78,447185,0,447185,100.0,1330628,0,1330628,50.58
,,,,,,10,188.112,48.88,447185,0,447185,100.0,1056908,0,1056908,40.18
,,,,,,25,171.362,44.53,447185,0,447185,100.0,922905,0,922905,35.08
,,,,,,50,170.020,44.18,447185,0,447185,100.0,912166,0,912166,34.68
,,,,,,100,171.681,44.61,447185,0,447185,100.0,925461,0,925461,35.18
,,,,,,200,174.602,45.37,447185,0,447185,100.0,948828,0,948828,36.07
,,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5,222.327,57.78,447185,0,447185,100.0,1330628,0,1330628,50.58
,,,,,,10,188.112,48.88,447185,0,447185,100.0,1056908,0,1056908,40.18
,,,,,,25,171.362,44.53,447185,0,447185,100.0,922905,0,922905,35.08
,,,,,,50,170.020,44.18,447185,0,447185,100.0,912166,0,912166,34.68
,,,,,,100,171.681,44.61,447185,0,447185,100.0,925461,0,925461,35.18
,,,,,,200,174.602,45.37,447185,0,447185,100.0,948828,0,948828,36.07
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",5,222.327,57.78,447185,0,447185,100.0,1330628,0,1330628,50.58
,,,,,,10,188.112,48.88,447185,0,447185,100.0,1056908,0,1056908,40.18
,,,,,,25,171.362,44.53,447185,0,447185,100.0,922905,0,922905,35.08
,,,,,,50,170.020,44.18,447185,0,447185,100.0,912166,0,912166,34.68
,,,,,,100,171.681,44.61,447185,0,447185,100.0,925461,0,925461,35.18
,,,,,,200,174.602,45.37,447185,0,447185,100.0,948828,0,948828,36.07
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",5,209.230,54.37,447185,0,447185,100.0,1225847,0,1225847,46.6
,,,,,,10,169.002,43.92,447185,0,447185,100.0,904028,0,904028,34.37
,,,,,,25,147.209,38.25,447185,0,447185,100.0,729685,0,729685,27.74
,,,,,,50,143.262,37.23,447185,0,447185,100.0,698108,0,698108,26.54
,,,,,,100,143.084,37.18,447185,0,447185,100.0,696678,0,696678,26.48
,,,,,,200,144.605,37.58,447185,0,447185,100.0,708850,0,708850,26.95
,,,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",5,188.152,48.89,447185,0,447185,100.0,1057223,0,1057223,40.19
,,,,,,10,137.810,35.81,447185,0,447185,100.0,654488,0,654488,24.88
,,,,,,25,107.477,27.93,447185,0,447185,100.0,411825,0,411825,15.66
,,,,,,50,98.785,25.67,447185,0,447185,100.0,342292,0,342292,13.01
,,,,,,100,95.182,24.73,447185,0,447185,100.0,313467,0,313467,11.92
,,,,,,200,94.211,24.48,447185,0,447185,100.0,305696,0,305696,11.62
,,,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",5,182.275,47.37,447185,0,447185,100.0,1010212,0,1010212,38.4
,,,,,,10,129.108,33.55,447185,0,447185,100.0,584876,0,584876,22.23
,,,,,,25,96.194,25.0,447185,0,447185,100.0,321565,0,321565,12.22
,,,,,,50,86.034,22.36,447185,0,447185,100.0,240280,0,240280,9.13
,,,,,,100,81.323,21.13,447185,0,447185,100.0,202597,0,202597,7.7
,,,,,,200,79.534,20.67,447185,0,447185,100.0,188280,0,188280,7.16
,,,,30,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",5,176.696,45.92,447185,0,447185,100.0,965579,0,965579,36.71
,,,,,,10,120.552,31.33,447185,0,447185,100.0,516426,0,516426,19.63
,,,,,,25,84.710,22.01,447185,0,447185,100.0,229690,0,229690,8.73
,,,,,,50,72.770,18.91,447185,0,447185,100.0,134168,0,134168,5.1
,,,,,,100,66.743,17.34,447185,0,447185,100.0,85950,0,85950,3.27
,,,,,,200,63.884,16.6,447185,0,447185,100.0,63084,0,63084,2.4
