Dataset,Filename,#rows,%,Error Threshold,Window Param,Other columns - Size (data)
IRKIS,vwc_1202.dat.csv,26.305,,,
,,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,INT 34.33%
,,,,,10,INT 35.29%
,,,,,25,INT 36.23%
,,,,,50,INT 37.14%
,,,,,100,INT 38.03%
,,,,,200,INT 38.89%
,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,INT 34.33%
,,,,,10,INT 35.29%
,,,,,25,INT 36.23%
,,,,,50,INT 37.14%
,,,,,100,INT 38.03%
,,,,,200,INT 38.89%
,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5,INT 37.64%
,,,,,10,INT 41.37%
,,,,,25,INT 44.90%
,,,,,50,INT 46.91%
,,,,,100,INT 48.42%
,,,,,200,INT 49.68%
,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",5,INT 47.00%
,,,,,10,INT 64.27%
,,,,,25,INT 89.06%
,,,,,50,FLT 96.33%
,,,,,100,FLT 88.28%
,,,,,200,FLT 84.23%
,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",5,INT 47.94%
,,,,,10,INT 73.45%
,,,,,25,FLT 71.75%
,,,,,50,FLT 46.89%
,,,,,100,FLT 34.76%
,,,,,200,FLT 29.64%
,,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",5,INT 39.24%
,,,,,10,INT 49.51%
,,,,,25,INT 78.88%
,,,,,50,FLT 84.13%
,,,,,100,FLT 58.15%
,,,,,200,FLT 45.51%
,,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",5,INT 36.75%
,,,,,10,INT 42.53%
,,,,,25,INT 58.96%
,,,,,50,INT 83.10%
,,,,,100,FLT 84.83%
,,,,,200,FLT 64.76%
,,,30,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",5,INT 34.41%
,,,,,10,INT 35.63%
,,,,,25,INT 37.65%
,,,,,50,INT 40.63%
,,,,,100,INT 45.16%
,,,,,200,INT 51.59%
,vwc_1203.dat.csv,26.305,,,
,,,0,"[0, 0, 0, 0, 0, 'N', 0, 0, 0, 'N', 'N']",5,INT 34.33%
,,,,,10,INT 35.29%
,,,,,25,INT 36.23%
,,,,,50,INT 37.14%
,,,,,100,INT 38.03%
,,,,,200,INT 38.89%
,,,1,"[0, 0, 0, 0, 0, 'N', 0, 0, 0, 'N', 'N']",5,INT 34.33%
,,,,,10,INT 35.29%
,,,,,25,INT 36.23%
,,,,,50,INT 37.14%
,,,,,100,INT 38.03%
,,,,,200,INT 38.89%
,,,3,"[0, 1, 1, 0, 0, 'N', 1, 1, 0, 'N', 'N']",5,INT 46.30%
,,,,,10,INT 62.09%
,,,,,25,INT 79.48%
,,,,,50,INT 85.84%
,,,,,100,INT 89.62%
,,,,,200,INT 92.10%
,,,5,"[0, 1, 1, 1, 1, 'N', 2, 1, 1, 'N', 'N']",5,INT 47.66%
,,,,,10,INT 71.06%
,,,,,25,FLT 85.44%
,,,,,50,FLT 68.67%
,,,,,100,FLT 61.62%
,,,,,200,FLT 58.90%
,,,10,"[0, 3, 2, 1, 1, 'N', 3, 2, 1, 'N', 'N']",5,INT 39.06%
,,,,,10,INT 48.60%
,,,,,25,INT 73.05%
,,,,,50,INT 97.12%
,,,,,100,FLT 86.97%
,,,,,200,FLT 80.88%
,,,15,"[0, 4, 3, 2, 2, 'N', 5, 3, 2, 'N', 'N']",5,INT 34.52%
,,,,,10,INT 36.10%
,,,,,25,INT 39.52%
,,,,,50,INT 44.34%
,,,,,100,INT 50.41%
,,,,,200,INT 54.94%
,,,20,"[0, 6, 4, 3, 3, 'N', 7, 3, 2, 'N', 'N']",5,INT 34.43%
,,,,,10,INT 35.66%
,,,,,25,INT 38.01%
,,,,,50,INT 40.97%
,,,,,100,INT 45.27%
,,,,,200,INT 49.30%
,,,30,"[0, 8, 6, 4, 4, 'N', 10, 5, 3, 'N', 'N']",5,INT 34.34%
,,,,,10,INT 35.39%
,,,,,25,INT 36.85%
,,,,,50,INT 38.97%
,,,,,100,INT 41.70%
,,,,,200,INT 44.48%
,vwc_1204.dat.csv,26.305,,,
,,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'N']",5,INT 34.33%
,,,,,10,INT 35.29%
,,,,,25,INT 36.23%
,,,,,50,INT 37.14%
,,,,,100,INT 38.03%
,,,,,200,INT 38.89%
,,,1,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 'N']",5,INT 40.22%
,,,,,10,INT 46.83%
,,,,,25,INT 53.42%
,,,,,50,INT 56.28%
,,,,,100,INT 58.13%
,,,,,200,INT 59.57%
,,,3,"[0, 2, 0, 0, 1, 1, 2, 1, 0, 1, 'N']",5,INT 37.02%
,,,,,10,INT 41.05%
,,,,,25,INT 45.92%
,,,,,50,INT 49.05%
,,,,,100,INT 51.29%
,,,,,200,INT 52.92%
,,,5,"[0, 3, 1, 0, 2, 2, 4, 1, 1, 2, 'N']",5,INT 41.92%
,,,,,10,INT 53.99%
,,,,,25,INT 74.15%
,,,,,50,INT 87.52%
,,,,,100,INT 95.86%
,,,,,200,FLT 99.40%
,,,10,"[0, 6, 2, 1, 3, 3, 7, 2, 2, 3, 'N']",5,INT 36.96%
,,,,,10,INT 42.79%
,,,,,25,INT 57.40%
,,,,,50,INT 73.55%
,,,,,100,INT 90.01%
,,,,,200,FLT 98.86%
,,,15,"[0, 9, 2, 1, 5, 5, 11, 3, 2, 5, 'N']",5,INT 36.90%
,,,,,10,INT 42.57%
,,,,,25,INT 56.79%
,,,,,50,INT 73.42%
,,,,,100,INT 91.38%
,,,,,200,FLT 96.62%
,,,20,"[0, 12, 3, 2, 6, 7, 14, 4, 3, 6, 'N']",5,INT 34.44%
,,,,,10,INT 35.84%
,,,,,25,INT 38.49%
,,,,,50,INT 42.13%
,,,,,100,INT 46.33%
,,,,,200,INT 50.99%
,,,30,"[0, 18, 5, 3, 9, 10, 21, 6, 5, 10, 'N']",5,INT 34.37%
,,,,,10,INT 35.52%
,,,,,25,INT 37.09%
,,,,,50,INT 39.30%
,,,,,100,INT 42.37%
,,,,,200,INT 45.69%
,vwc_1205.dat.csv,26.305,,,
,,,0,"[0, 0, 0, 0, 'N', 'N', 0, 0, 'N', 'N', 'N']",5,INT 34.33%
,,,,,10,INT 35.29%
,,,,,25,INT 36.23%
,,,,,50,INT 37.14%
,,,,,100,INT 38.03%
,,,,,200,INT 38.89%
,,,1,"[0, 0, 0, 0, 'N', 'N', 1, 0, 'N', 'N', 'N']",5,INT 36.09%
,,,,,10,INT 38.21%
,,,,,25,INT 39.73%
,,,,,50,INT 40.77%
,,,,,100,INT 41.75%
,,,,,200,INT 42.69%
,,,3,"[0, 0, 1, 1, 'N', 'N', 2, 1, 'N', 'N', 'N']",5,INT 49.03%
,,,,,10,INT 68.93%
,,,,,25,INT 95.72%
,,,,,50,FLT 92.11%
,,,,,100,FLT 86.64%
,,,,,200,FLT 83.93%
,,,5,"[0, 1, 1, 2, 'N', 'N', 3, 1, 'N', 'N', 'N']",5,INT 43.53%
,,,,,10,INT 58.84%
,,,,,25,INT 87.36%
,,,,,50,FLT 94.25%
,,,,,100,FLT 85.68%
,,,,,200,FLT 82.28%
,,,10,"[0, 1, 3, 4, 'N', 'N', 6, 2, 'N', 'N', 'N']",5,INT 36.76%
,,,,,10,INT 41.93%
,,,,,25,INT 51.73%
,,,,,50,INT 59.73%
,,,,,100,INT 65.37%
,,,,,200,INT 68.95%
,,,15,"[0, 2, 4, 6, 'N', 'N', 9, 3, 'N', 'N', 'N']",5,INT 34.57%
,,,,,10,INT 36.02%
,,,,,25,INT 38.68%
,,,,,50,INT 41.52%
,,,,,100,INT 44.82%
,,,,,200,INT 46.72%
,,,20,"[0, 2, 5, 7, 'N', 'N', 12, 4, 'N', 'N', 'N']",5,INT 34.55%
,,,,,10,INT 35.99%
,,,,,25,INT 38.43%
,,,,,50,INT 41.37%
,,,,,100,INT 44.65%
,,,,,200,INT 47.26%
,,,30,"[0, 3, 8, 11, 'N', 'N', 18, 6, 'N', 'N', 'N']",5,INT 34.46%
,,,,,10,INT 35.66%
,,,,,25,INT 37.29%
,,,,,50,INT 39.36%
,,,,,100,INT 41.15%
,,,,,200,INT 42.90%
,vwc_222.smet.csv,26.304,,,
,,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,INT 34.33%
,,,,,10,INT 35.29%
,,,,,25,INT 36.23%
,,,,,50,INT 37.14%
,,,,,100,INT 38.03%
,,,,,200,INT 38.89%
,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,INT 34.33%
,,,,,10,INT 35.29%
,,,,,25,INT 36.23%
,,,,,50,INT 37.14%
,,,,,100,INT 38.03%
,,,,,200,INT 38.89%
,,,3,"[0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0]",5,INT 42.27%
,,,,,10,INT 52.51%
,,,,,25,INT 64.91%
,,,,,50,INT 70.94%
,,,,,100,INT 74.40%
,,,,,200,INT 76.71%
,,,5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5,INT 49.55%
,,,,,10,INT 76.10%
,,,,,25,FLT 75.36%
,,,,,50,FLT 57.00%
,,,,,100,FLT 49.15%
,,,,,200,FLT 45.84%
,,,10,"[0, 2, 1, 2, 3, 2, 2, 2, 2, 3, 1]",5,INT 37.63%
,,,,,10,INT 45.04%
,,,,,25,INT 65.11%
,,,,,50,INT 89.80%
,,,,,100,FLT 86.73%
,,,,,200,FLT 75.49%
,,,15,"[0, 3, 2, 3, 4, 2, 3, 2, 3, 4, 2]",5,INT 34.58%
,,,,,10,INT 36.27%
,,,,,25,INT 40.41%
,,,,,50,INT 47.42%
,,,,,100,INT 56.78%
,,,,,200,INT 65.59%
,,,20,"[0, 4, 3, 4, 5, 3, 4, 3, 4, 5, 2]",5,INT 34.41%
,,,,,10,INT 35.67%
,,,,,25,INT 37.95%
,,,,,50,INT 41.87%
,,,,,100,INT 47.48%
,,,,,200,INT 54.09%
,,,30,"[0, 6, 4, 5, 8, 5, 7, 5, 6, 8, 3]",5,INT 34.35%
,,,,,10,INT 35.39%
,,,,,25,INT 36.69%
,,,,,50,INT 38.49%
,,,,,100,INT 41.13%
,,,,,200,INT 45.06%
,vwc_333.smet.csv,26.088,,,
,,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,INT 34.33%
,,,,,10,INT 35.29%
,,,,,25,INT 36.23%
,,,,,50,INT 37.14%
,,,,,100,INT 38.03%
,,,,,200,INT 38.89%
,,,1,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1]",5,INT 39.61%
,,,,,10,INT 46.31%
,,,,,25,INT 53.79%
,,,,,50,INT 57.49%
,,,,,100,INT 59.92%
,,,,,200,INT 61.67%
,,,3,"[0, 2, 0, 0, 2, 1, 1, 0, 0, 2, 3]",5,INT 36.55%
,,,,,10,INT 40.46%
,,,,,25,INT 45.97%
,,,,,50,INT 49.51%
,,,,,100,INT 51.97%
,,,,,200,INT 53.76%
,,,5,"[0, 4, 1, 0, 3, 2, 2, 0, 1, 3, 5]",5,INT 37.46%
,,,,,10,INT 43.35%
,,,,,25,INT 54.22%
,,,,,50,INT 62.77%
,,,,,100,INT 68.88%
,,,,,200,INT 72.69%
,,,10,"[0, 8, 1, 1, 5, 3, 5, 1, 1, 5, 11]",5,INT 39.58%
,,,,,10,INT 49.98%
,,,,,25,INT 77.00%
,,,,,50,FLT 91.77%
,,,,,100,FLT 70.90%
,,,,,200,FLT 61.09%
,,,15,"[0, 12, 2, 1, 8, 5, 7, 1, 2, 8, 16]",5,INT 36.47%
,,,,,10,INT 41.48%
,,,,,25,INT 55.36%
,,,,,50,INT 74.90%
,,,,,100,FLT 99.82%
,,,,,200,FLT 81.40%
,,,20,"[0, 16, 2, 2, 10, 7, 10, 2, 3, 10, 21]",5,INT 34.41%
,,,,,10,INT 35.60%
,,,,,25,INT 37.72%
,,,,,50,INT 41.31%
,,,,,100,INT 47.50%
,,,,,200,INT 54.56%
,,,30,"[0, 24, 3, 3, 15, 10, 15, 3, 4, 16, 32]",5,INT 34.35%
,,,,,10,INT 35.41%
,,,,,25,INT 36.77%
,,,,,50,INT 38.64%
,,,,,100,INT 41.32%
,,,,,200,INT 45.15%
,vwc_SLF2.smet.csv,26.305,,,
,,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,INT 34.33%
,,,,,10,INT 35.29%
,,,,,25,INT 36.23%
,,,,,50,INT 37.14%
,,,,,100,INT 38.03%
,,,,,200,INT 38.89%
,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,INT 34.33%
,,,,,10,INT 35.29%
,,,,,25,INT 36.23%
,,,,,50,INT 37.14%
,,,,,100,INT 38.03%
,,,,,200,INT 38.89%
,,,3,"[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",5,INT 38.16%
,,,,,10,INT 43.67%
,,,,,25,INT 49.90%
,,,,,50,INT 52.91%
,,,,,100,INT 54.85%
,,,,,200,INT 56.31%
,,,5,"[0, 2, 1, 1, 0, 1, 2, 1, 1, 0, 0]",5,INT 38.78%
,,,,,10,INT 45.95%
,,,,,25,INT 58.55%
,,,,,50,INT 67.48%
,,,,,100,INT 73.45%
,,,,,200,INT 76.94%
,,,10,"[0, 4, 1, 2, 1, 1, 3, 2, 1, 1, 1]",5,INT 40.06%
,,,,,10,INT 51.33%
,,,,,25,INT 82.77%
,,,,,50,FLT 81.20%
,,,,,100,FLT 59.96%
,,,,,200,FLT 50.67%
,,,15,"[0, 6, 2, 2, 1, 2, 5, 3, 2, 1, 1]",5,INT 37.72%
,,,,,10,INT 44.98%
,,,,,25,INT 65.52%
,,,,,50,INT 94.21%
,,,,,100,FLT 77.04%
,,,,,200,FLT 62.27%
,,,20,"[0, 8, 2, 3, 2, 3, 7, 4, 2, 2, 1]",5,INT 35.48%
,,,,,10,INT 38.66%
,,,,,25,INT 47.04%
,,,,,50,INT 60.08%
,,,,,100,INT 78.68%
,,,,,200,INT 99.31%
