Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
IRKIS,vwc_1202.dat.csv,26.305,CoderBasic,,,,229.810,100,447185,0,447185,100,1378600,11889,1390489,100
,,,CoderPWLHint,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,182.839,79.56,447185,0,447185,100.0,1002829,11889,1014718,72.98
,,,,,,10,167.299,72.8,447185,0,447185,100.0,878514,11889,890403,64.04
,,,,,,25,162.950,70.91,447185,0,447185,100.0,843720,11889,855609,61.53
,,,,,,50,165.937,72.21,447185,0,447185,100.0,867616,11889,879505,63.25
,,,,,,100,169.906,73.93,447185,0,447185,100.0,899367,11889,911256,65.53
,,,,,,200,174.042,75.73,447185,0,447185,100.0,932454,11889,944343,67.91
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,182.839,79.56,447185,0,447185,100.0,1002829,11889,1014718,72.98
,,,,,,10,167.299,72.8,447185,0,447185,100.0,878514,11889,890403,64.04
,,,,,,25,162.950,70.91,447185,0,447185,100.0,843720,11889,855609,61.53
,,,,,,50,165.937,72.21,447185,0,447185,100.0,867616,11889,879505,63.25
,,,,,,100,169.906,73.93,447185,0,447185,100.0,899367,11889,911256,65.53
,,,,,,200,174.042,75.73,447185,0,447185,100.0,932454,11889,944343,67.91
,,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5,182.839,79.56,447185,0,447185,100.0,1002829,11889,1014718,72.98
,,,,,,10,167.299,72.8,447185,0,447185,100.0,878514,11889,890403,64.04
,,,,,,25,162.950,70.91,447185,0,447185,100.0,843720,11889,855609,61.53
,,,,,,50,165.937,72.21,447185,0,447185,100.0,867616,11889,879505,63.25
,,,,,,100,169.906,73.93,447185,0,447185,100.0,899367,11889,911256,65.53
,,,,,,200,174.042,75.73,447185,0,447185,100.0,932454,11889,944343,67.91
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",5,182.839,79.56,447185,0,447185,100.0,1002829,11889,1014718,72.98
,,,,,,10,167.299,72.8,447185,0,447185,100.0,878514,11889,890403,64.04
,,,,,,25,162.950,70.91,447185,0,447185,100.0,843720,11889,855609,61.53
,,,,,,50,165.937,72.21,447185,0,447185,100.0,867616,11889,879505,63.25
,,,,,,100,169.906,73.93,447185,0,447185,100.0,899367,11889,911256,65.53
,,,,,,200,174.042,75.73,447185,0,447185,100.0,932454,11889,944343,67.91
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",5,169.733,73.86,447185,0,447185,100.0,897982,11889,909871,65.44
,,,,,,10,148.154,64.47,447185,0,447185,100.0,725356,11889,737245,53.02
,,,,,,25,138.776,60.39,447185,0,447185,100.0,650330,11889,662219,47.62
,,,,,,50,139.145,60.55,447185,0,447185,100.0,653282,11889,665171,47.84
,,,,,,100,141.274,61.47,447185,0,447185,100.0,670309,11889,682198,49.06
,,,,,,200,144.016,62.67,447185,0,447185,100.0,692252,11889,704141,50.64
,,,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",5,148.623,64.67,447185,0,447185,100.0,729106,11889,740995,53.29
,,,,,,10,116.938,50.88,447185,0,447185,100.0,475626,11889,487515,35.06
,,,,,,25,99.053,43.1,447185,0,447185,100.0,332545,11889,344434,24.77
,,,,,,50,94.635,41.18,447185,0,447185,100.0,297202,11889,309091,22.23
,,,,,,100,93.320,40.61,447185,0,447185,100.0,286683,11889,298572,21.47
,,,,,,200,93.552,40.71,447185,0,447185,100.0,288538,11889,300427,21.61
,,,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",5,142.742,62.11,447185,0,447185,100.0,682058,11889,693947,49.91
,,,,,,10,108.235,47.1,447185,0,447185,100.0,405998,11889,417887,30.05
,,,,,,25,87.749,38.18,447185,0,447185,100.0,242115,11889,254004,18.27
,,,,,,50,81.881,35.63,447185,0,447185,100.0,195172,11889,207061,14.89
,,,,,,100,79.445,34.57,447185,0,447185,100.0,175679,11889,187568,13.49
,,,,,,200,78.844,34.31,447185,0,447185,100.0,170874,11889,182763,13.14
,,,,30,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",5,137.143,59.68,447185,0,447185,100.0,637261,11889,649150,46.69
,,,,,,10,99.680,43.37,447185,0,447185,100.0,337560,11889,349449,25.13
,,,,,,25,76.260,33.18,447185,0,447185,100.0,150200,11889,162089,11.66
,,,,,,50,68.623,29.86,447185,0,447185,100.0,89102,11889,100991,7.26
,,,,,,100,64.853,28.22,447185,0,447185,100.0,58941,11889,70830,5.09
,,,,,,200,63.193,27.5,447185,0,447185,100.0,45668,11889,57557,4.14
,vwc_1203.dat.csv,26.305,CoderBasic,,,,136.095,100,447185,0,447185,100,629990,10782,640772,100
,,,CoderPWLHint,0,"[0, 0, 0, 0, 0, 'N', 0, 0, 0, 'N', 'N']",5,114.131,83.86,447185,0,447185,100.0,454276,10782,465058,72.58
,,,,,,10,107.433,78.94,447185,0,447185,100.0,400694,10782,411476,64.22
,,,,,,25,106.098,77.96,447185,0,447185,100.0,390015,10782,400797,62.55
,,,,,,50,107.668,79.11,447185,0,447185,100.0,402574,10782,413356,64.51
,,,,,,100,109.553,80.5,447185,0,447185,100.0,417653,10782,428435,66.86
,,,,,,200,111.476,81.91,447185,0,447185,100.0,433038,10782,443820,69.26
,,,,1,"[0, 0, 0, 0, 0, 'N', 0, 0, 0, 'N', 'N']",5,114.131,83.86,447185,0,447185,100.0,454276,10782,465058,72.58
,,,,,,10,107.433,78.94,447185,0,447185,100.0,400694,10782,411476,64.22
,,,,,,25,106.098,77.96,447185,0,447185,100.0,390015,10782,400797,62.55
,,,,,,50,107.668,79.11,447185,0,447185,100.0,402574,10782,413356,64.51
,,,,,,100,109.553,80.5,447185,0,447185,100.0,417653,10782,428435,66.86
,,,,,,200,111.476,81.91,447185,0,447185,100.0,433038,10782,443820,69.26
,,,,3,"[0, 1, 1, 0, 0, 'N', 1, 1, 0, 'N', 'N']",5,114.131,83.86,447185,0,447185,100.0,454276,10782,465058,72.58
,,,,,,10,107.433,78.94,447185,0,447185,100.0,400694,10782,411476,64.22
,,,,,,25,106.098,77.96,447185,0,447185,100.0,390015,10782,400797,62.55
,,,,,,50,107.668,79.11,447185,0,447185,100.0,402574,10782,413356,64.51
,,,,,,100,109.553,80.5,447185,0,447185,100.0,417653,10782,428435,66.86
,,,,,,200,111.476,81.91,447185,0,447185,100.0,433038,10782,443820,69.26
,,,,5,"[0, 1, 1, 1, 1, 'N', 2, 1, 1, 'N', 'N']",5,108.910,80.02,447185,0,447185,100.0,412508,10782,423290,66.06
,,,,,,10,99.677,73.24,447185,0,447185,100.0,338644,10782,349426,54.53
,,,,,,25,96.673,71.03,447185,0,447185,100.0,314615,10782,325397,50.78
,,,,,,50,97.603,71.72,447185,0,447185,100.0,322052,10782,332834,51.94
,,,,,,100,98.979,72.73,447185,0,447185,100.0,333062,10782,343844,53.66
,,,,,,200,100.476,73.83,447185,0,447185,100.0,345034,10782,355816,55.53
,,,,10,"[0, 3, 2, 1, 1, 'N', 3, 2, 1, 'N', 'N']",5,99.108,72.82,447185,0,447185,100.0,334088,10782,344870,53.82
,,,,,,10,84.858,62.35,447185,0,447185,100.0,220094,10782,230876,36.03
,,,,,,25,77.570,57.0,447185,0,447185,100.0,161790,10782,172572,26.93
,,,,,,50,76.501,56.21,447185,0,447185,100.0,153234,10782,164016,25.6
,,,,,,100,76.573,56.26,447185,0,447185,100.0,153809,10782,164591,25.69
,,,,,,200,77.075,56.63,447185,0,447185,100.0,157826,10782,168608,26.31
,,,,15,"[0, 4, 3, 2, 2, 'N', 5, 3, 2, 'N', 'N']",5,94.019,69.08,447185,0,447185,100.0,293378,10782,304160,47.47
,,,,,,10,77.261,56.77,447185,0,447185,100.0,159312,10782,170094,26.55
,,,,,,25,67.225,49.4,447185,0,447185,100.0,79025,10782,89807,14.02
,,,,,,50,64.412,47.33,447185,0,447185,100.0,56524,10782,67306,10.5
,,,,,,100,63.391,46.58,447185,0,447185,100.0,48357,10782,59139,9.23
,,,,,,200,63.206,46.44,447185,0,447185,100.0,46872,10782,57654,9.0
,,,,20,"[0, 6, 4, 3, 3, 'N', 7, 3, 2, 'N', 'N']",5,93.831,68.95,447185,0,447185,100.0,291873,10782,302655,47.23
,,,,,,10,76.835,56.46,447185,0,447185,100.0,155904,10782,166686,26.01
,,,,,,25,66.428,48.81,447185,0,447185,100.0,72650,10782,83432,13.02
,,,,,,50,63.229,46.46,447185,0,447185,100.0,47060,10782,57842,9.03
,,,,,,100,61.883,45.47,447185,0,447185,100.0,36288,10782,47070,7.35
,,,,,,200,61.442,45.15,447185,0,447185,100.0,32760,10782,43542,6.8
,,,,30,"[0, 8, 6, 4, 4, 'N', 10, 5, 3, 'N', 'N']",5,93.697,68.85,447185,0,447185,100.0,290802,10782,301584,47.07
,,,,,,10,76.544,56.24,447185,0,447185,100.0,153576,10782,164358,25.65
,,,,,,25,65.831,48.37,447185,0,447185,100.0,67875,10782,78657,12.28
,,,,,,50,62.436,45.88,447185,0,447185,100.0,40716,10782,51498,8.04
,,,,,,100,60.836,44.7,447185,0,447185,100.0,27918,10782,38700,6.04
