Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
IRKIS,vwc_1202.dat.csv,26.305,CoderBasic,,,,229.810,100,447185,0,447185,100,1378600,11889,1390489,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,422.644,183.91,447185,0,447185,100.0,2921273,11889,2933162,210.94
,,,,,,10,368.624,160.4,447185,0,447185,100.0,2489112,11889,2501001,179.86
,,,,,,25,348.567,151.68,447185,0,447185,100.0,2328654,11889,2340543,168.33
,,,,,,50,349.469,152.07,447185,0,447185,100.0,2335874,11889,2347763,168.84
,,,,,,100,353.108,153.65,447185,0,447185,100.0,2364985,11889,2376874,170.94
,,,,,,200,357.200,155.43,447185,0,447185,100.0,2397720,11889,2409609,173.29
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,422.644,183.91,447185,0,447185,100.0,2921273,11889,2933162,210.94
,,,,,,10,368.624,160.4,447185,0,447185,100.0,2489112,11889,2501001,179.86
,,,,,,25,348.567,151.68,447185,0,447185,100.0,2328654,11889,2340543,168.33
,,,,,,50,349.469,152.07,447185,0,447185,100.0,2335874,11889,2347763,168.84
,,,,,,100,353.108,153.65,447185,0,447185,100.0,2364985,11889,2376874,170.94
,,,,,,200,357.200,155.43,447185,0,447185,100.0,2397720,11889,2409609,173.29
,,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5,390.543,169.94,447185,0,447185,100.0,2664462,11889,2676351,192.48
,,,,,,10,322.902,140.51,447185,0,447185,100.0,2123340,11889,2135229,153.56
,,,,,,25,292.366,127.22,447185,0,447185,100.0,1879050,11889,1890939,135.99
,,,,,,50,288.700,125.63,447185,0,447185,100.0,1849724,11889,1861613,133.88
,,,,,,100,289.643,126.04,447185,0,447185,100.0,1857264,11889,1869153,134.42
,,,,,,200,292.085,127.1,447185,0,447185,100.0,1876800,11889,1888689,135.83
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",5,324.213,141.08,447185,0,447185,100.0,2133822,11889,2145711,154.31
,,,,,,10,228.348,99.36,447185,0,447185,100.0,1366908,11889,1378797,99.16
,,,,,,25,175.911,76.55,447185,0,447185,100.0,947412,11889,959301,68.99
,,,,,,50,161.957,70.47,447185,0,447185,100.0,835774,11889,847663,60.96
,,,,,,100,156.731,68.2,447185,0,447185,100.0,793968,11889,805857,57.95
,,,,,,200,155.663,67.74,447185,0,447185,100.0,785424,11889,797313,57.34
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",5,291.650,126.91,447185,0,447185,100.0,1873323,11889,1885212,135.58
,,,,,,10,180.931,78.73,447185,0,447185,100.0,987568,11889,999457,71.88
,,,,,,25,115.808,50.39,447185,0,447185,100.0,466583,11889,478472,34.41
,,,,,,50,95.776,41.68,447185,0,447185,100.0,306326,11889,318215,22.89
,,,,,,100,86.614,37.69,447185,0,447185,100.0,233029,11889,244918,17.61
,,,,,,200,83.136,36.18,447185,0,447185,100.0,205208,11889,217097,15.61
,,,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",5,289.770,126.09,447185,0,447185,100.0,1858280,11889,1870169,134.5
,,,,,,10,177.573,77.27,447185,0,447185,100.0,960704,11889,972593,69.95
,,,,,,25,110.184,47.95,447185,0,447185,100.0,421590,11889,433479,31.17
,,,,,,50,88.740,38.61,447185,0,447185,100.0,250040,11889,261929,18.84
,,,,,,100,78.323,34.08,447185,0,447185,100.0,166708,11889,178597,12.84
,,,,,,200,73.901,32.16,447185,0,447185,100.0,131328,11889,143217,10.3
,,,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",5,289.452,125.95,447185,0,447185,100.0,1855734,11889,1867623,134.31
,,,,,,10,176.816,76.94,447185,0,447185,100.0,954652,11889,966541,69.51
,,,,,,25,108.812,47.35,447185,0,447185,100.0,410619,11889,422508,30.39
,,,,,,50,86.841,37.79,447185,0,447185,100.0,234850,11889,246739,17.74
,,,,,,100,76.114,33.12,447185,0,447185,100.0,149029,11889,160918,11.57
,,,,,,200,71.318,31.03,447185,0,447185,100.0,110664,11889,122553,8.81
,,,,30,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",5,288.962,125.74,447185,0,447185,100.0,1851813,11889,1863702,134.03
,,,,,,10,175.899,76.54,447185,0,447185,100.0,947312,11889,959201,68.98
,,,,,,25,107.347,46.71,447185,0,447185,100.0,398894,11889,410783,29.54
,,,,,,50,84.895,36.94,447185,0,447185,100.0,219278,11889,231167,16.62
,,,,,,100,73.798,32.11,447185,0,447185,100.0,130505,11889,142394,10.24
,,,,,,200,68.551,29.83,447185,0,447185,100.0,88528,11889,100417,7.22
,vwc_1203.dat.csv,26.305,CoderBasic,,,,136.095,100,447185,0,447185,100,629990,10782,640772,100
