Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
IRKIS,vwc_1202.dat.csv,26.305,CoderCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,191.013,100,447185,0,447185,100,1068210,11889,1080099,100
IRKIS,vwc_1202.dat.csv,26.305,,,,10,183.681,96.16,447185,0,447185,100.0,1009554,11889,1021443,94.57
IRKIS,vwc_1202.dat.csv,26.305,,,,25,183.928,96.29,447185,0,447185,100.0,1011525,11889,1023414,94.75
IRKIS,vwc_1202.dat.csv,26.305,,,,50,190.957,99.97,447185,0,447185,100.0,1067760,11889,1079649,99.96
IRKIS,vwc_1202.dat.csv,26.305,,,,100,199.052,104.21,447185,0,447185,100.0,1132523,11889,1144412,105.95
IRKIS,vwc_1202.dat.csv,26.305,,,,200,207.344,108.55,447185,0,447185,100.0,1198854,11889,1210743,112.1
IRKIS,vwc_1202.dat.csv,26.305,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,191.013,100.0,447185,0,447185,100.0,1068210,11889,1080099,100.0
IRKIS,vwc_1202.dat.csv,26.305,,,,10,183.681,96.16,447185,0,447185,100.0,1009554,11889,1021443,94.57
IRKIS,vwc_1202.dat.csv,26.305,,,,25,183.928,96.29,447185,0,447185,100.0,1011525,11889,1023414,94.75
IRKIS,vwc_1202.dat.csv,26.305,,,,50,190.957,99.97,447185,0,447185,100.0,1067760,11889,1079649,99.96
IRKIS,vwc_1202.dat.csv,26.305,,,,100,199.052,104.21,447185,0,447185,100.0,1132523,11889,1144412,105.95
IRKIS,vwc_1202.dat.csv,26.305,,,,200,207.344,108.55,447185,0,447185,100.0,1198854,11889,1210743,112.1
IRKIS,vwc_1202.dat.csv,26.305,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5,177.662,93.01,447185,0,447185,100.0,961402,11889,973291,90.11
IRKIS,vwc_1202.dat.csv,26.305,,,,10,165.621,86.71,447185,0,447185,100.0,865074,11889,876963,81.19
IRKIS,vwc_1202.dat.csv,26.305,,,,25,161.634,84.62,447185,0,447185,100.0,833175,11889,845064,78.24
IRKIS,vwc_1202.dat.csv,26.305,,,,50,166.097,86.96,447185,0,447185,100.0,868880,11889,880769,81.55
IRKIS,vwc_1202.dat.csv,26.305,,,,100,172.107,90.1,447185,0,447185,100.0,916963,11889,928852,86.0
IRKIS,vwc_1202.dat.csv,26.305,,,,200,178.607,93.51,447185,0,447185,100.0,968958,11889,980847,90.81
IRKIS,vwc_1202.dat.csv,26.305,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",5,149.904,78.48,447185,0,447185,100.0,739336,11889,751225,69.55
IRKIS,vwc_1202.dat.csv,26.305,,,,10,128.157,67.09,447185,0,447185,100.0,565362,11889,577251,53.44
IRKIS,vwc_1202.dat.csv,26.305,,,,25,115.273,60.35,447185,0,447185,100.0,462285,11889,474174,43.9
IRKIS,vwc_1202.dat.csv,26.305,,,,50,114.093,59.73,447185,0,447185,100.0,452848,11889,464737,43.03
IRKIS,vwc_1202.dat.csv,26.305,,,,100,115.680,60.56,447185,0,447185,100.0,465545,11889,477434,44.2
IRKIS,vwc_1202.dat.csv,26.305,,,,200,118.383,61.98,447185,0,447185,100.0,487170,11889,499059,46.2
IRKIS,vwc_1202.dat.csv,26.305,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",5,135.389,70.88,447185,0,447185,100.0,623220,11889,635109,58.8
IRKIS,vwc_1202.dat.csv,26.305,,,,10,107.752,56.41,447185,0,447185,100.0,402122,11889,414011,38.33
IRKIS,vwc_1202.dat.csv,26.305,,,,25,88.814,46.5,447185,0,447185,100.0,250620,11889,262509,24.3
IRKIS,vwc_1202.dat.csv,26.305,,,,50,83.643,43.79,447185,0,447185,100.0,209248,11889,221137,20.47
IRKIS,vwc_1202.dat.csv,26.305,,,,100,82.167,43.02,447185,0,447185,100.0,197438,11889,209327,19.38
IRKIS,vwc_1202.dat.csv,26.305,,,,200,82.417,43.15,447185,0,447185,100.0,199440,11889,211329,19.57
IRKIS,vwc_1202.dat.csv,26.305,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",5,133.758,70.03,447185,0,447185,100.0,610168,11889,622057,57.59
IRKIS,vwc_1202.dat.csv,26.305,,,,10,104.571,54.75,447185,0,447185,100.0,376670,11889,388559,35.97
IRKIS,vwc_1202.dat.csv,26.305,,,,25,83.369,43.65,447185,0,447185,100.0,207060,11889,218949,20.27
IRKIS,vwc_1202.dat.csv,26.305,,,,50,76.619,40.11,447185,0,447185,100.0,153056,11889,164945,15.27
IRKIS,vwc_1202.dat.csv,26.305,,,,100,73.794,38.63,447185,0,447185,100.0,130458,11889,142347,13.18
IRKIS,vwc_1202.dat.csv,26.305,,,,200,73.106,38.27,447185,0,447185,100.0,124956,11889,136845,12.67
IRKIS,vwc_1202.dat.csv,26.305,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",5,133.269,69.77,447185,0,447185,100.0,606255,11889,618144,57.23
