DATASET:,NOAA-SST
TIME UNIT:,seconds
FIRST TIMESTAMP:,2017-05-01 00:00:00
Time Delta,T0N110W,T0N125W,T0N140W,T0N155W,T0N165E,T0N170W,T0N180W,T0N95W,T2N110W,T2N125W,T2N140W,T2N155W,T2N165E,T2N170W,T2N180W,T2N95W,T2S110W,T2S125W,T2S140W,T2S155W,T2S165E,T2S170W,T2S180W,T2S95W,T5N110W,T5N125W,T5N140W,T5N155W,T5N165E,T5N170W,T5N180W,T5N95W,T5S110W,T5S125W,T5S140W,T5S155W,T5S165E,T5S170W,T5S180W,T5S95W,T8N110W,T8N125W,T8N155W,T8N165E,T8N170W,T8N180W,T8N95W,T8S110W,T8S125W,T8S155W,T8S165E,T8S170W,T8S180W,T8S95W,T9N140W
0,26163,27542,26820,27857,28838,28427,N,N,N,27962,28115,28087,N,N,N,N,27215,29299,28305,N,29857,N,N,N,N,28875,28481,N,29194,28672,28682,N,N,28882,29277,N,N,30122,29693,N,N,28496,N,N,N,28203,N,N,28807,30087,29917,30233,N,N,27906
600,26200,27676,N,27853,28849,28396,N,N,N,27970,28116,28131,N,N,N,N,27199,29226,28302,N,29889,N,N,N,N,28867,28470,N,29197,28693,28688,N,N,28881,29257,N,N,30138,29635,N,N,28453,N,N,N,28203,N,N,28809,30112,29912,30538,N,N,27905
600,26202,27524,26808,27862,28848,28364,N,N,N,27827,28114,28129,N,N,N,N,27182,29306,28304,N,29840,N,N,N,N,28858,28498,N,29217,28695,28693,N,N,28885,29246,N,N,30072,29691,N,N,28440,N,N,N,28209,N,N,28787,30098,29899,30423,N,N,27897
600,26205,27452,26828,27848,28851,28371,N,N,N,27914,28117,28153,N,N,N,N,27169,29291,28320,N,29891,N,N,N,N,28845,28504,N,29206,28691,28701,N,N,28879,29241,N,N,30292,29674,N,N,28461,N,N,N,28229,N,N,28791,30127,29910,30438,N,N,27893
600,26204,27586,26833,27867,28852,28409,N,N,N,27876,28122,28131,N,N,N,N,27133,29251,28308,N,29971,N,N,N,N,28825,28504,N,29218,28720,28715,N,N,28869,29224,N,N,30125,29742,N,N,28447,N,N,N,28218,N,N,28786,30108,29925,30406,N,N,27884
600,26207,27552,26830,27886,28845,28427,N,N,N,27822,28104,28155,N,N,N,N,27130,29308,28297,N,29936,N,N,N,N,28809,28480,N,29226,28710,28705,N,N,28876,29216,N,N,N,29696,N,N,28423,N,N,N,28222,N,N,28782,30103,29915,30420,N,N,27886
600,26191,27601,26795,27908,28864,28377,N,N,N,27727,28109,28123,N,N,N,N,27119,29252,28278,N,29951,N,N,N,N,28779,28468,N,29235,28721,28715,N,N,28871,29206,N,N,N,29674,N,N,28412,N,N,N,28209,N,N,28774,30097,29913,30413,N,N,27884
600,26192,27317,N,27915,28886,28430,N,N,N,27845,28111,28119,N,N,N,N,27112,29168,28271,N,30070,N,N,N,N,28756,28393,N,29242,28735,28713,N,N,28874,29188,N,N,30091,29692,N,N,28398,N,N,N,28211,N,N,28784,30103,29921,30426,N,N,27876
600,26135,27552,26779,27903,28871,28440,N,N,N,27826,28109,28111,N,N,N,N,27108,29226,28290,N,3,N,N,N,N,28729,28477,N,29256,28719,28726,N,N,28874,29184,N,N,30098,29678,N,N,28380,N,N,N,28221,N,N,28767,30092,29891,30365,N,N,27877
600,N,27516,26796,27907,28884,28492,N,N,N,27858,28120,28074,N,N,N,N,27102,29210,28285,N,30105,N,N,N,N,28697,28456,N,29250,28727,28722,N,N,28867,29175,N,N,30207,29664,N,N,28370,N,N,N,28230,N,N,28753,30111,29899,30271,N,N,27876
600,N,27438,26797,27914,28857,28483,N,N,N,27779,28108,28080,N,N,N,N,27095,29217,28279,N,30060,N,N,N,N,28672,28449,N,29239,28739,28727,N,N,28861,29183,N,N,30212,29628,N,N,28410,N,N,N,28219,N,N,28751,30113,29898,30133,N,N,27867
600,26117,27413,26799,27936,28869,28524,N,N,N,27734,28098,28089,N,N,N,N,27081,29234,28273,N,30155,N,N,N,N,28628,28439,N,29245,28719,28742,N,N,28859,29175,N,N,30450,29676,N,N,28409,N,N,N,28235,N,N,28746,30079,29904,30215,N,N,27861
600,26107,27348,26811,27923,28854,28545,N,N,N,27686,28083,28059,N,N,N,N,27072,29214,28272,N,30192,N,N,N,N,28600,28420,N,29256,28719,28740,N,N,28854,29160,N,N,30294,29628,N,N,28399,N,N,N,28229,N,N,28741,30109,29909,30310,N,N,27862
600,26092,27231,N,27891,28843,28557,N,N,N,27667,28076,28046,N,N,N,N,27058,29099,28203,N,30124,N,N,N,N,28578,28326,N,29288,28724,28741,N,N,28838,29154,N,N,30405,29688,N,N,28417,N,N,N,28228,N,N,28735,30099,29910,30460,N,N,27855
600,N,27390,26783,27895,28843,28517,N,N,N,27679,28060,28018,N,N,N,N,27052,29156,28263,N,30074,N,N,N,N,28566,28382,N,29254,28729,28746,N,N,28845,29155,N,N,30300,29726,N,N,28406,N,N,N,28222,N,N,28725,30103,29904,30420,N,N,27856
600,N,27311,26762,27830,28832,28566,N,N,N,27645,28050,28030,N,N,N,N,27053,29130,28249,N,30051,N,N,N,N,28543,28384,N,29255,28720,28749,N,N,28821,29151,N,N,30353,29746,N,N,28403,N,N,N,28219,N,N,28713,30099,29901,30517,N,N,27848
