DATASET:,NOAA
FILENAME:,TAO_T8N170W_R_SST_10min.ascii
Timestamp,SST
2016-08-26 03:40:00,29390.0
00:10:00,29418.0
00:10:00,29424.0
00:10:00,29419.0
00:10:00,29405.0
00:10:00,29382.0
00:10:00,29388.0
00:10:00,29380.0
00:10:00,29370.0
00:10:00,29362.0
00:10:00,29362.0
00:10:00,29358.0
00:10:00,29354.0
00:10:00,29350.0
00:10:00,29350.0
00:10:00,29347.0
00:10:00,29341.0
00:10:00,29342.0
00:10:00,29367.0
00:10:00,29363.0
00:10:00,29358.0
00:10:00,29359.0
00:10:00,29361.0
00:10:00,29356.0
00:10:00,29368.0
00:10:00,29362.0
00:10:00,29368.0
00:10:00,29364.0
00:10:00,29356.0
00:10:00,29348.0
00:10:00,29348.0
00:10:00,29342.0
00:10:00,29348.0
00:10:00,29346.0
00:10:00,29323.0
00:10:00,29306.0
00:10:00,29269.0
00:10:00,29265.0
00:10:00,29224.0
00:10:00,29189.0
00:10:00,29193.0
00:10:00,29198.0
00:10:00,29197.0
00:10:00,29210.0
00:10:00,29157.0
00:10:00,29162.0
00:10:00,29117.0
00:10:00,29087.0
00:10:00,29121.0
00:10:00,29076.0
00:10:00,29059.0
00:10:00,29051.0
00:10:00,28995.0
00:10:00,28996.0
00:10:00,29003.0
00:10:00,28985.0
00:10:00,28941.0
00:10:00,28959.0
00:10:00,28976.0
00:10:00,29021.0
00:10:00,28954.0
00:10:00,29030.0
00:10:00,29039.0
00:10:00,29011.0
00:10:00,28968.0
00:10:00,28998.0
00:10:00,29050.0
00:10:00,29006.0
00:10:00,29045.0
01:10:00,28990.0
00:10:00,28999.0
00:10:00,29018.0
00:10:00,29081.0
00:10:00,29001.0
00:10:00,29079.0
00:10:00,29079.0
00:10:00,29113.0
00:10:00,29108.0
00:10:00,29129.0
00:10:00,29104.0
00:10:00,29117.0
00:10:00,29018.0
00:10:00,29012.0
00:10:00,29002.0
00:10:00,29072.0
00:10:00,29038.0
00:10:00,29013.0
00:10:00,29034.0
00:10:00,28989.0
00:10:00,29050.0
00:10:00,29001.0
00:10:00,29019.0
00:10:00,29040.0
01:10:00,29047.0
00:10:00,29066.0
00:10:00,29091.0
00:10:00,29072.0
00:10:00,29026.0
00:10:00,29045.0
00:10:00,29010.0
00:10:00,29052.0
00:10:00,29046.0
00:10:00,29053.0
00:10:00,29090.0
00:10:00,29118.0
00:10:00,29115.0
00:10:00,29117.0
00:10:00,29131.0
00:10:00,29154.0
00:10:00,29119.0
00:10:00,28975.0
00:10:00,28986.0
00:10:00,29038.0
00:10:00,29081.0
00:10:00,29019.0
00:10:00,28975.0
00:10:00,28989.0
00:10:00,29020.0
00:10:00,29057.0
00:10:00,28984.0
00:10:00,28981.0
00:10:00,29024.0
00:10:00,28927.0
00:10:00,28986.0
00:10:00,29003.0
00:10:00,28976.0
00:10:00,29007.0
00:10:00,29028.0
00:10:00,29048.0
00:10:00,29087.0
00:10:00,29098.0
00:10:00,29109.0
00:10:00,29124.0
00:10:00,29115.0
00:10:00,29126.0
00:10:00,29127.0
00:10:00,29129.0
00:10:00,29137.0
00:10:00,29138.0
00:10:00,29156.0
00:10:00,29167.0
00:10:00,29163.0
00:10:00,29163.0
00:10:00,29182.0
00:10:00,29196.0
00:10:00,29188.0
00:10:00,29208.0
00:10:00,29206.0
00:10:00,29211.0
00:10:00,29220.0
00:10:00,29212.0
00:10:00,29224.0
00:10:00,29190.0
00:10:00,29221.0
00:10:00,29216.0
00:10:00,28783.0
00:10:00,28762.0
00:10:00,28771.0
00:10:00,28809.0
00:10:00,28797.0
00:10:00,28787.0
00:10:00,28811.0
00:10:00,28808.0
00:10:00,28771.0
00:10:00,28738.0
00:10:00,28767.0
00:10:00,28797.0
00:10:00,28836.0
00:10:00,28831.0
00:10:00,28858.0
00:10:00,28852.0
00:10:00,28824.0
00:10:00,28856.0
00:10:00,28860.0
00:10:00,28854.0
00:10:00,28874.0
00:10:00,28933.0
00:10:00,28896.0
00:10:00,28905.0
00:10:00,28872.0
00:10:00,28889.0
00:10:00,28901.0
00:10:00,28910.0
00:10:00,28929.0
00:10:00,28941.0
00:10:00,28926.0
00:10:00,28918.0
00:10:00,28948.0
00:10:00,28957.0
00:10:00,28932.0
00:10:00,28975.0
00:10:00,28965.0
00:10:00,28966.0
00:10:00,28962.0
00:10:00,28972.0
00:10:00,28972.0
00:10:00,28993.0
00:10:00,28966.0
00:10:00,28974.0
00:10:00,28984.0
00:10:00,28971.0
00:10:00,28939.0
00:10:00,28962.0
00:10:00,28955.0
00:10:00,28962.0
00:10:00,28977.0
00:10:00,28967.0
00:10:00,28956.0
00:10:00,28969.0
00:10:00,28971.0
00:10:00,28997.0
00:10:00,28982.0
00:10:00,28976.0
00:10:00,28940.0
00:10:00,28956.0
00:10:00,28979.0
00:10:00,28948.0
00:10:00,28943.0
00:10:00,28942.0
00:10:00,28941.0
00:10:00,28961.0
00:10:00,28963.0
00:10:00,28972.0
00:10:00,28974.0
00:10:00,28932.0
00:10:00,28935.0
00:10:00,28993.0
00:10:00,28965.0
00:10:00,28969.0
00:10:00,28989.0
00:10:00,28976.0
00:10:00,28991.0
00:10:00,29009.0
00:10:00,29006.0
00:10:00,29036.0
00:10:00,29065.0
00:10:00,29069.0
01:10:00,29351.0
00:10:00,29390.0
00:10:00,29338.0
00:10:00,29426.0
00:10:00,29497.0
00:10:00,29587.0
00:10:00,29330.0
00:10:00,29801.0
00:10:00,29734.0
00:10:00,29635.0
00:10:00,29680.0
00:10:00,29671.0
00:10:00,29694.0
00:10:00,29565.0
00:10:00,29884.0
00:10:00,29655.0
00:10:00,29681.0
00:10:00,29799.0
00:10:00,29968.0
00:10:00,29959.0
00:10:00,29871.0
00:10:00,30113.0
00:10:00,29767.0
00:10:00,29843.0
00:10:00,30110.0
00:10:00,29920.0
00:10:00,29706.0
00:10:00,29553.0
00:10:00,30033.0
00:10:00,29809.0
00:10:00,29768.0
00:10:00,30075.0
00:10:00,30014.0
00:10:00,30077.0
00:10:00,30327.0
00:10:00,30051.0
00:10:00,30131.0
00:10:00,30300.0
00:10:00,30618.0
00:10:00,30625.0
00:10:00,30580.0
00:10:00,30323.0
00:10:00,30124.0
00:10:00,30109.0
00:10:00,30004.0
00:10:00,29949.0
00:10:00,29929.0
00:10:00,29865.0
00:10:00,29797.0
00:10:00,29733.0
00:10:00,29921.0
00:10:00,29893.0
00:10:00,29790.0
00:10:00,29856.0
00:10:00,N
00:10:00,N
00:10:00,29861.0
00:10:00,29856.0
00:10:00,29870.0
00:10:00,29925.0
00:10:00,29898.0
00:10:00,29870.0
00:10:00,29871.0
00:10:00,29931.0
00:10:00,29946.0
00:10:00,29904.0
00:10:00,29924.0
00:10:00,29906.0
00:10:00,29830.0
00:10:00,29816.0
00:10:00,29776.0
00:10:00,29757.0
00:10:00,29767.0
00:10:00,29743.0
00:10:00,29741.0
00:10:00,29720.0
00:10:00,29679.0
00:10:00,29664.0
00:10:00,29668.0
00:10:00,29610.0
00:10:00,29576.0
00:10:00,29563.0
00:10:00,29541.0
00:10:00,29518.0
00:10:00,29515.0
00:10:00,29443.0
00:10:00,29416.0
00:10:00,29420.0
00:10:00,29410.0
00:10:00,29423.0
00:10:00,29390.0
00:10:00,29362.0
00:10:00,29355.0
00:10:00,29321.0
00:10:00,29306.0
00:10:00,29297.0
00:10:00,29284.0
00:10:00,29282.0
00:10:00,29274.0
00:10:00,29283.0
00:10:00,29258.0
00:10:00,29267.0
00:10:00,29262.0
00:10:00,29251.0
00:10:00,29252.0
00:10:00,29245.0
00:10:00,29243.0
00:10:00,29244.0
00:10:00,29234.0
00:10:00,29233.0
00:10:00,29224.0
00:10:00,29223.0
00:10:00,29219.0
00:10:00,29227.0
00:10:00,29228.0
00:10:00,29222.0
00:10:00,29208.0
00:10:00,29211.0
00:10:00,29206.0
00:10:00,29210.0
00:10:00,29213.0
00:10:00,29211.0
00:10:00,29214.0
00:10:00,29213.0
00:10:00,29214.0
00:10:00,29224.0
00:10:00,29221.0
00:10:00,29225.0
00:10:00,29219.0
00:10:00,29237.0
00:10:00,29272.0
00:10:00,29277.0
00:10:00,29296.0
00:10:00,29320.0
00:10:00,29311.0
00:10:00,29323.0
00:10:00,29324.0
00:10:00,29315.0
00:10:00,29299.0
00:10:00,29292.0
00:10:00,29606.0
00:10:00,29322.0
00:10:00,29297.0
00:10:00,29315.0
00:10:00,29808.0
00:10:00,29541.0
00:10:00,29523.0
00:10:00,29298.0
00:10:00,29635.0
00:10:00,29317.0
00:10:00,29382.0
00:10:00,29391.0
00:10:00,29301.0
00:10:00,29324.0
00:10:00,29289.0
00:10:00,29406.0
00:10:00,29803.0
00:10:00,29880.0
00:10:00,29559.0
00:10:00,29784.0
00:10:00,29486.0
00:10:00,30461.0
00:10:00,30320.0
00:10:00,29898.0
00:10:00,29766.0
00:10:00,29627.0
00:10:00,29857.0
00:10:00,30721.0
00:10:00,30094.0
00:10:00,30733.0
00:10:00,30235.0
00:10:00,30216.0
00:10:00,29662.0
00:10:00,29806.0
00:10:00,29740.0
00:10:00,29960.0
00:10:00,29815.0
00:10:00,29481.0
00:10:00,29559.0
00:10:00,29584.0
00:10:00,29610.0
00:10:00,29631.0
00:10:00,29949.0
00:10:00,29640.0
00:10:00,30160.0
00:10:00,30181.0
00:10:00,29993.0
00:10:00,29641.0
00:10:00,29892.0
00:10:00,30025.0
00:10:00,29899.0
00:10:00,29566.0
00:10:00,30200.0
00:10:00,29864.0
00:10:00,30215.0
00:10:00,29945.0
00:10:00,30196.0
00:10:00,29889.0
00:10:00,29709.0
00:10:00,29362.0
00:10:00,29700.0
00:10:00,29755.0
00:10:00,29731.0
00:10:00,29721.0
00:10:00,29717.0
00:10:00,29227.0
00:10:00,29273.0
00:10:00,29795.0
00:10:00,29317.0
00:10:00,29821.0
00:10:00,29631.0
00:10:00,29665.0
00:10:00,29510.0
00:10:00,29656.0
00:10:00,29692.0
00:10:00,29643.0
00:10:00,29755.0
00:10:00,29750.0
00:10:00,29826.0
00:10:00,29734.0
00:10:00,29699.0
00:10:00,29765.0
00:10:00,29752.0
00:10:00,29711.0
00:10:00,29719.0
00:10:00,29772.0
00:10:00,29812.0
00:10:00,29836.0
00:10:00,29720.0
00:10:00,29695.0
00:10:00,29651.0
00:10:00,29628.0
00:10:00,29704.0
00:10:00,29683.0
00:10:00,29713.0
00:10:00,29582.0
00:10:00,29530.0
00:10:00,29521.0
00:10:00,29491.0
00:10:00,29415.0
00:10:00,29389.0
00:10:00,29438.0
00:10:00,29490.0
00:10:00,29523.0
00:10:00,29496.0
00:10:00,29525.0
01:10:00,29502.0
00:10:00,29513.0
00:10:00,29523.0
00:10:00,29512.0
00:10:00,29577.0
00:10:00,29577.0
00:10:00,29583.0
00:10:00,29581.0
00:10:00,29598.0
00:10:00,29637.0
00:10:00,29656.0
00:10:00,29644.0
00:10:00,29632.0
00:10:00,29640.0
00:10:00,29612.0
00:10:00,29638.0
00:10:00,29668.0
00:10:00,29725.0
00:10:00,29753.0
00:10:00,29746.0
00:10:00,29795.0
00:10:00,29771.0
00:10:00,29816.0
00:10:00,29813.0
01:10:00,29990.0
00:10:00,29958.0
00:10:00,29939.0
00:10:00,30085.0
00:10:00,30004.0
00:10:00,30028.0
00:10:00,30017.0
00:10:00,30260.0
00:10:00,30280.0
00:10:00,30223.0
00:10:00,30480.0
00:10:00,30265.0
