DATASET:,NOAA
FILENAME:,TAO_T8S155W_R_SST_10min.ascii
Timestamp,SST
2016-01-01 00:00:00,30892.0
00:10:00,30885.0
00:10:00,30881.0
00:10:00,30866.0
00:10:00,30865.0
00:10:00,30866.0
00:10:00,30861.0
00:10:00,30849.0
00:10:00,30844.0
00:10:00,30851.0
00:10:00,30847.0
00:10:00,30836.0
00:10:00,30833.0
00:10:00,30831.0
00:10:00,30827.0
00:10:00,30826.0
00:10:00,30821.0
00:10:00,30810.0
00:10:00,30809.0
00:10:00,30805.0
00:10:00,30799.0
00:10:00,30798.0
00:10:00,30795.0
00:10:00,30787.0
00:10:00,30779.0
00:10:00,30779.0
00:10:00,30767.0
00:10:00,30761.0
00:10:00,30767.0
00:10:00,30754.0
00:10:00,30752.0
00:10:00,30760.0
00:10:00,30756.0
00:10:00,30759.0
00:10:00,30748.0
00:10:00,30739.0
00:10:00,30747.0
00:10:00,30745.0
00:10:00,30725.0
00:10:00,30739.0
00:10:00,30722.0
00:10:00,30714.0
00:10:00,30714.0
00:10:00,30713.0
00:10:00,30716.0
00:10:00,30707.0
00:10:00,30714.0
00:10:00,30704.0
00:10:00,30708.0
00:10:00,30697.0
00:10:00,30705.0
00:10:00,30698.0
00:10:00,30700.0
00:10:00,30689.0
00:10:00,30691.0
00:10:00,30675.0
00:10:00,30677.0
00:10:00,30670.0
00:10:00,30673.0
00:10:00,30659.0
00:10:00,30659.0
00:10:00,30656.0
00:10:00,30658.0
00:10:00,30648.0
00:10:00,30647.0
00:10:00,30651.0
00:10:00,30650.0
00:10:00,30637.0
00:10:00,30635.0
00:10:00,30630.0
00:10:00,30632.0
00:10:00,30631.0
00:10:00,30629.0
00:10:00,30634.0
00:10:00,30624.0
00:10:00,30617.0
00:10:00,30620.0
00:10:00,30625.0
00:10:00,30618.0
00:10:00,30614.0
00:10:00,30617.0
00:10:00,30609.0
00:10:00,30610.0
00:10:00,30609.0
00:10:00,30601.0
00:10:00,30602.0
00:10:00,30595.0
00:10:00,30595.0
00:10:00,30607.0
00:10:00,30597.0
00:10:00,30602.0
00:10:00,30607.0
00:10:00,30600.0
00:10:00,30609.0
00:10:00,30598.0
00:10:00,30604.0
00:10:00,30606.0
00:10:00,30604.0
00:10:00,30592.0
00:10:00,30595.0
00:10:00,30591.0
00:10:00,30605.0
00:10:00,30607.0
00:10:00,30596.0
00:10:00,30609.0
00:10:00,30613.0
00:10:00,30604.0
00:10:00,30617.0
00:10:00,30609.0
00:10:00,30615.0
00:10:00,30619.0
00:10:00,30617.0
00:10:00,30621.0
00:10:00,30620.0
00:10:00,30617.0
00:10:00,30615.0
00:10:00,30613.0
00:10:00,30609.0
00:10:00,30609.0
00:10:00,30615.0
00:10:00,30612.0
00:10:00,30611.0
00:10:00,30604.0
00:10:00,30606.0
00:10:00,30598.0
00:10:00,30606.0
00:10:00,30608.0
00:10:00,30613.0
00:10:00,30614.0
00:10:00,30612.0
00:10:00,30619.0
00:10:00,30621.0
00:10:00,30629.0
00:10:00,30633.0
00:10:00,30636.0
00:10:00,30652.0
00:10:00,30648.0
00:10:00,30649.0
00:10:00,30649.0
00:10:00,30633.0
00:10:00,30642.0
00:10:00,30638.0
00:10:00,30637.0
00:10:00,30633.0
00:10:00,30631.0
00:10:00,30614.0
00:10:00,30615.0
00:10:00,30635.0
00:10:00,30615.0
00:10:00,30638.0
00:10:00,30630.0
00:10:00,30632.0
00:10:00,30633.0
00:10:00,30622.0
00:10:00,30629.0
00:10:00,30624.0
00:10:00,30640.0
00:10:00,30644.0
00:10:00,30649.0
00:10:00,30631.0
00:10:00,30647.0
00:10:00,30648.0
00:10:00,30651.0
00:10:00,30641.0
00:10:00,30658.0
00:10:00,30653.0
00:10:00,30646.0
00:10:00,30649.0
00:10:00,30659.0
00:10:00,30657.0
00:10:00,30663.0
00:10:00,30666.0
00:10:00,30650.0
00:10:00,30660.0
00:10:00,30661.0
00:10:00,30655.0
00:10:00,30657.0
00:10:00,30661.0
00:10:00,30659.0
00:10:00,30650.0
00:10:00,30655.0
00:10:00,30640.0
00:10:00,30646.0
00:10:00,30622.0
00:10:00,30629.0
00:10:00,30635.0
00:10:00,30624.0
00:10:00,30638.0
00:10:00,30625.0
00:10:00,30626.0
00:10:00,30638.0
00:10:00,30630.0
00:10:00,30632.0
00:10:00,30631.0
00:10:00,30627.0
00:10:00,30618.0
00:10:00,30622.0
00:10:00,30619.0
00:10:00,30615.0
00:10:00,30632.0
