Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
IRKIS,vwc_1202.dat.csv,26.305,CoderBase,,,,384.920,100,447185,0,447185,100,2630500,0,2630500,100
,,,CoderPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,133.012,34.56,118437,10,118447,26.49,940028,3934,943962,35.89
,,,,,,8,145.545,37.81,59321,10,59331,13.27,1099409,3934,1103343,41.94
,,,,,,16,161.833,42.04,29865,10,29875,6.68,1259170,3934,1263104,48.02
,,,,,,32,170.564,44.31,15341,10,15351,3.43,1343541,3934,1347475,51.23
,,,,,,64,173.414,45.05,8487,10,8497,1.9,1373196,3934,1377130,52.35
,,,,,,128,173.579,45.09,5867,10,5877,1.31,1377139,3934,1381073,52.5
,,,,,,256,173.870,45.17,6189,10,6199,1.39,1379140,3934,1383074,52.58
,,,CoderAPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,101.501,26.37,124963,10,124973,27.95,681420,3934,685354,26.05
,,,,,,8,83.084,21.58,65780,10,65790,14.71,593268,3934,597202,22.7
,,,,,,16,77.629,20.17,34545,10,34555,7.73,580860,3934,584794,22.23
,,,,,,32,78.574,20.41,18106,10,18116,4.05,604860,3934,608794,23.14
,,,,,,64,82.054,21.32,9476,10,9486,2.12,641328,3934,645262,24.53
,,,,,,128,86.433,22.45,4968,10,4978,1.11,680867,3934,684801,26.03
,,,,,,256,91.136,23.68,2600,10,2610,0.58,720864,3934,724798,27.55
,vwc_1203.dat.csv,26.305,CoderBase,,,,384.920,100,447185,0,447185,100,2630500,0,2630500,100
,,,CoderPCA,0,"[0, 0, 0, 0, 0, 'N', 0, 0, 0, 'N', 'N']",4,72.255,18.77,118437,10,118447,26.49,455372,2534,457906,17.41
,,,,,,8,74.578,19.37,59321,10,59331,13.27,533077,2534,535611,20.36
,,,,,,16,78.702,20.45,29865,10,29875,6.68,595520,2534,598054,22.74
,,,,,,32,80.277,20.86,15341,10,15351,3.43,622651,2534,625185,23.77
,,,,,,64,80.303,20.86,8487,10,8497,1.9,629709,2534,632243,24.04
,,,,,,128,80.072,20.8,5867,10,5877,1.31,630478,2534,633012,24.06
,,,,,,256,80.081,20.8,6189,10,6199,1.39,630232,2534,632766,24.05
,,,CoderAPCA,0,"[0, 0, 0, 0, 0, 'N', 0, 0, 0, 'N', 'N']",4,57.547,14.95,124963,10,124973,27.95,331188,2534,333722,12.69
,,,,,,8,45.916,11.93,65780,10,65790,14.71,297323,2534,299857,11.4
,,,,,,16,42.062,10.93,34545,10,34555,7.73,297724,2534,300258,11.41
,,,,,,32,41.932,10.89,18106,10,18116,4.05,313125,2534,315659,12.0
,,,,,,64,43.343,11.26,9476,10,9486,2.12,333040,2534,335574,12.76
,,,,,,128,45.369,11.79,4968,10,4978,1.11,353753,2534,356287,13.54
,,,,,,256,47.671,12.38,2600,10,2610,0.58,374544,2534,377078,14.33
,vwc_1204.dat.csv,26.305,CoderBase,,,,384.920,100,447185,0,447185,100,2630500,0,2630500,100
,,,CoderPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'N']",4,90.353,23.47,118437,10,118447,26.49,597901,4790,602691,22.91
,,,,,,8,95.528,24.82,59321,10,59331,13.27,698423,4790,703213,26.73
,,,,,,16,102.628,26.66,29865,10,29875,6.68,784679,4790,789469,30.01
,,,,,,32,105.697,27.46,15341,10,15351,3.43,823752,4790,828542,31.5
,,,,,,64,106.583,27.69,8487,10,8497,1.9,837693,4790,842483,32.03
,,,,,,128,106.959,27.79,5867,10,5877,1.31,843325,4790,848115,32.24
,,,,,,256,107.117,27.83,6189,10,6199,1.39,844265,4790,849055,32.28
,,,CoderAPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'N']",4,70.498,18.31,124963,10,124973,27.95,432540,4790,437330,16.63
,,,,,,8,57.035,14.82,65780,10,65790,14.71,384020,4790,388810,14.78
,,,,,,16,52.872,13.74,34545,10,34555,7.73,381948,4790,386738,14.7
,,,,,,32,53.106,13.8,18106,10,18116,4.05,400260,4790,405050,15.4
,,,,,,64,55.133,14.32,9476,10,9486,2.12,425104,4790,429894,16.34
,,,,,,128,57.837,15.03,4968,10,4978,1.11,451248,4790,456038,17.34
,,,,,,256,60.857,15.81,2600,10,2610,0.58,477774,4790,482564,18.34
,vwc_1205.dat.csv,26.305,CoderBase,,,,384.920,100,447185,0,447185,100,2630500,0,2630500,100
,,,CoderPCA,0,"[0, 0, 0, 0, 'N', 'N', 0, 0, 'N', 'N', 'N']",4,54.174,14.07,118437,10,118447,26.49,306902,6358,313260,11.91
,,,,,,8,51.986,13.51,59321,10,59331,13.27,348517,6358,354875,13.49
,,,,,,16,51.471,13.37,29865,10,29875,6.68,373855,6358,380213,14.45
,,,,,,32,50.948,13.24,15341,10,15351,3.43,384194,6358,390552,14.85
,,,,,,64,50.440,13.1,8487,10,8497,1.9,386979,6358,393337,14.95
,,,,,,128,50.232,13.05,5867,10,5877,1.31,387936,6358,394294,14.99
,,,,,,256,50.253,13.06,6189,10,6199,1.39,387784,6358,394142,14.98
,,,CoderAPCA,0,"[0, 0, 0, 0, 'N', 'N', 0, 0, 'N', 'N', 'N']",4,45.482,11.82,124963,10,124973,27.95,230844,6358,237202,9.02
,,,,,,8,36.703,9.54,65780,10,65790,14.71,219791,6358,226149,8.6
,,,,,,16,33.645,8.74,34545,10,34555,7.73,226562,6358,232920,8.85
,,,,,,32,33.330,8.66,18106,10,18116,4.05,240480,6358,246838,9.38
,,,,,,64,34.199,8.88,9476,10,9486,2.12,256064,6358,262422,9.98
,,,,,,128,35.627,9.26,4968,10,4978,1.11,272000,6358,278358,10.58
,,,,,,256,37.331,9.7,2600,10,2610,0.58,288000,6358,294358,11.19
,vwc_222.smet.csv,26.304,CoderBase,,,,384.905,100,447168,0,447168,100,2630400,0,2630400,100
,,,CoderPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,181.313,47.11,118419,10,118429,26.48,1329402,990,1330392,50.58
,,,,,,8,199.337,51.79,59303,10,59313,13.26,1532712,990,1533702,58.31
,,,,,,16,227.257,59.04,29847,10,29857,6.68,1785523,990,1786513,67.92
,,,,,,32,244.054,63.41,15323,10,15333,3.43,1934423,990,1935413,73.58
,,,,,,64,252.794,65.68,8469,10,8479,1.9,2011200,990,2012190,76.5
,,,,,,128,257.364,66.86,5867,10,5877,1.31,2050363,990,2051353,77.99
,,,,,,256,260.002,67.55,6189,10,6199,1.39,2071143,990,2072133,78.78
,,,CoderAPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,137.213,35.65,124963,10,124973,27.95,970056,990,971046,36.92
,,,,,,8,110.990,28.84,65780,10,65790,14.71,819455,990,820445,31.19
,,,,,,16,102.622,26.66,34545,10,34555,7.73,783748,990,784738,29.83
,,,,,,32,103.417,26.87,18106,10,18116,4.05,806550,990,807540,30.7
,,,,,,64,108.002,28.06,9476,10,9486,2.12,851856,990,852846,32.42
,,,,,,128,113.800,29.57,4968,10,4978,1.11,902751,990,903741,34.36
,,,,,,256,120.075,31.2,2600,10,2610,0.58,955314,990,956304,36.36
,vwc_333.smet.csv,26.088,CoderBase,,,,381.746,100,443496,0,443496,100,2608800,0,2608800,100
,,,CoderPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,189.029,49.52,117447,10,117457,26.48,1391444,1646,1393090,53.4
,,,,,,8,208.414,54.59,58817,10,58827,13.26,1605155,1646,1606801,61.59
,,,,,,16,240.496,63.0,29613,10,29623,6.68,1891013,1646,1892659,72.55
