Dataset,Filename,Column,Coder,0,,0,,0,WORST,,0
IRKIS
,Global
,,Time Delta
,,,CoderBase,,,1.0,,99.42,99.42,,3126589
,,,CoderPCA,128,,0.01,,55.71,55.71,,41033
,,,CoderAPCA,256,,0.01,,0.00,0.00,,18175
,,VWC
,,,CoderBase,,,1.0,,76.90,76.90,,18391700
,,,CoderPCA,8,,0.46,,49.93,49.93,,8484660
,,,CoderAPCA,32,,0.23,,0.00,0.00,,4248015
NOAA-SST
,Global
,,Time Delta
,,,CoderBase,256,,1.0,,98.74,98.74,,216546
,,,CoderPCA,16,,0.11,,88.78,88.78,,24291
,,,CoderAPCA,256,,0.01,,0.00,0.00,,2725
,,SST
,,,CoderBase,256,,1.0,,37.34,37.34,,11209440
,,,CoderPCA,128,,0.63,,0.00,0.00,,7024170
,,,CoderAPCA,8,,0.76,,17.29,17.29,,8492183
NOAA-ADCP
,Global
,,Time Delta
,,,CoderBase,256,,1.0,,99.18,99.18,,36720
,,,CoderPCA,32,,0.08,,89.37,89.37,,2823
,,,CoderAPCA,256,,0.01,,0.00,0.00,,300
,,Vel
,,,CoderBase,256,,1.0,,28.87,28.87,,14696640
,,,CoderPCA,64,,0.71,,0.00,0.00,,10453869
,,,CoderAPCA,4,,0.87,,18.03,18.03,,12752614
SolarAnywhere
,Global
,,Time Delta
,,,CoderBase,256,,1.0,,99.39,99.39,,595612
,,,CoderPCA,64,,0.03,,76.18,76.18,,15219
,,,CoderAPCA,256,,0.01,,0.00,0.00,,3625
,,GHI
,,,CoderBase,256,,1.0,,22.56,22.56,,4204320
,,,CoderPCA,4,,0.77,,0.00,0.00,,3255840
,,,CoderAPCA,4,,0.83,,6.30,6.30,,3474708
,,DNI
,,,CoderBase,256,,1.0,,24.04,24.04,,4204320
,,,CoderPCA,4,,0.76,,0.00,0.00,,3193560
,,,CoderAPCA,4,,0.79,,3.74,3.74,,3317700
,,DHI
,,,CoderBase,256,,1.0,,22.56,22.56,,4204320
,,,CoderPCA,4,,0.77,,0.00,0.00,,3255780
,,,CoderAPCA,4,,0.82,,5.64,5.64,,3450564
ElNino
,el-nino.csv
,,Time Delta
,,,CoderBase,256,,1.0,,99.33,99.33,,108307
,,,CoderPCA,64,,0.04,,81.61,81.61,,3942
,,,CoderAPCA,256,,0.01,,0.00,0.00,,725
,,Lat
,,,CoderBase,256,,1.0,,81.02,81.02,,5466318
,,,CoderPCA,16,,0.36,,47.92,47.92,,1991971
,,,CoderAPCA,64,,0.19,,0.00,0.00,,1037459
,,Long
,,,CoderBase,256,,1.0,,79.85,79.85,,7951008
,,,CoderPCA,32,,0.37,,45.83,45.83,,2957040
,,,CoderAPCA,64,,0.2,,0.00,0.00,,1601864
,,Zon. Wind
,,,CoderBase,256,,1.0,,64.15,64.15,,4472442
,,,CoderPCA,32,,0.36,,0.00,0.00,,1603164
,,,CoderAPCA,16,,0.5,,27.97,27.97,,2225782
,,Mer. Wind
,,,CoderBase,256,,1.0,,64.15,64.15,,4472442
,,,CoderPCA,32,,0.36,,0.00,0.00,,1603164
,,,CoderAPCA,16,,0.5,,28.27,28.27,,2235038
,,Humidity
,,,CoderBase,256,,1.0,,72.85,72.85,,4969380
,,,CoderPCA,32,,0.27,,0.00,0.00,,1349280
,,,CoderAPCA,32,,0.36,,25.41,25.41,,1809030
,,Air Temp.
,,,CoderBase,256,,1.0,,63.17,63.17,,5963256
,,,CoderPCA,32,,0.37,,0.00,0.00,,2196360
,,,CoderAPCA,32,,0.47,,21.33,21.33,,2791893
,,Sea Temp.
