Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
IRKIS,vwc_1202.dat.csv,26.305,CoderBase,,,,384.813,100,447185,0,447185,100,2630500,0,2630500,100
,,,CoderPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,173.996,45.22,447190,0,447190,100.0,940028,3928,943956,35.89
,,,,,,8,193.919,50.39,447190,0,447190,100.0,1099409,3928,1103337,41.94
,,,,,,16,213.889,55.58,447190,0,447190,100.0,1259170,3928,1263098,48.02
,,,,,,32,224.435,58.32,447190,0,447190,100.0,1343541,3928,1347469,51.22
,,,,,,64,228.142,59.29,447190,0,447190,100.0,1373196,3928,1377124,52.35
,,,,,,128,228.635,59.41,447190,0,447190,100.0,1377139,3928,1381067,52.5
,,,,,,256,228.885,59.48,447190,0,447190,100.0,1379140,3928,1383068,52.58
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,173.996,45.22,447190,0,447190,100.0,940028,3928,943956,35.89
,,,,,,8,193.919,50.39,447190,0,447190,100.0,1099409,3928,1103337,41.94
,,,,,,16,213.889,55.58,447190,0,447190,100.0,1259170,3928,1263098,48.02
,,,,,,32,224.435,58.32,447190,0,447190,100.0,1343541,3928,1347469,51.22
,,,,,,64,228.142,59.29,447190,0,447190,100.0,1373196,3928,1377124,52.35
,,,,,,128,228.635,59.41,447190,0,447190,100.0,1377139,3928,1381067,52.5
,,,,,,256,228.885,59.48,447190,0,447190,100.0,1379140,3928,1383068,52.58
,,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",4,158.025,41.07,447190,0,447190,100.0,812258,3928,816186,31.03
,,,,,,8,170.232,44.24,447190,0,447190,100.0,909919,3928,913847,34.74
,,,,,,16,186.726,48.52,447190,0,447190,100.0,1041870,3928,1045798,39.76
,,,,,,32,198.666,51.63,447190,0,447190,100.0,1137391,3928,1141319,43.39
,,,,,,64,207.509,53.92,447190,0,447190,100.0,1208136,3928,1212064,46.08
,,,,,,128,213.395,55.45,447190,0,447190,100.0,1255219,3928,1259147,47.87
,,,,,,256,220.916,57.41,447190,0,447190,100.0,1315390,3928,1319318,50.15
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",4,124.720,32.41,447190,0,447190,100.0,545818,3928,549746,20.9
,,,,,,8,118.659,30.84,447190,0,447190,100.0,497329,3928,501257,19.06
,,,,,,16,125.306,32.56,447190,0,447190,100.0,550510,3928,554438,21.08
,,,,,,32,137.950,35.85,447190,0,447190,100.0,651661,3928,655589,24.92
,,,,,,64,158.374,41.16,447190,0,447190,100.0,815056,3928,818984,31.13
,,,,,,128,180.540,46.92,447190,0,447190,100.0,992379,3928,996307,37.88
,,,,,,256,202.435,52.61,447190,0,447190,100.0,1167540,3928,1171468,44.53
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",4,107.505,27.94,447190,0,447190,100.0,408098,3928,412026,15.66
,,,,,,8,90.236,23.45,447190,0,447190,100.0,269949,3928,273877,10.41
,,,,,,16,88.987,23.12,447190,0,447190,100.0,259960,3928,263888,10.03
,,,,,,32,98.321,25.55,447190,0,447190,100.0,334631,3928,338559,12.87
,,,,,,64,119.793,31.13,447190,0,447190,100.0,506406,3928,510334,19.4
,,,,,,128,146.891,38.17,447190,0,447190,100.0,723189,3928,727117,27.64
