Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
IRKIS,vwc_1202.dat.csv,26.305,CoderBase,,,,384.813,100,447185,0,447185,100,2630500,0,2630500,100
,,,CoderPCA,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,174.011,45.22,447190,0,447190,100.0,940148,3928,944076,35.89
,,,,,,8,193.934,50.4,447190,0,447190,100.0,1099529,3928,1103457,41.95
,,,,,,16,213.901,55.59,447190,0,447190,100.0,1259270,3928,1263198,48.02
,,,,,,32,224.435,58.32,447190,0,447190,100.0,1343541,3928,1347469,51.22
,,,,,,64,228.142,59.29,447190,0,447190,100.0,1373196,3928,1377124,52.35
,,,,,,128,228.635,59.41,447190,0,447190,100.0,1377139,3928,1381067,52.5
,,,,,,256,228.885,59.48,447190,0,447190,100.0,1379140,3928,1383068,52.58
,,,,0.01,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,174.011,45.22,447190,0,447190,100.0,940148,3928,944076,35.89
,,,,,,8,193.934,50.4,447190,0,447190,100.0,1099529,3928,1103457,41.95
,,,,,,16,213.901,55.59,447190,0,447190,100.0,1259270,3928,1263198,48.02
,,,,,,32,224.435,58.32,447190,0,447190,100.0,1343541,3928,1347469,51.22
,,,,,,64,228.142,59.29,447190,0,447190,100.0,1373196,3928,1377124,52.35
,,,,,,128,228.635,59.41,447190,0,447190,100.0,1377139,3928,1381067,52.5
,,,,,,256,228.885,59.48,447190,0,447190,100.0,1379140,3928,1383068,52.58
,,,,0.03,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",4,158.040,41.07,447190,0,447190,100.0,812378,3928,816306,31.03
,,,,,,8,170.247,44.24,447190,0,447190,100.0,910039,3928,913967,34.74
,,,,,,16,186.751,48.53,447190,0,447190,100.0,1042070,3928,1045998,39.76
,,,,,,32,198.666,51.63,447190,0,447190,100.0,1137391,3928,1141319,43.39
,,,,,,64,207.509,53.92,447190,0,447190,100.0,1208136,3928,1212064,46.08
,,,,,,128,213.395,55.45,447190,0,447190,100.0,1255219,3928,1259147,47.87
,,,,,,256,220.916,57.41,447190,0,447190,100.0,1315390,3928,1319318,50.15
,,,,0.05,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",4,124.736,32.41,447190,0,447190,100.0,545948,3928,549876,20.9
,,,,,,8,118.675,30.84,447190,0,447190,100.0,497459,3928,501387,19.06
,,,,,,16,125.345,32.57,447190,0,447190,100.0,550820,3928,554748,21.09
,,,,,,32,137.984,35.86,447190,0,447190,100.0,651931,3928,655859,24.93
,,,,,,64,158.448,41.18,447190,0,447190,100.0,815646,3928,819574,31.16
,,,,,,128,180.692,46.96,447190,0,447190,100.0,993599,3928,997527,37.92
,,,,,,256,202.747,52.69,447190,0,447190,100.0,1170040,3928,1173968,44.63
,,,,0.1,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",4,107.523,27.94,447190,0,447190,100.0,408248,3928,412176,15.67
,,,,,,8,90.255,23.45,447190,0,447190,100.0,270099,3928,274027,10.42
,,,,,,16,89.064,23.14,447190,0,447190,100.0,260570,3928,264498,10.06
,,,,,,32,98.420,25.58,447190,0,447190,100.0,335421,3928,339349,12.9
,,,,,,64,119.939,31.17,447190,0,447190,100.0,507576,3928,511504,19.45
,,,,,,128,147.196,38.25,447190,0,447190,100.0,725629,3928,729557,27.73
,,,,,,256,175.654,45.65,447190,0,447190,100.0,953290,3928,957218,36.39
,,,,0.15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",4,105.933,27.53,447190,0,447190,100.0,395528,3928,399456,15.19
,,,,,,8,85.976,22.34,447190,0,447190,100.0,235869,3928,239797,9.12
,,,,,,16,80.757,20.99,447190,0,447190,100.0,194120,3928,198048,7.53
,,,,,,32,84.974,22.08,447190,0,447190,100.0,227851,3928,231779,8.81
,,,,,,64,98.283,25.54,447190,0,447190,100.0,334326,3928,338254,12.86
,,,,,,128,121.320,31.53,447190,0,447190,100.0,518619,3928,522547,19.86
,,,,,,256,143.779,37.36,447190,0,447190,100.0,698290,3928,702218,26.7
,,,,0.2,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",4,105.438,27.4,447190,0,447190,100.0,391568,3928,395496,15.04
,,,,,,8,84.646,22.0,447190,0,447190,100.0,225229,3928,229157,8.71
,,,,,,16,78.264,20.34,447190,0,447190,100.0,174170,3928,178098,6.77
,,,,,,32,80.750,20.98,447190,0,447190,100.0,194061,3928,197989,7.53
,,,,,,64,91.747,23.84,447190,0,447190,100.0,282036,3928,285964,10.87
,,,,,,128,113.224,29.42,447190,0,447190,100.0,453849,3928,457777,17.4
,,,,,,256,134.535,34.96,447190,0,447190,100.0,624340,3928,628268,23.88
,,,,0.3,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",4,104.973,27.28,447190,0,447190,100.0,387848,3928,391776,14.89
,,,,,,8,83.272,21.64,447190,0,447190,100.0,214239,3928,218167,8.29
,,,,,,16,75.451,19.61,447190,0,447190,100.0,151670,3928,155598,5.92
,,,,,,32,76.061,19.77,447190,0,447190,100.0,156551,3928,160479,6.1
,,,,,,64,82.848,21.53,447190,0,447190,100.0,210846,3928,214774,8.16
,,,,,,128,97.031,25.22,447190,0,447190,100.0,324309,3928,328237,12.48
,,,,,,256,113.497,29.49,447190,0,447190,100.0,456040,3928,459968,17.49
