Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
IRKIS,vwc_1202.dat.csv,26.305,CoderBase,,,,384.813,100,447185,0,447185,100,2630500,0,2630500,100
,,,CoderPCA,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,216.665,56.3,447185,0,447185,100.0,1285310,0,1285310,48.86
,,,,,,8,215.185,55.92,447185,0,447185,100.0,1273470,0,1273470,48.41
,,,,,,16,225.863,58.69,447185,0,447185,100.0,1358900,0,1358900,51.66
,,,,,,32,230.881,60.0,447185,0,447185,100.0,1399040,0,1399040,53.19
,,,,,,64,232.238,60.35,447185,0,447185,100.0,1409900,0,1409900,53.6
,,,,,,128,233.465,60.67,447185,0,447185,100.0,1419710,0,1419710,53.97
,,,,,,256,237.680,61.77,447185,0,447185,100.0,1453430,0,1453430,55.25
,,,,0.01,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,216.665,56.3,447185,0,447185,100.0,1285310,0,1285310,48.86
,,,,,,8,215.185,55.92,447185,0,447185,100.0,1273470,0,1273470,48.41
,,,,,,16,225.863,58.69,447185,0,447185,100.0,1358900,0,1358900,51.66
,,,,,,32,230.881,60.0,447185,0,447185,100.0,1399040,0,1399040,53.19
,,,,,,64,232.238,60.35,447185,0,447185,100.0,1409900,0,1409900,53.6
,,,,,,128,233.465,60.67,447185,0,447185,100.0,1419710,0,1419710,53.97
,,,,,,256,237.680,61.77,447185,0,447185,100.0,1453430,0,1453430,55.25
,,,,0.03,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",4,200.948,52.22,447185,0,447185,100.0,1159580,0,1159580,44.08
,,,,,,8,191.997,49.89,447185,0,447185,100.0,1087970,0,1087970,41.36
,,,,,,16,199.051,51.73,447185,0,447185,100.0,1144400,0,1144400,43.51
,,,,,,32,205.693,53.45,447185,0,447185,100.0,1197540,0,1197540,45.53
,,,,,,64,212.236,55.15,447185,0,447185,100.0,1249880,0,1249880,47.51
,,,,,,128,219.653,57.08,447185,0,447185,100.0,1309220,0,1309220,49.77
,,,,,,256,230.986,60.03,447185,0,447185,100.0,1399880,0,1399880,53.22
,,,,0.05,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",4,167.885,43.63,447185,0,447185,100.0,895070,0,895070,34.03
,,,,,,8,141.046,36.65,447185,0,447185,100.0,680360,0,680360,25.86
,,,,,,16,138.095,35.89,447185,0,447185,100.0,656750,0,656750,24.97
,,,,,,32,146.832,38.16,447185,0,447185,100.0,726650,0,726650,27.62
,,,,,,64,164.907,42.85,447185,0,447185,100.0,871250,0,871250,33.12
,,,,,,128,189.173,49.16,447185,0,447185,100.0,1065380,0,1065380,40.5
,,,,,,256,216.005,56.13,447185,0,447185,100.0,1280030,0,1280030,48.66
,,,,0.1,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",4,150.938,39.22,447185,0,447185,100.0,759500,0,759500,28.87
,,,,,,8,113.002,29.37,447185,0,447185,100.0,456010,0,456010,17.34
,,,,,,16,102.807,26.72,447185,0,447185,100.0,374450,0,374450,14.23
,,,,,,32,108.392,28.17,447185,0,447185,100.0,419130,0,419130,15.93
