Dataset,Filename,Column,Coder,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30
IRKIS
,Global
,,VWC
,,,CoderPCA,4,4,4,8,8,16,16,16,,34.15,31.79,25.05,16.87,10.87,8.99,7.49,6.15
,,,CoderAPCA,16,16,32,64,128,256,256,256,,20.32,18.35,12.37,6.77,3.07,2.22,1.71,1.21
,,,CoderCA,16,16,32,64,128,256,256,256,,32.4,29.61,21.21,12.99,6.89,4.97,3.67,2.58
,,,CoderPWLH,32,64,128,256,256,256,256,256,,76.54,67.79,42.99,20.37,7.73,5.57,4.34,3.28
,,,CoderPWLHInt,32,32,32,32,64,256,256,256,,27.81,27.81,24.71,21.81,13.17,6.78,3.44,1.63
,,,CoderFR,8,16,32,64,128,256,256,256,,39.64,36.6,25.88,14.31,6.8,4.97,3.75,2.74
,,,CoderSF,,,,,,,,,,269.41,236.34,145.37,65.29,22.48,15.5,11.29,7.62
,,,CoderGAMPSLimit,32,64,128,256,256,256,256,256,,95.75,85.55,55.38,28.49,12.09,8.64,6.6,4.62
