Dataset,Filename,Column,Coder,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30,WORST,,0,1,3,5,10,15,20,30
IRKIS
,Global
,,VWC
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,79.68,81.65,87.63,93.23,96.93,97.78,98.29,98.79,98.79,,18391700,18391700,18391700,18391700,18391700,18391700,18391700,18391700
,,,CoderPCA,4,4,4,8,8,16,16,16,,0.34,0.32,0.25,0.17,0.11,0.09,0.07,0.06,,40.52,42.28,50.62,59.86,71.73,75.33,77.21,80.28,80.28,,6281279,5847449,4606799,3102034,1998694,1653631,1377781,1130281
,,,CoderAPCA,16,16,32,64,128,256,256,256,,0.2,0.18,0.12,0.07,0.03,0.02,0.02,0.01,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,3736382,3375350,2274681,1245168,564961,407946,313986,222924
,,,CoderCA,16,16,32,64,128,256,256,256,,0.32,0.3,0.21,0.13,0.07,0.05,0.04,0.03,,37.29,38.02,41.70,47.88,55.44,55.39,53.54,53.02,55.44,,5958420,5446258,3901701,2389104,1267826,914520,675750,474492
,,,CoderPWLH,32,64,128,256,256,256,256,256,,0.77,0.68,0.43,0.2,0.08,0.06,0.04,0.03,,73.46,72.93,71.23,66.76,60.28,60.20,60.65,63.08,72.93,,14077670,12468078,7906589,3746216,1422408,1024952,797968,603864
,,,CoderPWLHInt,32,32,32,32,64,256,256,256,,0.28,0.28,0.25,0.22,0.13,0.07,0.03,0.02,,26.94,34.00,49.94,68.95,76.68,67.29,50.37,25.64,76.68,,5114166,5114166,4544241,4010766,2422850,1247012,632676,299776
,,,CoderFR,8,16,32,64,128,256,256,256,,0.4,0.37,0.26,0.14,0.07,0.05,0.04,0.03,,48.75,49.85,52.21,52.70,54.82,55.35,54.48,55.71,55.71,,7290060,6730854,4759281,2632290,1250487,913694,689792,503312
,,,CoderSF,,,,,,,,,,2.69,2.36,1.45,0.65,0.22,0.15,0.11,0.08,,92.46,92.23,91.49,89.63,86.33,85.69,84.88,84.09,92.23,,49549751,43467788,26735198,12008429,4133882,2850461,2076977,1401017
,,,CoderGAMPSLimit,32,64,128,256,256,256,256,256,,0.96,0.86,0.55,0.28,0.12,0.09,0.07,0.05,,78.78,78.55,77.67,76.23,74.59,74.31,74.12,73.74,78.55,,17609734,15734326,10185785,5239480,2223328,1588216,1213240,848992
NOAA-SST
,Global
,,SST
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,39.16,71.88,86.36,91.12,95.37,96.85,97.61,98.28,98.28,,11209440,11209440,11209440,11209440,11209440,11209440,11209440,11209440
,,,CoderPCA,256,4,4,4,8,8,16,16,,0.61,0.42,0.27,0.22,0.15,0.12,0.1,0.08,,0.00,32.71,49.42,60.11,68.29,73.53,76.95,78.54,78.54,,6819419,4684623,3023775,2495151,1638219,1335371,1164661,900661
,,,CoderAPCA,4,8,32,64,128,256,256,256,,0.66,0.28,0.14,0.09,0.05,0.03,0.02,0.02,,7.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,7408940,3152121,1529501,995360,519491,353456,268400,193280
,,,CoderCA,4,8,32,64,128,128,256,256,,0.68,0.43,0.24,0.17,0.09,0.06,0.05,0.03,,9.95,34.08,43.19,46.87,50.50,51.18,51.51,50.19,51.51,,7572974,4782017,2692292,1873490,1049572,724007,553544,388016
,,,CoderPWLH,4,32,128,128,256,256,256,256,,1.24,0.57,0.26,0.16,0.08,0.06,0.04,0.03,,50.78,50.47,47.38,45.46,43.84,43.74,45.71,49.06,50.47,,13855300,6364556,2906830,1824893,924952,628216,494400,379408
