Dataset,Filename,Column,Coder,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30
IRKIS
,Global
,,VWC
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,18391700,18391700,18391700,18391700,18391700,18391700,18391700,18391700
,,,CoderPCA,4,4,4,8,8,16,16,16,,0.34,0.32,0.25,0.17,0.11,0.09,0.07,0.06,,6281279,5847449,4606799,3102034,1998694,1653631,1377781,1130281
,,,CoderAPCA,16,16,32,64,128,256,256,256,,0.2,0.18,0.12,0.07,0.03,0.02,0.02,0.01,,3736382,3375350,2274681,1245168,564961,407946,313986,222924
,,,CoderCA,16,16,32,64,128,256,256,256,,0.32,0.3,0.21,0.13,0.07,0.05,0.04,0.03,,5958420,5446258,3901701,2389104,1267826,914520,675750,474492
,,,CoderPWLH,32,64,128,256,256,256,256,256,,0.77,0.68,0.43,0.2,0.08,0.06,0.04,0.03,,14077670,12468078,7906589,3746216,1422408,1024952,797968,603864
,,,CoderPWLHInt,32,32,32,32,64,256,256,256,,0.28,0.28,0.25,0.22,0.13,0.07,0.03,0.02,,5114166,5114166,4544241,4010766,2422850,1247012,632676,299776
,,,CoderFR,8,16,32,64,128,256,256,256,,0.4,0.37,0.26,0.14,0.07,0.05,0.04,0.03,,7290060,6730854,4759281,2632290,1250487,913694,689792,503312
,,,CoderSF,,,,,,,,,,2.69,2.36,1.45,0.65,0.22,0.15,0.11,0.08,,49549751,43467788,26735198,12008429,4133882,2850461,2076977,1401017
,,,CoderGAMPSLimit,32,64,128,256,256,256,256,256,,0.96,0.86,0.55,0.28,0.12,0.09,0.07,0.05,,17609734,15734326,10185785,5239480,2223328,1588216,1213240,848992
NOAA-SST
,Global
,,SST
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,11209440,11209440,11209440,11209440,11209440,11209440,11209440,11209440
,,,CoderPCA,256,4,4,4,8,8,16,16,,0.61,0.42,0.27,0.22,0.15,0.12,0.1,0.08,,6819419,4684623,3023775,2495151,1638219,1335371,1164661,900661
