Dataset,Filename,Column,Coder,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30
IRKIS
,Global
,,VWC
,,,CoderPCA,4,4,4,8,8,16,16,16,,34.15,31.79,25.05,16.87,10.87,8.99,7.49,6.15
,,,CoderAPCA,16,16,32,64,128,256,256,256,,20.32,18.35,12.37,6.77,3.07,2.22,1.71,1.21
,,,CoderCA,16,16,32,64,128,256,256,256,,32.4,29.61,21.21,12.99,6.89,4.97,3.67,2.58
,,,CoderPWLH,32,64,128,256,256,256,256,256,,76.54,67.79,42.99,20.37,7.73,5.57,4.34,3.28
,,,CoderPWLHInt,32,32,32,32,64,256,256,256,,27.81,27.81,24.71,21.81,13.17,6.78,3.44,1.63
,,,CoderFR,8,16,32,64,128,256,256,256,,39.64,36.6,25.88,14.31,6.8,4.97,3.75,2.74
,,,CoderSF,,,,,,,,,,269.41,236.34,145.37,65.29,22.48,15.5,11.29,7.62
,,,CoderGAMPSLimit,32,64,128,256,256,256,256,256,,95.75,85.55,55.38,28.49,12.09,8.64,6.6,4.62
NOAA-SST
,Global
,,SST
,,,CoderPCA,256,4,4,4,8,8,16,16,,60.84,41.79,26.98,22.26,14.61,11.91,10.39,8.03
,,,CoderAPCA,4,8,32,64,128,256,256,256,,66.1,28.12,13.64,8.88,4.63,3.15,2.39,1.72
,,,CoderCA,4,8,32,64,128,128,256,256,,67.56,42.66,24.02,16.71,9.36,6.46,4.94,3.46
,,,CoderPWLH,4,32,128,128,256,256,256,256,,123.6,56.78,25.93,16.28,8.25,5.6,4.41,3.38
,,,CoderPWLHInt,4,16,64,128,256,256,256,256,,63.83,33.37,15.39,9.73,4.92,3.33,2.63,2.03
,,,CoderFR,4,16,32,64,128,256,256,256,,66.07,44.27,24.08,16.53,9.26,6.51,5.05,3.78
,,,CoderSF,,,,,,,,,,413.77,170.25,76.66,48.24,24.28,16.32,12.32,8.75
,,,CoderGAMPSLimit,4,16,64,128,256,256,256,256,,241.52,96.5,43.88,27.52,13.62,8.87,6.61,4.61
NOAA-ADCP
,Global
,,Vel
,,,CoderPCA,256,256,256,256,4,4,4,4,,68.22,68.22,68.22,68.22,65.08,59.58,53.76,43.52
,,,CoderAPCA,4,4,4,4,4,4,8,8,,77.52,74.51,66.8,61.07,48.44,40.9,34.9,25.93
,,,CoderCA,4,4,4,4,4,4,4,8,,78.9,77.81,74.85,72.27,65.49,59.9,55.33,47.63
,,,CoderPWLH,4,4,4,4,8,16,16,32,,185.62,181.68,171.03,162.46,137.09,117.57,100.61,75.46
,,,CoderPWLHInt,4,4,4,4,8,8,8,16,,73.3,72.88,69.83,66.83,59.28,51.1,44.7,34.02
,,,CoderFR,4,4,4,4,4,4,4,8,,76.38,75.8,74.12,72.5,67.74,63.3,59.36,50.06
,,,CoderSF,,,,,,,,,,612.65,592.58,541.95,503.76,412.83,349.98,300.93,225.94
,,,CoderGAMPSLimit,4,4,4,4,8,8,16,16,,364.52,350.35,314.03,287.02,226.13,184.98,155.24,111.45
SolarAnywhere
,Global
,,GHI
,,,CoderPCA,4,4,4,4,4,4,4,4,,77.65,76.51,75.65,74.95,72.61,70.42,68.26,64.0
,,,CoderAPCA,4,8,16,16,16,16,16,16,,82.64,76.1,71.39,67.2,58.52,52.41,47.03,37.78
,,,CoderCA,8,16,16,16,16,16,16,16,,92.48,87.7,82.0,78.58,70.05,64.02,59.91,54.06
,,,CoderPWLH,16,16,16,16,16,16,16,16,,229.38,204.74,189.85,177.22,154.53,139.32,128.19,111.57
,,,CoderPWLHInt,16,16,16,16,16,16,16,16,,81.0,78.27,75.77,73.26,66.97,62.83,59.88,55.37
,,,CoderFR,4,4,8,8,8,8,8,8,,94.61,92.66,90.03,87.79,82.03,75.62,70.47,62.89
,,,CoderSF,,,,,,,,,,642.77,542.01,487.49,446.98,386.32,358.49,336.65,301.04
,,,CoderGAMPSLimit,16,16,16,16,16,16,16,32,,395.64,369.72,346.67,326.3,284.14,254.54,228.56,183.17
,,DNI
,,,CoderPCA,4,4,4,4,4,4,4,4,,75.93,74.35,72.75,71.49,69.79,68.18,66.14,62.13
,,,CoderAPCA,4,16,16,16,16,16,16,16,,78.91,72.22,65.75,61.37,53.98,48.55,43.36,35.66
,,,CoderCA,16,16,16,16,16,16,16,16,,89.05,85.08,80.31,77.27,71.57,67.56,64.55,59.47
,,,CoderPWLH,16,16,16,16,16,32,32,32,,216.33,200.37,187.15,178.53,163.99,152.63,141.37,121.77
,,,CoderPWLHInt,16,16,16,16,16,16,16,16,,76.4,74.29,72.55,70.86,67.21,64.23,61.64,57.22
,,,CoderFR,4,8,8,8,8,8,8,8,,93.01,90.51,87.24,84.75,80.47,77.17,73.95,68.26
,,,CoderSF,,,,,,,,,,613.85,538.74,497.11,466.8,414.32,384.56,364.01,330.32
,,,CoderGAMPSLimit,16,16,16,16,16,32,32,32,,384.84,350.73,319.3,298.05,262.19,235.23,208.97,169.79
,,DHI
,,,CoderPCA,4,4,4,4,4,4,4,4,,77.66,77.43,76.11,75.33,73.98,72.64,70.74,66.68
,,,CoderAPCA,4,4,16,16,16,16,16,16,,82.07,78.16,71.62,67.6,60.12,53.62,47.86,38.71
,,,CoderCA,8,8,8,16,16,16,16,16,,92.21,89.76,85.41,81.66,75.04,70.55,66.66,60.51
,,,CoderPWLH,16,16,16,16,16,16,16,16,,228.63,215.13,196.88,187.2,169.32,154.67,142.4,123.42
,,,CoderPWLHInt,16,16,16,16,16,16,16,16,,80.74,80.74,75.57,72.78,67.69,63.49,60.08,54.61
,,,CoderFR,4,4,8,8,8,8,8,8,,94.49,93.3,90.69,88.56,84.22,80.25,75.98,68.73
,,,CoderSF,,,,,,,,,,678.7,600.62,547.01,513.79,462.82,424.56,392.69,340.56
,,,CoderGAMPSLimit,16,16,16,16,16,16,16,16,,394.46,383.85,347.77,328.23,291.87,260.32,232.34,188.19
ElNino
,el-nino.csv
,,Lat
,,,CoderPCA,4,=,4,4,4,4,8,8,,25.05,=,24.89,24.09,20.79,18.06,15.94,12.17
,,,CoderAPCA,16,=,16,16,16,32,32,64,,15.96,=,15.82,15.11,12.34,9.89,8.61,5.76
,,,CoderCA,8,=,8,16,16,32,32,64,,25.85,=,25.72,24.9,21.41,18.2,16.29,12.31
,,,CoderPWLH,32,=,32,32,64,128,128,256,,57.94,=,57.41,54.79,43.24,33.39,28.42,18.47
,,,CoderPWLHInt,16,=,16,16,16,16,32,32,,22.54,=,22.54,22.54,22.36,21.43,19.56,16.98
,,,CoderFR,8,=,8,8,16,16,32,64,,29.15,=,29.0,28.16,24.19,20.19,17.92,13.25
,,,CoderSF,,=,,,,,,,,203.87,=,201.76,191.54,148.25,112.95,95.2,60.95
,,,CoderGAMPSLimit,32,=,32,32,64,128,128,256,,71.07,=,70.42,66.97,52.77,41.02,34.93,22.43
,,Long
,,,CoderPCA,4,4,4,4,8,8,8,8,,27.24,26.83,21.87,20.44,16.42,13.59,11.33,8.13
,,,CoderAPCA,8,16,16,32,64,64,128,256,,17.36,17.05,13.04,11.75,8.65,6.56,4.93,2.37
,,,CoderCA,8,8,16,16,32,64,64,128,,27.11,26.74,21.77,19.99,15.31,12.43,10.02,6.54
,,,CoderPWLH,32,32,64,64,128,256,256,256,,46.53,45.56,33.9,30.22,21.48,16.19,11.97,5.8
,,,CoderPWLHInt,16,16,16,16,64,64,64,128,,24.69,24.48,24.23,22.43,17.74,15.92,14.12,11.41
,,,CoderFR,8,8,16,16,32,64,64,128,,30.15,29.72,24.03,21.95,16.56,13.34,10.59,6.71
,,,CoderSF,,,,,,,,,,162.39,158.72,115.15,101.98,71.41,53.11,38.83,17.9
,,,CoderGAMPSLimit,16,32,64,64,128,256,256,256,,58.9,57.74,42.82,38.08,27.16,20.28,14.91,6.93
,,Zonal Winds
,,,CoderPCA,256,=,256,256,256,4,4,4,,31.46,=,31.46,31.46,31.46,30.82,29.48,25.92
,,,CoderAPCA,4,=,4,4,4,4,4,8,,37.11,=,33.25,31.56,27.36,23.5,20.54,16.44
,,,CoderCA,4,=,4,4,4,4,4,4,,37.89,=,36.41,35.7,33.8,31.71,29.78,26.57
,,,CoderPWLH,4,=,4,4,4,8,8,16,,112.34,=,105.59,102.45,94.09,83.71,74.4,59.36
,,,CoderPWLHInt,4,=,4,4,4,4,8,8,,34.51,=,34.51,33.76,31.12,28.38,26.04,20.98
,,,CoderFR,4,=,4,4,4,4,4,4,,36.37,=,35.57,35.17,33.96,32.53,31.08,28.41
,,,CoderSF,,=,,,,,,,,360.18,=,326.17,311.61,275.9,243.11,216.53,175.22
,,,CoderGAMPSLimit,4,=,4,4,4,8,8,8,,219.34,=,196.14,186.04,160.98,137.59,117.6,89.15
,,Merid. Winds
,,,CoderPCA,256,=,256,256,256,4,4,4,,31.46,=,31.46,31.46,31.46,31.38,30.6,28.19
,,,CoderAPCA,4,=,4,4,4,4,4,4,,37.29,=,34.1,33.16,29.16,25.86,23.33,19.15
,,,CoderCA,4,=,4,4,4,4,4,4,,37.96,=,36.86,36.54,34.89,33.29,31.91,29.14
,,,CoderPWLH,4,=,4,4,4,8,8,8,,112.53,=,107.37,105.83,98.63,91.62,84.67,71.01
,,,CoderPWLHInt,4,=,4,4,4,4,4,8,,34.57,=,34.57,34.31,32.14,30.04,28.33,24.5
,,,CoderFR,4,=,4,4,4,4,4,4,,36.41,=,35.81,35.61,34.66,33.61,32.63,30.49
,,,CoderSF,,=,,,,,,,,360.19,=,334.61,327.3,295.87,269.36,247.71,208.65
,,,CoderGAMPSLimit,4,=,4,4,4,4,8,8,,220.39,=,201.29,195.61,171.69,152.08,136.3,107.72
,,Humidity
