Dataset,Filename,Column,Coder,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30
IRKIS
,vwc_1202.dat.csv
,,VWC
,,,CoderPCA,4,=,4,8,16,16,16,16,,35.89,=,31.03,19.06,10.06,7.53,6.77,5.92
,,,CoderAPCA,16,=,16,64,256,256,256,256,,22.23,=,18.14,8.61,2.65,1.67,1.44,1.08
,,,CoderCA,16,=,16,32,128,256,256,256,,36.79,=,30.79,17.04,7.49,4.8,3.79,2.52
,,,CoderPWLH,32,=,64,256,256,256,256,256,,88.17,=,70.14,29.86,7.73,4.88,4.07,3.19
,,,CoderPWLHInt,16,=,16,16,32,128,256,256,,31.69,=,31.69,31.69,24.47,10.89,6.56,1.78
,,,CoderFR,8,=,16,32,128,256,256,256,,42.41,=,36.23,18.69,7.05,4.48,3.63,2.56
,,,CoderSF,,=,,,,,,,,312.76,=,243.93,98.87,22.39,12.9,10.04,6.79
,,,CoderGAMPSLimit,32,=,64,256,256,256,256,256,,105.92,=,84.06,36.37,10.24,6.34,5.42,4.0
,vwc_1203.dat.csv
,,VWC
,,,CoderPCA,4,=,4,8,8,8,16,16,,17.41,=,11.12,8.03,5.99,5.01,4.49,3.68
,,,CoderAPCA,8,=,32,64,64,128,128,256,,11.4,=,5.72,3.34,2.19,1.51,1.18,0.84
,,,CoderCA,8,=,16,32,64,128,128,256,,16.88,=,9.46,5.82,3.99,2.68,2.09,1.62
,,,CoderPWLH,32,=,64,256,256,256,256,256,,40.82,=,17.73,7.79,4.89,3.28,2.54,1.95
,,,CoderPWLHInt,16,=,16,32,64,256,256,256,,14.59,=,14.59,11.95,5.82,1.86,1.32,0.93
,,,CoderFR,8,=,32,64,128,128,256,256,,20.03,=,10.78,5.51,3.79,2.68,2.13,1.64
,,,CoderSF,,=,,,,,,,,144.97,=,58.28,23.12,14.37,9.55,7.41,5.46
,,,CoderGAMPSLimit,32,=,64,128,256,256,256,256,,54.85,=,25.82,14.23,8.97,5.89,4.47,3.1
,vwc_1204.dat.csv
,,VWC
,,,CoderPCA,4,4,4,8,8,8,16,16,,22.91,17.93,15.63,10.99,7.16,6.82,5.58,4.51
,,,CoderAPCA,16,16,32,64,128,128,256,256,,14.7,10.55,8.24,4.86,2.28,2.04,1.46,1.04
,,,CoderCA,8,16,32,64,128,128,256,256,,22.63,16.72,13.12,8.19,4.05,3.69,2.61,1.97
,,,CoderPWLH,32,64,128,256,256,256,256,256,,54.32,36.08,26.88,13.4,5.02,4.51,3.41,2.55
,,,CoderPWLHInt,16,16,32,32,128,128,256,256,,19.51,19.51,13.31,12.79,5.1,4.76,1.85,1.28
,,,CoderFR,8,16,32,64,128,128,256,256,,26.67,20.13,15.8,9.17,4.11,3.69,2.76,2.11
,,,CoderSF,,,,,,,,,,191.72,123.69,90.01,42.41,14.09,12.44,8.83,6.16
,,,CoderGAMPSLimit,32,64,128,128,256,256,256,256,,70.18,48.37,36.68,20.36,8.74,7.69,5.36,3.69
,vwc_1205.dat.csv
,,VWC
,,,CoderPCA,4,4,4,8,8,8,8,8,,11.91,11.4,6.55,5.28,4.26,3.84,3.67,3.38
,,,CoderAPCA,8,8,32,32,64,128,128,128,,8.6,7.95,3.86,2.71,1.89,1.52,1.37,1.07
,,,CoderCA,8,8,32,32,64,128,128,128,,12.08,11.36,5.77,4.1,2.91,2.31,2.15,1.8
,,,CoderPWLH,16,32,128,128,256,256,256,256,,30.02,27.47,9.4,5.75,4.2,3.36,3.09,2.5
,,,CoderPWLHInt,16,16,16,32,128,256,256,256,,10.75,10.75,9.86,6.44,2.93,1.7,1.59,1.22
,,,CoderFR,4,8,32,64,64,128,128,128,,13.62,12.97,5.85,4.1,3.14,2.63,2.49,2.15
,,,CoderSF,,,,,,,,,,104.12,94.35,26.85,14.68,10.55,8.19,7.55,6.14
,,,CoderGAMPSLimit,16,16,64,128,128,256,256,256,,42.08,38.6,16.7,11.18,7.3,5.58,4.91,3.6
,vwc_222.smet.csv
,,VWC
,,,CoderPCA,4,=,4,8,8,16,16,16,,50.58,=,35.44,21.3,16.05,13.32,11.15,8.52
,,,CoderAPCA,16,=,32,64,256,256,256,256,,29.83,=,16.88,7.41,4.08,2.86,2.16,1.43
,,,CoderCA,16,=,32,64,128,256,256,256,,48.0,=,30.42,17.55,10.22,6.95,5.16,3.34
,,,CoderPWLH,32,=,128,256,256,256,256,256,,113.59,=,58.64,20.7,10.92,7.43,5.68,4.1
,,,CoderPWLHInt,32,=,32,32,128,256,256,256,,41.18,=,41.18,41.18,14.44,5.05,3.2,1.9
,,,CoderFR,8,=,32,64,128,256,256,256,,58.69,=,35.98,17.48,10.24,7.03,5.35,3.66
,,,CoderSF,,=,,,,,,,,400.35,=,198.22,63.69,33.01,21.27,15.23,9.2
,,,CoderGAMPSLimit,32,=,128,256,256,256,256,256,,141.09,=,75.55,30.77,16.35,11.51,8.72,5.78
,vwc_333.smet.csv
,,VWC
,,,CoderPCA,4,4,8,8,8,16,16,32,,53.4,42.31,36.02,25.0,16.79,13.0,10.27,8.46
,,,CoderAPCA,16,32,32,64,256,256,256,256,,30.88,21.37,16.08,9.15,4.16,2.8,1.99,1.42
,,,CoderCA,16,32,32,64,128,256,256,256,,49.09,35.56,27.12,17.01,9.58,6.61,4.51,3.22
,,,CoderPWLH,64,128,128,256,256,256,256,256,,115.11,73.62,52.99,27.76,11.09,7.52,5.34,4.08
,,,CoderPWLHInt,32,32,64,128,128,256,256,256,,41.78,41.78,27.19,19.89,18.32,9.62,3.05,1.92
,,,CoderFR,8,16,32,64,128,256,256,256,,61.62,44.08,32.95,19.85,9.67,6.65,4.52,3.35
,,,CoderSF,,,,,,,,,,405.43,250.75,177.34,89.59,32.15,20.74,13.3,8.71
,,,CoderGAMPSLimit,32,64,128,256,256,256,256,256,,144.83,96.61,69.97,37.91,16.6,11.21,7.96,5.68
,vwc_SLF2.smet.csv
,,VWC
,,,CoderPCA,4,=,4,8,16,16,16,32,,47.13,=,39.32,28.47,15.22,12.36,10.25,8.44
,,,CoderAPCA,32,=,32,64,256,256,256,256,,24.26,=,17.41,11.3,4.11,3.05,2.32,1.59
,,,CoderCA,32,=,32,64,128,256,256,256,,40.77,=,31.17,21.09,9.97,7.64,5.36,3.58
,,,CoderPWLH,64,=,128,256,256,256,256,256,,92.95,=,64.72,37.38,10.32,8.04,6.25,4.62
,,,CoderPWLHInt,32,=,32,32,64,128,256,256,,34.05,=,34.05,27.25,20.26,13.31,6.5,2.39
,,,CoderFR,16,=,16,64,128,256,256,256,,53.9,=,41.84,25.34,9.61,7.51,5.32,3.64
,,,CoderSF,,=,,,,,,,,327.67,=,223.19,124.9,30.87,23.44,16.71,10.88
,,,CoderGAMPSLimit,64,=,128,256,256,256,256,256,,110.72,=,78.14,48.47,16.45,12.24,9.34,6.48
NOAA-SST
,noaa-buoy-201701.csv
,,SST
,,,CoderPCA,256,4,4,8,8,16,16,16,,61.82,38.68,24.2,18.82,12.87,10.64,8.73,7.34
,,,CoderAPCA,4,16,32,64,128,256,256,256,,66.99,24.49,11.0,7.07,3.65,2.48,1.91,1.46
,,,CoderCA,4,8,32,64,128,128,256,256,,68.58,39.31,19.7,13.22,7.49,5.22,3.98,2.89
,,,CoderPWLH,4,32,128,128,256,256,256,256,,125.53,48.64,20.26,12.84,6.63,4.64,3.72,3.06
,,,CoderPWLHInt,4,32,64,128,256,256,256,256,,64.79,28.77,12.08,7.7,3.99,2.74,2.21,1.82
,,,CoderFR,4,16,32,64,128,256,256,256,,67.1,40.46,19.62,13.1,7.53,5.31,4.21,3.31
,,,CoderSF,,,,,,,,,,419.59,146.08,60.29,37.98,19.67,13.26,9.98,7.36
,,,CoderGAMPSLimit,4,32,64,128,256,256,256,256,,244.97,82.93,35.03,21.71,10.66,6.99,5.28,3.96
,noaa-buoy-201702.csv
,,SST
,,,CoderPCA,256,4,4,4,8,8,8,16,,61.91,42.8,27.82,23.12,15.56,12.56,11.1,8.56
,,,CoderAPCA,4,8,32,64,128,128,256,256,,67.41,28.8,14.31,9.47,5.04,3.44,2.64,1.86
,,,CoderCA,4,8,32,64,128,128,256,256,,68.81,43.66,24.69,17.29,9.8,6.87,5.28,3.73
,,,CoderPWLH,4,32,128,128,256,256,256,256,,125.85,58.03,26.92,17.17,8.82,5.96,4.76,3.58
,,,CoderPWLHInt,4,16,64,128,256,256,256,256,,65.01,33.96,15.7,10.09,5.21,3.54,2.83,2.17
,,,CoderFR,4,16,32,64,128,128,256,256,,67.29,45.25,24.7,17.11,9.77,6.91,5.41,4.04
,,,CoderSF,,,,,,,,,,421.74,172.52,79.44,50.75,25.79,17.42,13.33,9.45
,,,CoderGAMPSLimit,4,32,64,128,256,256,256,256,,246.19,98.64,45.95,29.26,14.75,9.65,7.23,4.92
,noaa-buoy-201703.csv
,,SST
,,,CoderPCA,256,4,4,4,8,8,8,16,,58.86,44.01,28.99,23.02,15.51,12.23,10.72,8.26
,,,CoderAPCA,4,8,16,32,128,128,256,256,,64.0,31.02,15.7,10.08,5.25,3.52,2.67,1.86
,,,CoderCA,4,8,16,32,64,128,128,256,,65.39,45.13,27.63,19.45,10.72,7.33,5.51,3.8
,,,CoderPWLH,4,32,64,128,256,256,256,256,,119.61,63.82,30.57,18.93,9.37,6.26,4.79,3.53
,,,CoderPWLHInt,4,16,64,64,128,256,256,256,,61.78,37.18,18.43,11.41,5.55,3.72,2.86,2.12
,,,CoderFR,4,8,32,32,128,128,256,256,,63.92,46.6,28.0,19.41,10.52,7.3,5.58,4.01
,,,CoderSF,,,,,,,,,,400.63,192.5,90.61,56.28,27.55,18.39,13.76,9.51
