DELTA:,00:10:00
DATASET:,NOAA-2016
FIRST_TIMESTAMP:,2016-01-01 00:00:00
LAST_TIMESTAMP:,2016-12-31 23:50:00
FILENAME:,TAO_T2S155W_R_SST_10min.ascii
Timestamp,Missing,SST,Q,M
0,0,30.294,3,R
1,0,30.272,3,R
2,0,30.277,3,R
3,0,30.291,3,R
4,0,30.284,3,R
5,0,30.262,3,R
6,0,30.276,3,R
7,0,30.304,3,R
8,0,30.240,3,R
9,0,30.249,3,R
10,0,30.240,3,R
11,0,30.245,3,R
12,0,30.250,3,R
13,0,30.263,3,R
14,0,30.254,3,R
15,0,30.268,3,R
16,0,30.271,3,R
17,0,30.280,3,R
18,0,30.267,3,R
19,0,30.254,3,R
20,0,30.252,3,R
21,0,30.245,3,R
22,0,30.247,3,R
23,0,30.249,3,R
24,0,30.244,3,R
25,0,30.206,3,R
26,0,30.204,3,R
27,0,30.190,3,R
28,0,30.183,3,R
29,0,30.174,3,R
30,0,30.180,3,R
31,0,30.185,3,R
32,0,30.185,3,R
33,0,30.185,3,R
34,0,30.182,3,R
35,0,30.163,3,R
36,0,30.157,3,R
37,0,30.152,3,R
38,0,30.158,3,R
39,0,30.162,3,R
40,0,30.157,3,R
41,0,30.149,3,R
42,0,30.129,3,R
43,0,30.133,3,R
44,0,30.124,3,R
45,0,30.134,3,R
46,0,30.124,3,R
47,0,30.114,3,R
48,0,30.116,3,R
49,0,30.113,3,R
50,0,30.102,3,R
51,0,30.109,3,R
52,0,30.101,3,R
53,0,30.084,3,R
54,0,30.090,3,R
55,0,30.092,3,R
56,0,30.073,3,R
57,0,30.082,3,R
58,0,30.066,3,R
59,0,30.081,3,R
60,0,30.083,3,R
61,0,30.080,3,R
62,0,30.090,3,R
63,0,30.084,3,R
64,0,30.073,3,R
65,0,30.060,3,R
66,0,30.072,3,R
67,0,30.064,3,R
68,0,30.073,3,R
69,0,30.063,3,R
70,0,30.068,3,R
71,0,30.067,3,R
72,0,30.070,3,R
73,0,30.072,3,R
74,0,30.071,3,R
75,0,30.072,3,R
76,0,30.064,3,R
77,0,30.046,3,R
78,0,30.047,3,R
79,0,30.044,3,R
80,0,30.059,3,R
81,0,30.054,3,R
82,0,30.040,3,R
83,0,30.059,3,R
84,0,30.048,3,R
85,0,30.049,3,R
86,0,30.041,3,R
87,0,30.038,3,R
88,0,30.033,3,R
89,0,30.043,3,R
90,0,30.042,3,R
91,0,30.040,3,R
92,0,30.036,3,R
93,0,30.057,3,R
94,0,30.048,3,R
95,0,30.053,3,R
96,0,30.062,3,R
97,0,30.060,3,R
98,0,30.050,3,R
99,0,30.040,3,R
100,0,30.038,3,R
101,0,30.052,3,R
102,0,30.031,3,R
103,0,30.056,3,R
104,0,30.052,3,R
105,0,30.055,3,R
106,0,30.054,3,R
107,0,30.043,3,R
108,0,30.046,3,R
109,0,30.040,3,R
110,0,30.039,3,R
111,0,30.045,3,R
112,0,30.044,3,R
113,0,30.046,3,R
114,0,30.049,3,R
115,0,30.049,3,R
116,0,30.043,3,R
117,0,30.054,3,R
118,0,30.048,3,R
119,0,30.049,3,R
120,0,30.041,3,R
121,0,30.060,3,R
122,0,30.053,3,R
123,0,30.059,3,R
124,0,30.069,3,R
125,0,30.075,3,R
126,0,30.086,3,R
127,0,30.087,3,R
128,0,30.101,3,R
129,0,30.097,3,R
130,0,30.086,3,R
131,0,30.090,3,R
132,0,30.088,3,R
133,0,30.085,3,R
134,0,30.080,3,R
135,0,30.097,3,R
136,0,30.100,3,R
137,0,30.108,3,R
138,0,30.177,3,R
139,0,30.133,3,R
140,0,30.214,3,R
141,0,30.178,3,R
142,0,30.244,3,R
143,0,30.245,3,R
144,0,30.249,3,R
145,0,30.227,3,R
146,0,30.231,3,R
147,0,30.305,3,R
148,0,30.328,3,R
149,0,30.317,3,R
150,0,30.307,3,R
151,0,30.292,3,R
152,0,30.299,3,R
153,0,30.287,3,R
154,0,30.263,3,R
155,0,30.278,3,R
156,0,30.269,3,R
157,0,30.253,3,R
158,0,30.249,3,R
159,0,30.253,3,R
160,0,30.245,3,R
161,0,30.231,3,R
162,0,30.215,3,R
163,0,30.200,3,R
164,0,30.186,3,R
165,0,30.182,3,R
166,0,30.171,3,R
167,0,30.167,3,R
168,0,30.157,3,R
169,0,30.153,3,R
170,0,30.135,3,R
171,0,30.105,3,R
172,0,30.109,3,R
173,0,30.091,3,R
174,0,30.086,3,R
175,0,30.081,3,R
176,0,30.067,3,R
177,0,30.058,3,R
178,0,30.059,3,R
179,0,30.056,3,R
180,0,30.041,3,R
181,0,30.052,3,R
182,0,30.051,3,R
183,0,30.051,3,R
184,0,30.036,3,R
185,0,30.043,3,R
186,0,30.049,3,R
187,0,N,9,R
188,0,30.053,3,R
189,0,30.045,3,R
190,0,30.042,3,R
191,0,30.044,3,R
192,0,30.036,3,R
193,0,30.046,3,R
194,0,30.033,3,R
195,0,30.028,3,R
196,0,30.026,3,R
197,0,30.045,3,R
198,0,30.031,3,R
199,0,30.030,3,R
200,0,30.022,3,R
201,0,30.006,3,R
202,0,30.014,3,R
203,0,29.996,3,R
204,0,30.019,3,R
205,0,29.994,3,R
206,0,29.997,3,R
207,0,30.014,3,R
208,0,29.988,3,R
209,0,30.001,3,R
210,0,30.003,3,R
211,0,29.999,3,R
212,0,30.005,3,R
213,0,29.997,3,R
214,0,30.001,3,R
215,0,30.004,3,R
216,0,29.972,3,R
217,0,30.001,3,R
218,0,29.999,3,R
219,0,29.993,3,R
220,0,29.970,3,R
221,0,29.978,3,R
222,0,29.972,3,R
223,0,30.009,3,R
224,0,29.973,3,R
225,0,29.985,3,R
226,0,29.996,3,R
227,0,29.995,3,R
228,0,30.018,3,R
229,0,29.990,3,R
230,0,30.000,3,R
231,0,29.989,3,R
232,0,29.985,3,R
233,0,29.981,3,R
234,0,29.984,3,R
235,0,29.969,3,R
236,0,29.981,3,R
237,0,29.983,3,R
238,0,29.976,3,R
239,0,29.965,3,R
240,0,29.971,3,R
241,0,29.990,3,R
242,0,29.968,3,R
243,0,29.930,3,R
244,0,29.955,3,R
245,0,29.976,3,R
246,0,29.971,3,R
247,0,29.955,3,R
248,0,29.945,3,R
249,0,29.947,3,R
250,0,29.951,3,R
251,0,29.960,3,R
252,0,29.960,3,R
253,0,29.972,3,R
254,0,29.980,3,R
255,0,29.985,3,R
256,0,29.966,3,R
257,0,29.973,3,R
258,0,29.982,3,R
259,0,29.966,3,R
260,0,29.972,3,R
261,0,29.978,3,R
262,0,29.977,3,R
263,0,29.994,3,R
264,0,29.974,3,R
265,0,29.994,3,R
266,0,29.984,3,R
267,0,29.975,3,R
268,0,29.987,3,R
269,0,30.004,3,R
270,0,30.009,3,R
271,0,30.005,3,R
272,0,30.014,3,R
273,0,30.017,3,R
274,0,30.025,3,R
275,0,30.029,3,R
276,0,30.039,3,R
277,0,30.042,3,R
278,0,30.065,3,R
279,0,30.061,3,R
280,0,30.078,3,R
281,0,30.091,3,R
282,0,30.105,3,R
283,0,30.124,3,R
284,0,30.142,3,R
285,0,30.153,3,R
286,0,30.141,3,R
287,0,30.146,3,R
288,0,30.145,3,R
289,0,30.141,3,R
290,0,30.151,3,R
291,0,30.162,3,R
292,0,30.138,3,R
293,0,30.147,3,R
294,0,30.159,3,R
295,0,30.141,3,R
296,0,30.143,3,R
297,0,30.142,3,R
298,0,30.152,3,R
299,0,30.154,3,R
300,0,30.170,3,R
301,0,30.200,3,R
302,0,30.148,3,R
303,0,30.136,3,R
