DELTA:,00:10:00
DATASET:,NOAA-2016
FIRST_TIMESTAMP:,2016-01-01 00:00:00
LAST_TIMESTAMP:,2016-12-31 23:50:00
FILENAME:,TAO_T0N180W_R_SST_10min.ascii
Timestamp,Missing,SST,Q,M
0,0,29.669,2,R
1,0,29.661,2,R
2,0,29.657,2,R
3,0,29.657,2,R
4,0,29.669,2,R
5,0,29.673,2,R
6,0,29.677,2,R
7,0,29.682,2,R
8,0,29.680,2,R
9,0,29.678,2,R
10,0,29.681,2,R
11,0,29.682,2,R
12,0,29.674,2,R
13,0,N,9,R
14,0,29.678,2,R
15,0,29.684,2,R
16,0,29.689,2,R
17,0,29.689,2,R
18,0,29.695,2,R
19,0,29.694,2,R
20,0,29.697,2,R
21,0,29.696,2,R
22,0,29.699,2,R
23,0,29.690,2,R
24,0,29.694,2,R
25,0,29.694,2,R
26,0,29.709,2,R
27,0,29.702,2,R
28,0,29.695,2,R
29,0,29.694,2,R
30,0,29.692,2,R
31,0,29.683,2,R
32,0,29.675,2,R
33,0,29.675,2,R
34,0,29.664,2,R
35,0,29.667,2,R
36,0,29.663,2,R
37,0,29.667,2,R
38,0,29.657,2,R
39,0,29.668,3,R
40,0,29.668,3,R
41,0,29.672,2,R
42,0,29.658,2,R
43,0,29.666,2,R
44,0,29.655,2,R
45,0,29.651,2,R
46,0,29.663,2,R
47,0,29.661,2,R
48,0,29.655,2,R
49,0,29.653,2,R
50,0,29.656,2,R
51,0,29.658,2,R
52,0,29.645,2,R
53,0,29.660,2,R
54,0,29.648,2,R
55,0,29.646,2,R
56,0,29.636,2,R
57,0,29.647,2,R
58,0,29.655,2,R
59,0,29.649,2,R
60,0,29.645,2,R
61,0,29.644,2,R
62,0,29.647,2,R
63,0,29.642,2,R
64,0,29.649,2,R
65,0,29.646,2,R
66,0,29.647,2,R
67,0,29.646,2,R
68,0,29.653,2,R
69,0,29.645,2,R
70,0,29.646,2,R
71,0,29.643,2,R
72,0,29.634,2,R
73,0,29.645,2,R
74,0,29.648,2,R
75,0,29.641,2,R
76,0,29.642,2,R
77,0,29.645,2,R
78,0,29.641,2,R
79,0,29.645,2,R
80,0,29.635,2,R
81,0,29.640,2,R
82,0,29.645,2,R
83,0,29.645,2,R
84,0,29.632,2,R
85,0,29.639,2,R
86,0,29.637,2,R
87,0,29.642,2,R
88,0,29.635,2,R
89,0,29.632,2,R
90,0,29.641,2,R
91,0,29.648,3,R
92,0,29.648,3,R
93,0,29.643,2,R
94,0,29.637,2,R
95,0,29.643,2,R
96,0,29.638,2,R
97,0,29.633,2,R
98,0,29.646,2,R
99,0,29.625,2,R
100,0,29.646,2,R
101,0,29.649,2,R
102,0,29.645,2,R
103,0,29.631,2,R
104,0,29.636,2,R
105,0,29.635,2,R
106,0,29.637,2,R
107,0,29.638,2,R
108,0,29.646,2,R
109,0,29.635,2,R
110,0,29.628,2,R
111,0,29.633,2,R
112,0,29.634,2,R
113,0,29.640,2,R
114,0,29.635,2,R
115,0,29.631,2,R
116,0,29.629,2,R
117,0,29.628,2,R
118,0,29.633,2,R
119,0,29.624,2,R
120,0,29.625,2,R
121,0,29.624,2,R
122,0,29.628,2,R
123,0,29.629,2,R
124,0,29.636,2,R
125,0,29.636,2,R
126,0,29.641,2,R
127,0,29.635,2,R
128,0,29.640,2,R
129,0,29.644,2,R
130,0,29.648,2,R
131,0,N,9,R
132,0,N,9,R
133,0,29.710,2,R
134,0,29.728,2,R
135,0,29.750,2,R
136,0,29.738,2,R
137,0,29.754,2,R
138,0,29.768,2,R
139,0,29.801,2,R
140,0,29.846,2,R
141,0,29.850,2,R
142,0,29.849,2,R
143,0,29.854,2,R
144,0,29.896,2,R
145,0,29.869,2,R
146,0,29.849,2,R
147,0,29.917,2,R
148,0,29.907,2,R
149,0,29.871,2,R
150,0,29.876,2,R
151,0,29.852,2,R
152,0,29.842,2,R
153,0,29.869,2,R
154,0,29.875,2,R
155,0,29.906,2,R
156,0,29.867,2,R
157,0,29.884,2,R
158,0,29.885,2,R
159,0,29.865,2,R
160,0,29.868,2,R
161,0,29.848,2,R
162,0,29.860,2,R
163,0,29.858,2,R
164,0,29.848,2,R
165,0,29.843,2,R
166,0,29.836,2,R
167,0,29.835,2,R
168,0,29.846,2,R
169,0,29.851,2,R
170,0,29.842,2,R
171,0,29.822,2,R
172,0,29.818,2,R
173,0,29.820,2,R
174,0,29.813,2,R
175,0,29.816,2,R
176,0,29.816,2,R
177,0,29.793,2,R
178,0,29.789,2,R
179,0,29.777,2,R
180,0,29.781,2,R
181,0,29.755,2,R
182,0,29.766,2,R
183,0,29.754,2,R
184,0,29.753,2,R
185,0,29.757,2,R
186,0,29.759,2,R
187,0,29.755,2,R
188,0,29.760,2,R
189,0,29.754,2,R
190,0,29.758,2,R
191,0,29.736,2,R
192,0,29.749,2,R
193,0,29.749,2,R
194,0,29.729,2,R
195,0,29.723,2,R
196,0,29.728,2,R
197,0,29.739,2,R
198,0,29.754,2,R
199,0,29.739,2,R
200,0,29.744,2,R
201,0,29.730,2,R
202,0,29.736,2,R
203,0,29.716,2,R
204,0,29.719,2,R
205,0,29.709,2,R
206,0,29.701,2,R
207,0,29.698,2,R
208,0,29.690,2,R
209,0,29.707,2,R
210,0,29.709,2,R
211,0,29.697,2,R
212,0,29.707,2,R
213,0,29.705,2,R
214,0,29.706,2,R
215,0,29.701,2,R
216,0,29.705,2,R
217,0,29.696,2,R
218,0,29.706,2,R
219,0,29.707,2,R
220,0,29.708,2,R
221,0,29.699,2,R
222,0,29.698,2,R
223,0,29.696,2,R
224,0,29.703,2,R
225,0,29.700,2,R
226,0,29.696,2,R
227,0,29.677,2,R
228,0,29.690,2,R
229,0,29.676,2,R
230,0,29.701,2,R
231,0,29.650,2,R
232,0,29.691,2,R
233,0,29.693,2,R
234,0,29.708,2,R
235,0,29.685,2,R
236,0,29.689,2,R
237,0,29.680,2,R
238,0,29.692,2,R
239,0,29.716,2,R
240,0,29.719,2,R
241,0,29.715,2,R
242,0,29.698,2,R
243,0,29.705,2,R
244,0,29.704,2,R
245,0,29.699,2,R
246,0,29.715,2,R
247,0,29.710,2,R
248,0,29.697,2,R
249,0,29.709,2,R
250,0,29.702,2,R
251,0,29.690,2,R
252,0,29.702,2,R
253,0,29.694,2,R
254,0,29.684,2,R
255,0,29.667,2,R
256,0,29.673,2,R
257,0,29.682,2,R
258,0,29.670,2,R
259,0,29.649,2,R
260,0,29.666,2,R
261,0,29.691,2,R
262,0,29.682,2,R
263,0,29.679,2,R
264,0,29.690,2,R
265,0,29.693,2,R
266,0,29.696,2,R
267,0,29.706,2,R
268,0,29.712,2,R
269,0,29.719,2,R
270,0,29.738,2,R
271,0,29.749,2,R
272,0,29.751,2,R
273,0,29.774,2,R
274,0,29.781,2,R
275,0,29.791,2,R
276,0,29.767,2,R
277,0,N,9,R
278,0,29.774,2,R
279,0,29.753,2,R
280,0,29.772,2,R
281,0,29.771,2,R
282,0,29.795,2,R
283,0,29.816,2,R
284,0,29.798,2,R
285,0,29.795,2,R
286,0,29.805,2,R
287,0,29.798,2,R
288,0,29.837,2,R
289,0,29.834,2,R
290,0,29.874,2,R
291,0,29.860,2,R
292,0,29.869,2,R
293,0,29.853,2,R
294,0,29.902,2,R
295,0,29.882,2,R
296,0,29.897,2,R
297,0,29.903,2,R
298,0,29.900,2,R
299,0,29.904,2,R
300,0,29.900,2,R
301,0,29.906,2,R
302,0,29.903,2,R
303,0,29.914,2,R
304,0,29.925,2,R
305,0,29.936,2,R
306,0,29.927,2,R
307,0,29.912,2,R
308,0,29.946,2,R
