Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
IRKIS,vwc_1202.dat.csv,26.305,CoderCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,196.570,100,175.400,100,1.396.356,100
IRKIS,vwc_1202.dat.csv,26.305,,,,10,161.192,82.0,100.506,57.3,1.188.222,85.09
IRKIS,vwc_1202.dat.csv,26.305,,,,25,142.032,72.26,44.572,25.41,1.090.875,78.12
IRKIS,vwc_1202.dat.csv,26.305,,,,50,142.139,72.31,23.782,13.56,1.112.528,79.67
IRKIS,vwc_1202.dat.csv,26.305,,,,100,146.534,74.55,12.576,7.17,1.158.890,82.99
IRKIS,vwc_1202.dat.csv,26.305,,,,200,152.868,77.77,6.600,3.76,1.215.540,87.05
IRKIS,vwc_1202.dat.csv,26.305,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5,183.234,93.22,175.400,100.0,1.289.665,92.36
IRKIS,vwc_1202.dat.csv,26.305,,,,10,143.156,72.83,100.506,57.3,1.043.938,74.76
IRKIS,vwc_1202.dat.csv,26.305,,,,25,119.772,60.93,44.572,25.41,912.795,65.37
IRKIS,vwc_1202.dat.csv,26.305,,,,50,117.319,59.68,23.782,13.56,913.968,65.45
IRKIS,vwc_1202.dat.csv,26.305,,,,100,119.636,60.86,12.576,7.17,943.704,67.58
IRKIS,vwc_1202.dat.csv,26.305,,,,200,124.194,63.18,6.600,3.76,986.148,70.62
IRKIS,vwc_1202.dat.csv,26.305,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",5,155.495,79.1,175.400,100.0,1.067.755,76.47
IRKIS,vwc_1202.dat.csv,26.305,,,,10,105.668,53.76,100.506,57.3,744.030,53.28
IRKIS,vwc_1202.dat.csv,26.305,,,,25,73.399,37.34,44.572,25.41,541.815,38.8
IRKIS,vwc_1202.dat.csv,26.305,,,,50,65.321,33.23,23.782,13.56,497.984,35.66
IRKIS,vwc_1202.dat.csv,26.305,,,,100,63.232,32.17,12.576,7.17,492.473,35.27
IRKIS,vwc_1202.dat.csv,26.305,,,,200,64.004,32.56,6.600,3.76,504.630,36.14
IRKIS,vwc_1202.dat.csv,26.305,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",5,141.007,71.73,175.400,100.0,951.847,68.17
