Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
IRKIS,vwc_1202.dat.csv,26.305,CoderBasic,,,,387.447,100,447185,0,447185,100,2630500,21087,2651587,100
,,,CoderPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,181.122,46.75,447185,0,447185,100.0,979898,21087,1000985,37.75
,,,,,,10,203.085,52.42,447185,0,447185,100.0,1155599,21087,1176686,44.38
,,,,,,25,223.789,57.76,447185,0,447185,100.0,1321238,21087,1342325,50.62
,,,,,,50,229.100,59.13,447185,0,447185,100.0,1363723,21087,1384810,52.23
,,,,,,100,230.637,59.53,447185,0,447185,100.0,1376022,21087,1397109,52.69
,,,,,,200,230.798,59.57,447185,0,447185,100.0,1377305,21087,1398392,52.74
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,181.122,46.75,447185,0,447185,100.0,979898,21087,1000985,37.75
,,,,,,10,203.085,52.42,447185,0,447185,100.0,1155599,21087,1176686,44.38
,,,,,,25,223.789,57.76,447185,0,447185,100.0,1321238,21087,1342325,50.62
,,,,,,50,229.100,59.13,447185,0,447185,100.0,1363723,21087,1384810,52.23
,,,,,,100,230.637,59.53,447185,0,447185,100.0,1376022,21087,1397109,52.69
,,,,,,200,230.798,59.57,447185,0,447185,100.0,1377305,21087,1398392,52.74
,,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5,162.532,41.95,447185,0,447185,100.0,831178,21087,852265,32.14
,,,,,,10,177.705,45.87,447185,0,447185,100.0,952559,21087,973646,36.72
,,,,,,25,197.119,50.88,447185,0,447185,100.0,1107878,21087,1128965,42.58
,,,,,,50,206.376,53.27,447185,0,447185,100.0,1181933,21087,1203020,45.37
,,,,,,100,213.436,55.09,447185,0,447185,100.0,1238412,21087,1259499,47.5
,,,,,,200,219.604,56.68,447185,0,447185,100.0,1287755,21087,1308842,49.36
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",5,122.742,31.68,447185,0,447185,100.0,512858,21087,533945,20.14
,,,,,,10,122.175,31.53,447185,0,447185,100.0,508319,21087,529406,19.97
,,,,,,25,135.439,34.96,447185,0,447185,100.0,614438,21087,635525,23.97
,,,,,,50,152.293,39.31,447185,0,447185,100.0,749263,21087,770350,29.05
,,,,,,100,175.074,45.19,447185,0,447185,100.0,931512,21087,952599,35.93
,,,,,,200,198.709,51.29,447185,0,447185,100.0,1120595,21087,1141682,43.06
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",5,101.772,26.27,447185,0,447185,100.0,345098,21087,366185,13.81
,,,,,,10,90.866,23.45,447185,0,447185,100.0,257849,21087,278936,10.52
,,,,,,25,96.259,24.84,447185,0,447185,100.0,300998,21087,322085,12.15
,,,,,,50,112.848,29.13,447185,0,447185,100.0,433703,21087,454790,17.15
,,,,,,100,139.805,36.08,447185,0,447185,100.0,649362,21087,670449,25.28
,,,,,,200,169.854,43.84,447185,0,447185,100.0,889755,21087,910842,34.35
,,,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",5,99.472,25.67,447185,0,447185,100.0,326698,21087,347785,13.12
,,,,,,10,85.286,22.01,447185,0,447185,100.0,213209,21087,234296,8.84
,,,,,,25,84.919,21.92,447185,0,447185,100.0,210278,21087,231365,8.73
,,,,,,50,94.350,24.35,447185,0,447185,100.0,285723,21087,306810,11.57
,,,,,,100,113.941,29.41,447185,0,447185,100.0,442452,21087,463539,17.48
,,,,,,200,138.512,35.75,447185,0,447185,100.0,639015,21087,660102,24.89
,,,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",5,98.767,25.49,447185,0,447185,100.0,321058,21087,342145,12.9
,,,,,,10,83.497,21.55,447185,0,447185,100.0,198899,21087,219986,8.3
,,,,,,25,81.379,21.0,447185,0,447185,100.0,181958,21087,203045,7.66
,,,,,,50,88.225,22.77,447185,0,447185,100.0,236723,21087,257810,9.72
,,,,,,100,106.392,27.46,447185,0,447185,100.0,382062,21087,403149,15.2
,,,,,,200,128.562,33.18,447185,0,447185,100.0,559415,21087,580502,21.89
,,,,30,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",5,98.062,25.31,447185,0,447185,100.0,315418,21087,336505,12.69
,,,,,,10,81.720,21.09,447185,0,447185,100.0,184679,21087,205766,7.76
,,,,,,25,76.939,19.86,447185,0,447185,100.0,146438,21087,167525,6.32
,,,,,,50,81.120,20.94,447185,0,447185,100.0,179883,21087,200970,7.58
,,,,,,100,93.275,24.07,447185,0,447185,100.0,277122,21087,298209,11.25
,,,,,,200,109.159,28.17,447185,0,447185,100.0,404195,21087,425282,16.04
,vwc_1203.dat.csv,26.305,CoderBasic,,,,387.314,100,447185,0,447185,100,2630500,20025,2650525,100
,,,CoderPCA,0,"[0, 0, 0, 0, 0, 'N', 0, 0, 0, 'N', 'N']",5,118.611,30.62,447185,0,447185,100.0,480872,20025,500897,18.9
,,,,,,10,128.228,33.11,447185,0,447185,100.0,557812,20025,577837,21.8
,,,,,,25,135.886,35.08,447185,0,447185,100.0,619073,20025,639098,24.11
,,,,,,50,136.980,35.37,447185,0,447185,100.0,627824,20025,647849,24.44
,,,,,,100,137.206,35.43,447185,0,447185,100.0,629634,20025,649659,24.51
,,,,,,200,137.291,35.45,447185,0,447185,100.0,630309,20025,650334,24.54
,,,,1,"[0, 0, 0, 0, 0, 'N', 0, 0, 0, 'N', 'N']",5,118.611,30.62,447185,0,447185,100.0,480872,20025,500897,18.9
,,,,,,10,128.228,33.11,447185,0,447185,100.0,557812,20025,577837,21.8
,,,,,,25,135.886,35.08,447185,0,447185,100.0,619073,20025,639098,24.11
,,,,,,50,136.980,35.37,447185,0,447185,100.0,627824,20025,647849,24.44
,,,,,,100,137.206,35.43,447185,0,447185,100.0,629634,20025,649659,24.51
,,,,,,200,137.291,35.45,447185,0,447185,100.0,630309,20025,650334,24.54
,,,,3,"[0, 1, 1, 0, 0, 'N', 1, 1, 0, 'N', 'N']",5,95.296,24.6,447185,0,447185,100.0,294352,20025,314377,11.86
,,,,,,10,103.073,26.61,447185,0,447185,100.0,356572,20025,376597,14.21
,,,,,,25,121.036,31.25,447185,0,447185,100.0,500273,20025,520298,19.63
,,,,,,50,127.364,32.88,447185,0,447185,100.0,550894,20025,570919,21.54
,,,,,,100,132.875,34.31,447185,0,447185,100.0,594984,20025,615009,23.2
,,,,,,200,135.549,35.0,447185,0,447185,100.0,616379,20025,636404,24.01
,,,,5,"[0, 1, 1, 1, 1, 'N', 2, 1, 1, 'N', 'N']",5,83.911,21.66,447185,0,447185,100.0,203272,20025,223297,8.42
,,,,,,10,86.468,22.33,447185,0,447185,100.0,223732,20025,243757,9.2
,,,,,,25,105.286,27.18,447185,0,447185,100.0,374273,20025,394298,14.88
,,,,,,50,118.115,30.5,447185,0,447185,100.0,476904,20025,496929,18.75
,,,,,,100,126.687,32.71,447185,0,447185,100.0,545484,20025,565509,21.34
,,,,,,200,131.818,34.03,447185,0,447185,100.0,586529,20025,606554,22.88
,,,,10,"[0, 3, 2, 1, 1, 'N', 3, 2, 1, 'N', 'N']",5,79.936,20.64,447185,0,447185,100.0,171472,20025,191497,7.22
,,,,,,10,78.650,20.31,447185,0,447185,100.0,161182,20025,181207,6.84
,,,,,,25,93.916,24.25,447185,0,447185,100.0,283313,20025,303338,11.44
,,,,,,50,110.459,28.52,447185,0,447185,100.0,415654,20025,435679,16.44
,,,,,,100,120.252,31.05,447185,0,447185,100.0,494004,20025,514029,19.39
,,,,,,200,128.336,33.13,447185,0,447185,100.0,558669,20025,578694,21.83
,,,,15,"[0, 4, 3, 2, 2, 'N', 5, 3, 2, 'N', 'N']",5,78.216,20.19,447185,0,447185,100.0,157712,20025,177737,6.71
,,,,,,10,74.183,19.15,447185,0,447185,100.0,125452,20025,145477,5.49
,,,,,,25,82.276,21.24,447185,0,447185,100.0,190193,20025,210218,7.93
,,,,,,50,98.270,25.37,447185,0,447185,100.0,318144,20025,338169,12.76
,,,,,,100,112.085,28.94,447185,0,447185,100.0,428664,20025,448689,16.93
,,,,,,200,122.117,31.53,447185,0,447185,100.0,508919,20025,528944,19.96
,,,,20,"[0, 6, 4, 3, 3, 'N', 7, 3, 2, 'N', 'N']",5,77.541,20.02,447185,0,447185,100.0,152312,20025,172337,6.5
,,,,,,10,72.170,18.63,447185,0,447185,100.0,109342,20025,129367,4.88
,,,,,,25,76.906,19.86,447185,0,447185,100.0,147233,20025,167258,6.31
,,,,,,50,90.797,23.44,447185,0,447185,100.0,258364,20025,278389,10.5
,,,,,,100,106.887,27.6,447185,0,447185,100.0,387084,20025,407109,15.36
,,,,,,200,117.142,30.24,447185,0,447185,100.0,469119,20025,489144,18.45
,,,,30,"[0, 8, 6, 4, 4, 'N', 10, 5, 3, 'N', 'N']",5,76.891,19.85,447185,0,447185,100.0,147112,20025,167137,6.31
,,,,,,10,70.437,18.19,447185,0,447185,100.0,95482,20025,115507,4.36
,,,,,,25,71.866,18.55,447185,0,447185,100.0,106913,20025,126938,4.79
,,,,,,50,81.916,21.15,447185,0,447185,100.0,187314,20025,207339,7.82
,,,,,,100,99.462,25.68,447185,0,447185,100.0,327684,20025,347709,13.12
,,,,,,200,112.664,29.09,447185,0,447185,100.0,433299,20025,453324,17.1
,vwc_1204.dat.csv,26.305,CoderBasic,,,,387.544,100,447185,0,447185,100,2630500,21861,2652361,100
,,,CoderPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'N']",5,137.008,35.35,447185,0,447185,100.0,626213,21861,648074,24.43
,,,,,,10,149.843,38.66,447185,0,447185,100.0,728894,21861,750755,28.31
,,,,,,25,159.995,41.28,447185,0,447185,100.0,810112,21861,831973,31.37
,,,,,,50,162.781,42.0,447185,0,447185,100.0,832393,21861,854254,32.21
,,,,,,100,163.958,42.31,447185,0,447185,100.0,841809,21861,863670,32.56
,,,,,,200,164.276,42.39,447185,0,447185,100.0,844358,21861,866219,32.66
,,,,1,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 'N']",5,117.948,30.43,447185,0,447185,100.0,473733,21861,495594,18.69
,,,,,,10,127.523,32.91,447185,0,447185,100.0,550334,21861,572195,21.57
,,,,,,25,144.755,37.35,447185,0,447185,100.0,688192,21861,710053,26.77
,,,,,,50,154.634,39.9,447185,0,447185,100.0,767223,21861,789084,29.75
,,,,,,100,159.503,41.16,447185,0,447185,100.0,806169,21861,828030,31.22
,,,,,,200,161.540,41.68,447185,0,447185,100.0,822468,21861,844329,31.83
,,,,3,"[0, 2, 0, 0, 1, 1, 2, 1, 0, 1, 'N']",5,109.018,28.13,447185,0,447185,100.0,402293,21861,424154,15.99
,,,,,,10,113.573,29.31,447185,0,447185,100.0,438734,21861,460595,17.37
,,,,,,25,126.905,32.75,447185,0,447185,100.0,545392,21861,567253,21.39
,,,,,,50,139.628,36.03,447185,0,447185,100.0,647173,21861,669034,25.22
,,,,,,100,151.211,39.02,447185,0,447185,100.0,739839,21861,761700,28.72
,,,,,,200,156.565,40.4,447185,0,447185,100.0,782668,21861,804529,30.33
,,,,5,"[0, 3, 1, 0, 2, 2, 4, 1, 1, 2, 'N']",5,95.683,24.69,447185,0,447185,100.0,295613,21861,317474,11.97
,,,,,,10,95.596,24.67,447185,0,447185,100.0,294914,21861,316775,11.94
,,,,,,25,109.355,28.22,447185,0,447185,100.0,404992,21861,426853,16.09
,,,,,,50,124.928,32.24,447185,0,447185,100.0,529573,21861,551434,20.79
,,,,,,100,139.950,36.11,447185,0,447185,100.0,649749,21861,671610,25.32
,,,,,,200,152.087,39.24,447185,0,447185,100.0,746848,21861,768709,28.98
,,,,10,"[0, 6, 2, 1, 3, 3, 7, 2, 2, 3, 'N']",5,86.283,22.26,447185,0,447185,100.0,220413,21861,242274,9.13
,,,,,,10,80.791,20.85,447185,0,447185,100.0,176474,21861,198335,7.48
,,,,,,25,87.275,22.52,447185,0,447185,100.0,228352,21861,250213,9.43
,,,,,,50,103.246,26.64,447185,0,447185,100.0,356113,21861,377974,14.25
,,,,,,100,122.254,31.55,447185,0,447185,100.0,508179,21861,530040,19.98
,,,,,,200,137.660,35.52,447185,0,447185,100.0,631428,21861,653289,24.63
,,,,15,"[0, 9, 2, 1, 5, 5, 11, 3, 2, 5, 'N']",5,85.563,22.08,447185,0,447185,100.0,214653,21861,236514,8.92
,,,,,,10,79.542,20.52,447185,0,447185,100.0,166484,21861,188345,7.1
,,,,,,25,84.125,21.71,447185,0,447185,100.0,203152,21861,225013,8.48
,,,,,,50,96.569,24.92,447185,0,447185,100.0,302703,21861,324564,12.24
,,,,,,100,111.983,28.9,447185,0,447185,100.0,426009,21861,447870,16.89
,,,,,,200,128.207,33.08,447185,0,447185,100.0,555808,21861,577669,21.78
,,,,20,"[0, 12, 3, 2, 6, 7, 14, 4, 3, 6, 'N']",5,84.288,21.75,447185,0,447185,100.0,204453,21861,226314,8.53
,,,,,,10,76.606,19.77,447185,0,447185,100.0,142994,21861,164855,6.22
,,,,,,25,78.575,20.28,447185,0,447185,100.0,158752,21861,180613,6.81
,,,,,,50,87.259,22.52,447185,0,447185,100.0,228223,21861,250084,9.43
,,,,,,100,100.721,25.99,447185,0,447185,100.0,335919,21861,357780,13.49
,,,,,,200,116.267,30.0,447185,0,447185,100.0,460288,21861,482149,18.18
,,,,30,"[0, 18, 5, 3, 9, 10, 21, 6, 5, 10, 'N']",5,83.338,21.5,447185,0,447185,100.0,196853,21861,218714,8.25
,,,,,,10,74.367,19.19,447185,0,447185,100.0,125084,21861,146945,5.54
,,,,,,25,73.835,19.05,447185,0,447185,100.0,120832,21861,142693,5.38
,,,,,,50,79.787,20.59,447185,0,447185,100.0,168443,21861,190304,7.17
,,,,,,100,92.430,23.85,447185,0,447185,100.0,269589,21861,291450,10.99
,,,,,,200,106.317,27.43,447185,0,447185,100.0,380688,21861,402549,15.18
,vwc_1205.dat.csv,26.305,CoderBasic,,,,387.853,100,447185,0,447185,100,2630500,24336,2654836,100
,,,CoderPCA,0,"[0, 0, 0, 0, 'N', 'N', 0, 0, 'N', 'N', 'N']",5,99.144,25.56,447185,0,447185,100.0,320824,24336,345160,13.0
,,,,,,10,104.087,26.84,447185,0,447185,100.0,360369,24336,384705,14.49
,,,,,,25,106.939,27.57,447185,0,447185,100.0,383183,24336,407519,15.35
,,,,,,50,107.408,27.69,447185,0,447185,100.0,386938,24336,411274,15.49
,,,,,,100,107.543,27.73,447185,0,447185,100.0,388020,24336,412356,15.53
,,,,,,200,107.519,27.72,447185,0,447185,100.0,387826,24336,412162,15.52
,,,,1,"[0, 0, 0, 0, 'N', 'N', 1, 0, 'N', 'N', 'N']",5,97.789,25.21,447185,0,447185,100.0,309984,24336,334320,12.59
