Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
NOAA-SST,noaa-buoy-201701.csv,4.392,CoderBasic,,,,496.480,100,74664,0,74664,100,3864960,28251,3893211,100
,,,CoderPCA,0,"[0, 0, 0, 0, 0, 0, 0, 'N', 0, 'N', 'N', 0, 0, 'N', 0, 0, 'N', 0, 0, 0, 0, 0, 0, 0, 'N', 0, 'N', 0, 0, 0, 0, 0, 'N', 0, 0, 0, 0, 'N', 0, 0, 'N', 'N', 0, 'N', 'N', 'N', 0, 0, 'N', 0, 0, 0, 0, 0, 'N', 0]",5,314.459,63.34,74664,0,74664,100.0,2408795,28251,2437046,62.6
,,,,,,10,312.609,62.97,74664,0,74664,100.0,2393990,28251,2422241,62.22
,,,,,,25,311.494,62.74,74664,0,74664,100.0,2385071,28251,2413322,61.99
,,,,,,50,311.122,62.67,74664,0,74664,100.0,2382098,28251,2410349,61.91
,,,,,,100,310.936,62.63,74664,0,74664,100.0,2380611,28251,2408862,61.87
,,,,,,200,310.842,62.61,74664,0,74664,100.0,2379861,28251,2408112,61.85
,,,,1,"[0, 10, 10, 8, 11, 10, 10, 'N', 17, 'N', 'N', 1, 7, 'N', 12, 6, 'N', 10, 13, 1, 16, 18, 12, 9, 'N', 18, 'N', 10, 5, 20, 3, 12, 'N', 1, 12, 14, 12, 'N', 12, 1, 'N', 'N', 14, 'N', 'N', 'N', 1, 7, 'N', 11, 7, 45, 21, 56, 'N', 12]",5,209.779,42.25,74664,0,74664,100.0,1571355,28251,1599606,41.09
,,,,,,10,254.307,51.22,74664,0,74664,100.0,1927574,28251,1955825,50.24
,,,,,,25,296.086,59.64,74664,0,74664,100.0,2261807,28251,2290058,58.82
,,,,,,50,307.692,61.97,74664,0,74664,100.0,2354658,28251,2382909,61.21
,,,,,,100,310.540,62.55,74664,0,74664,100.0,2377443,28251,2405694,61.79
,,,,,,200,310.842,62.61,74664,0,74664,100.0,2379861,28251,2408112,61.85
,,,,3,"[0, 30, 30, 24, 33, 31, 29, 'N', 51, 'N', 'N', 3, 22, 'N', 36, 18, 'N', 31, 39, 2, 47, 54, 35, 26, 'N', 54, 'N', 31, 14, 60, 9, 37, 'N', 4, 35, 42, 37, 'N', 36, 4, 'N', 'N', 43, 'N', 'N', 'N', 3, 21, 'N', 32, 21, 134, 62, 167, 'N', 36]",5,126.187,25.42,74664,0,74664,100.0,902619,28251,930870,23.91
,,,,,,10,149.043,30.02,74664,0,74664,100.0,1085462,28251,1113713,28.61
,,,,,,25,219.910,44.29,74664,0,74664,100.0,1652399,28251,1680650,43.17
,,,,,,50,272.902,54.97,74664,0,74664,100.0,2076338,28251,2104589,54.06
,,,,,,100,301.036,60.63,74664,0,74664,100.0,2301411,28251,2329662,59.84
,,,,,,200,309.250,62.29,74664,0,74664,100.0,2367125,28251,2395376,61.53
,,,,5,"[0, 50, 50, 41, 55, 52, 48, 'N', 85, 'N', 'N', 5, 36, 'N', 61, 31, 'N', 51, 65, 4, 79, 89, 58, 43, 'N', 89, 'N', 52, 23, 101, 15, 62, 'N', 7, 58, 69, 62, 'N', 60, 7, 'N', 'N', 72, 'N', 'N', 'N', 5, 34, 'N', 53, 35, 223, 104, 279, 'N', 61]",5,104.331,21.01,74664,0,74664,100.0,727771,28251,756022,19.42
,,,,,,10,108.597,21.87,74664,0,74664,100.0,761894,28251,790145,20.3
,,,,,,25,169.558,34.15,74664,0,74664,100.0,1249583,28251,1277834,32.82
,,,,,,50,234.878,47.31,74664,0,74664,100.0,1772146,28251,1800397,46.24
,,,,,,100,283.414,57.08,74664,0,74664,100.0,2160435,28251,2188686,56.22
,,,,,,200,300.892,60.61,74664,0,74664,100.0,2300261,28251,2328512,59.81
,,,,10,"[0, 101, 100, 81, 111, 104, 95, 'N', 170, 'N', 'N', 11, 72, 'N', 122, 61, 'N', 103, 130, 7, 158, 179, 116, 86, 'N', 179, 'N', 103, 47, 201, 30, 124, 'N', 14, 116, 139, 125, 'N', 119, 14, 'N', 'N', 144, 'N', 'N', 'N', 9, 69, 'N', 106, 70, 447, 207, 558, 'N', 121]",5,87.771,17.68,74664,0,74664,100.0,595291,28251,623542,16.02
,,,,,,10,73.515,14.81,74664,0,74664,100.0,481238,28251,509489,13.09
,,,,,,25,103.606,20.87,74664,0,74664,100.0,721967,28251,750218,19.27
,,,,,,50,163.044,32.84,74664,0,74664,100.0,1197474,28251,1225725,31.48
,,,,,,100,230.746,46.48,74664,0,74664,100.0,1739091,28251,1767342,45.4
,,,,,,200,269.052,54.19,74664,0,74664,100.0,2045541,28251,2073792,53.27
,,,,15,"[0, 151, 149, 122, 166, 156, 143, 'N', 255, 'N', 'N', 16, 108, 'N', 182, 92, 'N', 154, 195, 11, 237, 268, 174, 129, 'N', 268, 'N', 155, 70, 302, 45, 186, 'N', 21, 173, 208, 187, 'N', 179, 21, 'N', 'N', 216, 'N', 'N', 'N', 14, 103, 'N', 159, 106, 670, 311, 837, 'N', 182]",5,83.107,16.74,74664,0,74664,100.0,557979,28251,586230,15.06
,,,,,,10,61.491,12.39,74664,0,74664,100.0,385046,28251,413297,10.62
,,,,,,25,76.774,15.46,74664,0,74664,100.0,507311,28251,535562,13.76
,,,,,,50,117.964,23.76,74664,0,74664,100.0,836834,28251,865085,22.22
,,,,,,100,183.424,36.94,74664,0,74664,100.0,1360515,28251,1388766,35.67
,,,,,,200,234.824,47.3,74664,0,74664,100.0,1771717,28251,1799968,46.23
,,,,20,"[0, 201, 199, 163, 221, 208, 190, 'N', 339, 'N', 'N', 21, 143, 'N', 243, 123, 'N', 206, 260, 15, 316, 357, 232, 172, 'N', 358, 'N', 207, 93, 403, 60, 248, 'N', 28, 231, 278, 250, 'N', 238, 29, 'N', 'N', 288, 'N', 'N', 'N', 19, 137, 'N', 212, 141, 894, 414, 1117, 'N', 242]",5,81.243,16.36,74664,0,74664,100.0,543067,28251,571318,14.67
,,,,,,10,56.775,11.44,74664,0,74664,100.0,347318,28251,375569,9.65
,,,,,,25,63.286,12.75,74664,0,74664,100.0,399407,28251,427658,10.98
,,,,,,50,92.190,18.57,74664,0,74664,100.0,630642,28251,658893,16.92
,,,,,,100,147.784,29.77,74664,0,74664,100.0,1075395,28251,1103646,28.35
,,,,,,200,204.576,41.21,74664,0,74664,100.0,1529733,28251,1557984,40.02
,,,,30,"[0, 302, 299, 244, 332, 313, 286, 'N', 509, 'N', 'N', 32, 215, 'N', 365, 184, 'N', 308, 390, 22, 474, 536, 347, 258, 'N', 536, 'N', 310, 140, 604, 89, 372, 'N', 42, 347, 417, 375, 'N', 357, 43, 'N', 'N', 432, 'N', 'N', 'N', 28, 206, 'N', 318, 211, 1341, 622, 1675, 'N', 364]",5,80.083,16.13,74664,0,74664,100.0,533787,28251,562038,14.44
,,,,,,10,53.175,10.71,74664,0,74664,100.0,318518,28251,346769,8.91
,,,,,,25,50.326,10.14,74664,0,74664,100.0,295727,28251,323978,8.32
,,,,,,50,69.160,13.93,74664,0,74664,100.0,446402,28251,474653,12.19
,,,,,,100,110.164,22.19,74664,0,74664,100.0,774435,28251,802686,20.62
,,,,,,200,160.398,32.31,74664,0,74664,100.0,1176309,28251,1204560,30.94
,noaa-buoy-201702.csv,3.984,CoderBasic,,,,451.872,100,67728,0,67728,100,3505920,37368,3543288,100
,,,CoderPCA,0,"[0, 0, 0, 0, 0, 0, 0, 'N', 0, 'N', 0, 0, 0, 'N', 0, 'N', 'N', 0, 0, 0, 0, 0, 0, 0, 'N', 'N', 0, 0, 0, 0, 0, 0, 'N', 'N', 0, 0, 0, 'N', 0, 0, 'N', 'N', 0, 'N', 'N', 'N', 0, 0, 'N', 0, 0, 0, 0, 0, 'N', 0]",5,286.653,63.44,67728,0,67728,100.0,2184166,37368,2221534,62.7
,,,,,,10,284.976,63.07,67728,0,67728,100.0,2170748,37368,2208116,62.32
,,,,,,25,283.965,62.84,67728,0,67728,100.0,2162661,37368,2200029,62.09
,,,,,,50,283.628,62.77,67728,0,67728,100.0,2159962,37368,2197330,62.01
,,,,,,100,283.460,62.73,67728,0,67728,100.0,2158618,37368,2195986,61.98
,,,,,,200,283.375,62.71,67728,0,67728,100.0,2157939,37368,2195307,61.96
,,,,1,"[0, 10, 9, 5, 9, 32, 8, 'N', 13, 'N', 14, 7, 8, 'N', 1, 'N', 'N', 11, 7, 8, 12, 49, 13, 6, 'N', 'N', 13, 11, 15, 20, 7, 2, 'N', 'N', 13, 12, 24, 'N', 12, 8, 'N', 'N', 1, 'N', 'N', 'N', 5, 6, 'N', 5, 9, 32, 11, 31, 'N', 11]",5,208.797,46.21,67728,0,67728,100.0,1561318,37368,1598686,45.12
,,,,,,10,239.994,53.11,67728,0,67728,100.0,1810892,37368,1848260,52.16
,,,,,,25,267.261,59.15,67728,0,67728,100.0,2029029,37368,2066397,58.32
,,,,,,50,278.042,61.53,67728,0,67728,100.0,2115274,37368,2152642,60.75
,,,,,,100,282.668,62.55,67728,0,67728,100.0,2152282,37368,2189650,61.8
,,,,,,200,283.375,62.71,67728,0,67728,100.0,2157939,37368,2195307,61.96
,,,,3,"[0, 31, 28, 16, 28, 97, 25, 'N', 38, 'N', 42, 20, 25, 'N', 4, 'N', 'N', 34, 21, 25, 35, 147, 38, 18, 'N', 'N', 40, 33, 46, 59, 22, 5, 'N', 'N', 39, 37, 72, 'N', 35, 25, 'N', 'N', 2, 'N', 'N', 'N', 14, 18, 'N', 14, 28, 96, 32, 94, 'N', 34]",5,134.933,29.86,67728,0,67728,100.0,970406,37368,1007774,28.44
,,,,,,10,160.434,35.5,67728,0,67728,100.0,1174412,37368,1211780,34.2
,,,,,,25,215.373,47.66,67728,0,67728,100.0,1613925,37368,1651293,46.6
,,,,,,50,250.896,55.52,67728,0,67728,100.0,1898106,37368,1935474,54.62
,,,,,,100,271.184,60.01,67728,0,67728,100.0,2060410,37368,2097778,59.2
,,,,,,200,278.997,61.74,67728,0,67728,100.0,2122915,37368,2160283,60.97
,,,,5,"[0, 51, 47, 27, 46, 162, 41, 'N', 64, 'N', 71, 34, 41, 'N', 7, 'N', 'N', 57, 35, 42, 59, 244, 63, 30, 'N', 'N', 66, 55, 76, 98, 36, 8, 'N', 'N', 66, 62, 120, 'N', 58, 42, 'N', 'N', 4, 'N', 'N', 'N', 23, 30, 'N', 23, 47, 160, 53, 156, 'N', 57]",5,109.053,24.13,67728,0,67728,100.0,763366,37368,800734,22.6
,,,,,,10,123.570,27.35,67728,0,67728,100.0,879500,37368,916868,25.88
,,,,,,25,178.125,39.42,67728,0,67728,100.0,1315941,37368,1353309,38.19
,,,,,,50,226.004,50.02,67728,0,67728,100.0,1698970,37368,1736338,49.0
,,,,,,100,260.294,57.6,67728,0,67728,100.0,1973290,37368,2010658,56.75
