DATASET:,NOAA-SPC-tornado
TIME UNIT:,minutes
FIRST TIMESTAMP:,2015-01-03 20:05:00
Time Delta,Latitude,Longitude
0,3144,-8996
35,3171,-8964
27,3215,-8905
9,3221,-8900
8,3227,-8893
24,3247,-8874
18,3243,-8837
25,3249,-8848
5,3281,-8831
17,3372,-8829
2,3296,-8813
24,3311,-8784
4,3418,-8795
595,3161,-8634
14,3172,-8621
176,3131,-8555
240,3136,-8362
4,3211,-8350
12,3217,-8336
4,3142,-8339
7,3222,-8324
68,3154,-8243
120,3204,-8123
20295,4733,-12259
7,4733,-12259
7820,2699,-8229
17511,2638,-8015
26344,3547,-11979
43355,3627,-9394
15,3627,-9380
4,3614,-9618
13,3634,-9357
15,3613,-9592
10,3546,-9783
23,3534,-9749
21,3615,-9551
27,3610,-9510
8357,3404,-9147
10,3403,-9138
10,3400,-9135
15,3389,-9126
3129,3732,-9534
16,3719,-9526
3,3724,-9518
15,3719,-9503
4,3879,-10209
4,3719,-9500
4,3718,-9540
10,3736,-9433
11,3997,-8403
2,3736,-9418
37,3711,-9444
60,3668,-9498
75,3653,-9418
61,3697,-9230
10,3635,-9325
16,3690,-9193
990,3592,-8704
228,3472,-8553
5348,3813,-8758
31,3804,-8716
7,3808,-8710
31,3820,-8660
150,3765,-8429
6,3765,-8418
182,3747,-9562
48,3820,-9452
66,3734,-9559
998,3794,-9078
169,3713,-9919
29,3720,-9893
3,3722,-9878
62,3739,-9835
40,3772,-9765
3,3770,-9814
19,3567,-9933
990,4084,-8961
5,4088,-8957
220,4169,-9068
29,4183,-9022
8,3883,-9102
43,4219,-8895
1,3209,-9523
2,4186,-8927
3,4182,-8915
0,4224,-8896
19,4202,-8907
3,4206,-8898
5,4209,-8893
0,3252,-9473
5,4213,-8891
5,3254,-9467
4,4221,-8884
10,4225,-8885
1,4241,-8862
5,4225,-8862
7,3954,-8946
3,4240,-8853
85,3752,-8979
16,3738,-8971
2795,3733,-10144
1361,3982,-9878
91,3736,-9842
1377,3215,-9036
31,3251,-8959
19,3258,-8945
1320,4405,-12311
2651,2831,-9732
36,2831,-9714
37,2839,-9693
89,3526,-10100
5,3526,-10100
38,3561,-10064
9,3574,-10010
