Dataset,Filename,Coder,0,3,5,10,15,20,30,,0,3,5,10,15,20,30
IRKIS,vwc_1202.dat.csv,
,,CoderPCA,5,10,10,25,25,25,25,,48.03,41.9,25.05,14.67,11.43,10.6,9.32
,,CoderAPCA,50,50,200,200,200,200,200,,26.09,20.91,9.69,3.16,2.2,1.98,1.65
,,CoderCA,25,25,100,200,200,200,200,,41.47,34.7,18.72,8.27,5.44,4.45,3.22
,vwc_1203.dat.csv,
,,CoderPCA,100,10,10,25,25,25,25,,26.11,22.27,17.25,14.67,11.1,9.4,8.06
,,CoderAPCA,100,200,200,200,200,200,200,,14.84,7.34,4.35,3.01,2.25,1.89,1.56
,,CoderCA,50,100,200,200,200,200,200,,21.36,11.83,7.19,4.96,3.49,2.85,2.38
,vwc_1204.dat.csv,
,,CoderPCA,50,10,10,25,25,25,25,,34.26,24.79,19.33,13.36,12.47,10.83,9.6
,,CoderAPCA,100,200,200,200,200,200,200,,18.53,10.06,5.91,3.0,2.74,2.17,1.77
,,CoderCA,50,100,200,200,200,200,200,,27.39,15.45,9.56,4.91,4.53,3.44,2.81
,vwc_1205.dat.csv,
,,CoderPCA,100,25,25,25,25,25,25,,18.43,16.0,14.87,12.7,11.43,11.08,10.41
,,CoderAPCA,200,200,200,200,200,200,200,,12.06,5.33,3.93,2.95,2.53,2.37,2.06
,,CoderCA,100,200,200,200,200,200,200,,16.45,7.67,5.57,4.12,3.48,3.32,2.97
,vwc_222.smet.csv,
,,CoderPCA,5,5,10,10,10,25,25,,57.46,39.79,24.39,18.06,15.49,13.43,9.75
,,CoderAPCA,25,50,100,200,200,200,200,,32.19,18.1,7.88,4.32,3.12,2.45,1.73
,,CoderCA,25,50,50,200,200,200,200,,51.03,32.33,18.59,10.76,7.25,5.48,3.74
,vwc_333.smet.csv,
,,CoderPCA,5,5,10,10,10,25,25,,58.46,38.31,27.36,17.87,15.26,12.3,9.54
,,CoderAPCA,25,50,100,200,200,200,200,,32.68,16.83,9.54,4.36,3.02,2.23,1.68
,,CoderCA,25,50,100,200,200,200,200,,51.43,28.04,17.55,9.88,6.91,4.86,3.6
,vwc_SLF2.smet.csv,
,,CoderPCA,5,5,10,10,10,25,25,,52.26,43.22,31.47,16.35,14.84,11.61,8.83
,,CoderAPCA,25,50,100,200,200,200,200,,25.63,18.54,11.95,4.31,3.26,2.54,1.85
,,CoderCA,25,50,50,200,200,200,200,,42.43,32.86,22.04,10.44,7.9,5.65,3.93
