Dataset,Filename,Coder,0,3,5,10,15,20,30,,0,3,5,10,15,20,30
NOAA-SST,noaa-buoy-201701.csv,
,,CoderPCA,50,5,10,10,10,10,10,,63.77,32.82,26.56,19.59,17.18,16.24,15.46
,,CoderAPCA,10,100,100,200,200,200,200,,79.28,12.58,8.25,4.56,3.36,2.8,2.38
,,CoderCA,10,50,100,200,200,200,200,,81.03,21.79,14.85,8.8,6.36,5.17,4.14
,noaa-buoy-201702.csv,
,,CoderPCA,50,5,5,10,10,10,10,,64.64,37.93,32.3,23.94,20.61,19.03,17.68
,,CoderAPCA,10,50,100,200,200,200,200,,79.92,16.59,11.28,6.62,4.96,4.19,3.49
,,CoderCA,10,50,100,100,200,200,200,,81.46,27.54,19.73,11.99,9.05,7.48,6.04
,noaa-buoy-201703.csv,
,,CoderPCA,50,5,5,10,10,10,10,,61.16,40.56,33.61,25.11,21.15,19.21,17.63
,,CoderAPCA,10,50,100,200,200,200,200,,76.57,18.34,12.22,7.01,5.21,4.35,3.57
,,CoderCA,10,50,50,100,100,200,200,,78.11,31.31,22.49,13.27,9.86,7.96,6.23
,noaa-buoy-201704.csv,
,,CoderPCA,50,5,5,10,10,10,10,,56.95,38.62,32.48,23.49,20.17,18.84,17.45
,,CoderAPCA,10,50,100,200,200,200,200,,71.55,16.71,11.15,6.46,4.94,4.24,3.61
,,CoderCA,10,50,50,100,200,200,200,,73.11,28.18,20.61,12.05,8.77,7.25,5.92
,noaa-buoy-201705.csv,
,,CoderPCA,50,10,10,10,10,10,25,,51.22,31.71,25.39,19.31,17.63,16.92,15.84
,,CoderAPCA,25,100,200,200,200,200,200,,64.54,10.87,7.34,4.62,3.81,3.44,3.14
,,CoderCA,25,100,100,200,200,200,200,,66.18,19.25,13.3,8.03,6.36,5.62,4.97
,noaa-buoy-201706.csv,
,,CoderPCA,100,5,10,10,10,10,10,,59.51,34.39,29.06,23.08,21.19,20.31,19.66
,,CoderAPCA,10,100,100,200,200,200,200,,73.7,12.85,8.89,5.7,4.65,4.18,3.75
,,CoderCA,10,50,100,200,200,200,200,,75.5,22.69,16.0,10.08,8.01,7.02,6.09
,noaa-buoy-201707.csv,
,,CoderPCA,50,5,5,10,10,10,10,,70.18,38.82,32.9,25.41,22.78,21.84,21.06
,,CoderAPCA,5,50,100,200,200,200,200,,84.99,16.4,11.14,6.88,5.61,5.04,4.54
,,CoderCA,5,50,50,100,200,200,200,,87.1,29.27,20.93,12.78,9.79,8.49,7.36
,noaa-buoy-201708.csv,
,,CoderPCA,100,5,5,10,10,10,10,,73.28,37.74,31.95,24.22,21.68,20.69,19.84
,,CoderAPCA,5,50,100,200,200,200,200,,88.8,16.4,11.1,6.69,5.33,4.75,4.21
,,CoderCA,5,50,50,100,200,200,200,,90.75,28.79,20.43,12.45,9.65,8.15,6.91
,noaa-buoy-201709.csv,
,,CoderPCA,100,5,5,10,10,10,10,,84.66,44.58,38.18,31.84,27.89,26.05,24.39
,,CoderAPCA,5,25,50,100,100,200,200,,99.19,22.26,15.86,10.07,8.15,7.18,6.34
,,CoderCA,5,25,50,100,100,100,200,,101.24,37.92,28.51,18.86,14.73,12.74,10.71
,noaa-buoy-201710.csv,
,,CoderPCA,50,5,5,10,10,10,10,,88.66,42.85,35.42,28.79,25.76,24.67,23.82
,,CoderAPCA,5,50,50,100,200,200,200,,102.87,19.38,13.37,8.65,7.2,6.52,5.93
,,CoderCA,5,25,50,100,100,200,200,,104.94,35.58,25.06,15.73,12.6,11.25,9.84
,noaa-buoy-201711.csv,
,,CoderPCA,200,5,5,10,10,10,10,,85.27,39.72,33.64,27.17,25.11,24.41,23.78
,,CoderAPCA,5,50,50,100,200,200,200,,99.76,17.04,12.18,8.43,7.3,6.78,6.36
,,CoderCA,5,25,50,100,100,200,200,,101.87,31.94,22.43,14.82,12.4,11.34,10.28
,noaa-buoy-201712.csv,
,,CoderPCA,100,5,5,10,10,10,10,,76.02,42.14,35.81,29.86,27.33,26.28,25.56
,,CoderAPCA,5,50,100,100,200,200,200,,90.75,18.53,13.3,9.42,8.27,7.7,7.24
,,CoderCA,5,50,50,100,100,100,200,,92.7,33.65,24.24,16.18,13.58,12.48,11.39
