Dataset,Filename,Coder,0,3,5,10,15,20,30,,0,3,5,10,15,20,30
NOAA-ADCP,noaa-adcp-201501.csv,
,,CoderPCA,25,25,25,25,5,5,5,,72.65,72.65,72.65,72.65,71.65,66.93,56.92
,,CoderAPCA,5,5,5,10,10,25,25,,91.1,79.82,74.01,59.38,49.46,41.78,30.3
,,CoderCA,5,5,5,5,5,10,10,,92.61,88.48,85.89,78.58,72.45,66.35,55.65
,noaa-adcp-201502.csv,
,,CoderPCA,50,50,50,50,50,5,5,,70.16,70.16,70.16,70.16,70.16,65.76,56.17
,,CoderAPCA,5,5,5,10,10,25,25,,90.17,79.56,73.51,59.03,49.19,41.62,30.36
,,CoderCA,5,5,5,5,5,10,10,,91.62,87.65,85.03,78.02,72.0,66.09,55.68
,noaa-adcp-201503.csv,
,,CoderPCA,25,25,25,25,5,5,5,,73.47,73.47,73.47,73.47,70.68,64.95,53.92
,,CoderAPCA,5,5,5,10,10,25,25,,91.66,79.13,72.36,57.16,46.87,39.53,28.79
,,CoderCA,5,5,5,5,10,10,10,,93.1,88.26,85.18,77.23,70.36,63.85,53.25
,noaa-adcp-201504.csv,
,,CoderPCA,50,50,50,50,50,5,5,,73.06,73.06,73.06,73.06,73.06,68.97,58.87
,,CoderAPCA,5,5,5,10,10,10,25,,91.29,81.48,75.42,61.23,51.3,44.05,32.07
,,CoderCA,5,5,5,5,5,10,10,,92.76,89.02,86.48,79.58,73.65,68.16,57.38
,noaa-adcp-201505.csv,
,,CoderPCA,25,25,25,25,25,5,5,,76.51,76.51,76.51,76.51,76.51,73.8,64.85
,,CoderAPCA,5,5,5,5,10,10,25,,94.28,85.17,79.33,65.67,55.82,47.26,35.58
,,CoderCA,5,5,5,5,5,5,10,,95.84,92.43,89.99,83.5,77.73,72.16,62.2
,noaa-adcp-201506.csv,
,,CoderPCA,50,50,50,50,5,5,5,,75.9,75.9,75.9,75.9,74.45,69.95,60.37
,,CoderAPCA,5,5,5,10,10,10,25,,94.18,83.47,76.66,62.97,52.7,44.7,33.03
,,CoderCA,5,5,5,5,5,5,10,,95.69,91.68,88.86,81.73,75.54,70.08,59.31
,noaa-adcp-201507.csv,
,,CoderPCA,25,25,25,25,5,5,5,,78.13,78.13,78.13,78.13,74.99,69.3,57.67
,,CoderAPCA,5,5,5,5,10,10,25,,96.4,83.92,76.73,61.09,50.46,42.44,30.95
,,CoderCA,5,5,5,5,5,5,10,,97.96,93.28,90.19,81.87,74.85,68.72,57.17
,noaa-adcp-201508.csv,
,,CoderPCA,25,25,25,25,5,5,5,,76.92,76.92,76.92,76.92,75.73,71.12,60.48
,,CoderAPCA,5,5,5,5,10,10,25,,95.19,84.27,77.83,63.47,53.44,45.12,33.49
,,CoderCA,5,5,5,5,5,5,10,,96.59,92.51,89.72,82.36,76.11,70.36,59.68
,noaa-adcp-201509.csv,
,,CoderPCA,50,50,50,50,5,5,5,,75.8,75.8,75.8,75.8,74.33,69.97,60.05
,,CoderAPCA,5,5,5,10,10,10,25,,93.9,83.6,77.18,62.66,53.12,45.39,33.54
,,CoderCA,5,5,5,5,5,5,10,,95.38,91.55,88.81,81.46,75.75,70.39,59.59
,noaa-adcp-201510.csv,
,,CoderPCA,25,25,25,25,5,5,5,,73.15,73.15,73.15,73.15,72.98,68.07,57.5
,,CoderAPCA,5,5,5,10,10,25,25,,91.97,82.24,75.13,59.87,50.55,42.92,31.07
,,CoderCA,5,5,5,5,5,10,10,,93.55,89.85,86.79,79.19,73.36,67.54,56.4
,noaa-adcp-201511.csv,
,,CoderPCA,50,50,50,50,5,5,5,,72.3,72.3,72.3,72.3,71.87,66.89,56.66
,,CoderAPCA,5,5,5,10,10,25,25,,91.55,81.43,74.72,59.58,50.1,43.24,31.44
,,CoderCA,5,5,5,5,5,10,10,,93.09,89.2,86.38,78.83,72.85,67.14,56.26
,noaa-adcp-201512.csv,
,,CoderPCA,25,25,25,25,5,5,5,,73.97,73.97,73.97,73.97,73.4,69.41,61.05
,,CoderAPCA,5,5,5,10,10,10,25,,92.56,82.61,76.69,62.63,53.0,46.02,34.24
,,CoderCA,5,5,5,5,5,10,10,,94.13,90.31,87.79,80.69,74.91,69.81,59.44
