DATASET:,NOAA
Timestamp,T0N110W,T0N125W,T0N140W,T0N155W,T0N165E,T0N170W,T0N180W,T0N95W,T2N110W,T2N125W,T2N140W,T2N155W,T2N165E,T2N170W,T2N180W,T2N95W,T2S110W,T2S125W,T2S140W,T2S155W,T2S165E,T2S170W,T2S180W,T2S95W,T5N110W,T5N125W,T5N140W,T5N155W,T5N165E,T5N170W,T5N180W,T5N95W,T5S110W,T5S125W,T5S140W,T5S155W,T5S165E,T5S170W,T5S180W,T5S95W,T8N110W,T8N125W,T8N155W,T8N165E,T8N170W,T8N180W,T8N95W,T8S110W,T8S125W,T8S155W,T8S165E,T8S170W,T8S180W,T8S95W,T9N140W
00:10:00,20805,N,23248,N,29966,N,27976,23721,23706,24233,26156,27119,29506,27309,28521,N,22478,23696,23939,27471,30192,28364,28605,21193,26142,25343,N,27966,30038,28504,29488,N,23520,25499,26894,27930,N,28915,N,N,27901,28275,N,29751,29117,N,N,23930,25823,28454,30139,29508,30006,22222,28059
00:10:00,20789,N,N,N,29975,N,27973,23590,23731,24165,26101,27129,29497,27307,28521,N,22500,23692,23960,27474,30216,28403,28623,21214,26088,25317,N,27947,30047,28529,29490,N,N,N,26897,27894,N,28944,N,22185,27869,28294,N,29750,29124,N,N,N,N,28481,30134,29559,30019,22209,28070
00:10:00,20793,N,23328,N,29990,N,27974,23629,23726,24159,26173,27082,29500,27322,28521,N,22456,23703,23951,27470,30192,28382,28622,21141,26129,25349,26115,27961,30043,28505,29493,N,N,N,26893,27902,N,28928,N,22184,27883,28324,N,29765,29117,N,N,N,N,28480,30121,29537,30055,22202,28065
00:10:00,20668,N,23298,N,30006,N,27971,23658,23731,24199,26175,27096,29494,27323,28521,N,22455,23671,23955,27476,30188,28394,28633,21150,26121,25331,26105,27953,30057,28509,29502,N,N,N,26891,27913,N,28903,N,N,27878,28450,N,29764,29122,N,N,N,N,28498,30117,29534,30039,22201,28059
00:10:00,20716,N,23279,N,30022,N,27988,23660,23770,24196,26168,27103,29512,27327,28521,N,22473,23683,23960,27467,30212,28424,28636,21064,26113,25330,26111,27967,30058,28515,29507,N,N,N,26892,27914,N,28932,N,N,27873,28371,N,29776,29129,N,N,N,N,28489,30131,29572,30076,22196,28063
00:10:00,20676,N,23330,N,30031,N,27986,23673,23733,24117,26148,27094,29529,27320,28521,N,22461,23679,23938,27461,30194,28405,28639,21056,26096,25324,26110,27954,30058,28521,29501,N,N,N,26893,27903,N,28917,N,N,27867,28302,N,29784,29120,N,N,N,N,28496,30124,29548,30066,22189,28067
00:10:00,20732,N,23268,N,30042,N,27989,23664,23715,24130,26129,27113,29553,27331,28521,N,22413,23684,23977,27469,30211,28410,28646,21076,N,25309,26098,27968,30067,28530,29489,N,N,N,26898,27891,N,28931,N,22155,27865,28277,N,29773,29124,N,N,N,N,28501,30125,29523,30091,22186,28066
00:10:00,20705,N,N,N,30048,N,27988,23687,23730,24054,26140,27139,29540,27332,28521,N,22402,23682,23990,27471,30204,28423,28646,21030,26038,25259,26080,27964,30081,28532,29493,N,23494,N,26885,27917,N,28984,N,N,27867,28237,N,29778,29126,N,N,23883,25805,28500,30122,29551,30112,22175,N
00:10:00,20711,N,23298,N,30051,N,27983,23658,23739,24191,26096,27124,29529,27343,28521,N,22411,23695,23957,27475,30212,28404,28639,21029,26080,25319,26099,27971,30084,28519,29489,N,23559,25477,26878,27922,N,28942,N,N,27874,28203,N,29779,29128,N,N,23875,25815,28494,30130,29550,30121,22178,28070
00:10:00,20864,N,23290,N,30059,N,27996,23692,23717,24146,26083,27128,29527,27324,28521,N,22401,23688,23952,27469,30207,28418,28648,21030,26070,25307,26097,27946,30082,28524,29488,N,23552,25468,26875,27854,N,28957,N,N,27868,28213,N,29791,29123,N,N,23866,25815,28506,30128,29553,30132,22175,28070
00:10:00,20781,N,23271,N,30063,N,27991,23660,23669,24103,26098,27112,29542,27338,28521,N,22412,23691,23951,27468,30211,28416,28649,21014,26062,25300,26091,27968,30087,28526,29492,N,23526,25467,26864,27812,N,28972,N,N,27865,28205,N,29802,29121,N,N,23859,25807,28525,30131,29544,30129,22173,28066
00:10:00,20711,N,23225,N,30071,N,27985,23640,23649,24081,26110,27111,29542,27323,28521,N,22380,23694,23953,27465,30198,28428,28656,21001,26053,25288,26087,27963,30097,28523,29495,N,23522,25474,26870,27922,N,28971,N,N,27869,28216,N,29794,29130,N,N,23850,25804,28506,N,29574,30143,22171,28067
00:10:00,20727,N,23213,N,30062,N,27987,23672,23651,24061,26115,27089,29529,27333,28521,N,22398,23698,23963,27469,30204,28431,28651,21014,N,25271,N,27954,30103,28527,29483,N,23528,25470,26855,27905,N,28994,N,N,27868,28201,N,29799,29128,N,N,23864,25802,28508,30157,29562,30163,22168,28070
00:10:00,20689,N,N,N,30053,N,27993,23656,23648,24028,26108,27090,29520,27328,28521,N,22382,23695,23960,27467,30210,28402,28649,21017,26046,25250,26067,27955,30097,N,29476,N,23510,N,26855,27910,N,28980,N,N,27850,28217,N,29794,29115,N,N,23871,25792,28507,30150,29575,30150,22159,28075
00:10:00,20672,N,23209,N,30037,N,27995,23702,23663,24072,26163,27098,29505,27332,28521,N,22370,23697,23945,27468,30208,28426,28663,21006,26040,25256,26080,27944,30113,28531,29493,N,23486,25459,26849,27850,N,28988,N,N,27867,28200,N,29800,29125,N,N,23866,25795,28526,30157,29579,30157,22158,28065
00:10:00,20727,N,23221,N,30055,N,28002,23697,23797,24077,26167,27109,29479,27327,28521,N,22376,23692,23894,27459,30209,28420,28662,20988,26043,25269,26084,27954,30114,28533,29487,N,23462,25448,26845,27823,N,28983,N,N,27860,28210,N,29806,29125,N,N,23860,25794,28516,30149,29570,30151,22156,28062
00:10:00,20705,N,23178,N,30058,N,27998,23693,23776,24114,26154,27100,29477,27324,28521,N,22366,23700,23927,27463,30211,28405,28656,20969,26040,25271,26073,27935,30098,28523,29482,N,23465,25446,26838,27812,N,28978,N,N,27861,28206,N,29803,29123,N,N,23863,25796,28519,30155,29522,30139,22145,28062
00:10:00,20730,N,23212,N,30055,N,N,23747,23772,24090,26142,27098,29482,27318,28521,N,22399,23695,23951,27456,30219,28411,28656,20941,26053,25264,26072,27943,30101,N,29479,N,23438,25444,26832,27869,N,28980,N,N,27860,28179,N,29802,29118,N,N,23860,25794,28504,30148,29547,30133,22143,28061
00:10:00,20726,N,23209,N,30055,N,N,23713,23769,24057,26123,27096,29449,27321,28521,N,22384,23694,23906,27454,30197,28412,28661,20971,N,25263,N,27921,30096,28529,29481,N,23462,25450,26836,27843,N,28969,N,N,27856,28160,N,29802,29121,N,N,23860,25791,28503,30138,29547,30139,22139,28062
00:10:00,20698,N,N,N,30048,N,28007,23676,23758,24069,26040,27085,29484,27325,28521,N,22365,23707,23892,27451,30196,28377,28673,20913,25903,25208,N,27934,30098,28515,29464,N,23455,N,26834,27789,N,28960,N,N,27832,28142,N,29799,29105,N,N,23855,25788,28485,30141,29519,30135,22139,28066
00:10:00,20635,N,23222,N,30056,N,28011,23653,23800,24032,26111,27079,29493,27327,28522,N,22379,23702,23888,27470,30221,28394,28664,20911,26041,25234,26061,27931,30088,28533,29472,N,23450,25444,26823,27767,N,28985,N,22101,27846,28122,N,29823,29117,N,N,23848,25792,28473,30139,29549,30142,22143,28062
00:10:00,20590,N,23189,N,30048,N,28006,23734,23813,24032,26105,27057,29490,27325,28520,N,22335,23700,23886,27472,30204,28394,28658,20895,26025,25237,26055,27913,30094,28529,29474,N,23444,25436,26824,27740,N,28962,N,N,27838,28086,N,29797,29114,N,N,23846,25791,28464,30143,29553,30135,22137,28065
00:10:00,20696,N,23152,N,30052,N,28008,23734,23819,24036,26075,27066,29490,27318,28528,N,22327,23704,23879,27469,30195,28392,28659,20913,25990,25240,26048,27916,30092,28526,29478,N,23447,25426,26822,27770,N,28968,N,N,27838,28078,N,29795,29105,N,N,23841,25780,28441,30144,29537,30130,22131,28071
00:10:00,20638,N,23120,N,30050,N,N,23731,23819,24044,26067,27062,29492,27316,28531,N,22335,23711,23860,27467,30196,28392,28659,20925,25976,25219,26041,27912,30081,28526,29478,N,23495,25438,26821,27767,N,28968,N,N,27835,28064,N,29797,29111,N,N,23837,25783,28435,30132,29528,30130,22135,28062
00:10:00,20612,N,23111,N,30045,N,N,23718,23842,24034,26058,27056,29497,27322,28519,N,22356,23705,23850,27475,30203,28373,28656,20924,N,25219,26037,27908,30092,28521,29462,N,23559,25432,26819,27739,N,28960,N,22090,27836,28114,N,29800,29116,N,N,23829,25783,28437,30112,29508,30114,22126,28069
00:10:00,20617,N,N,N,30050,N,27997,23791,23818,24072,26053,27053,29492,27313,28501,N,22354,23728,23862,27472,30203,28359,28657,20913,25829,25140,N,27900,30091,28504,29456,N,23502,N,26803,27728,N,28918,N,N,27813,28142,N,29796,29097,N,N,23831,25779,28437,30111,29482,30110,22121,28071
00:10:00,20541,N,23216,N,30059,N,28000,23810,23837,24086,26052,27049,29479,27308,28510,N,22326,23709,23866,27462,30201,28375,28652,20901,25885,25178,26035,27897,30087,28514,29472,N,23550,25420,26799,27709,N,28958,N,N,27826,28124,N,29794,29102,N,N,23831,25785,28433,30122,29520,30092,22125,28066
00:10:00,20617,N,23155,N,30044,N,28000,23799,23828,24086,26030,27042,29463,27312,28530,N,22307,23711,23850,27471,30198,28372,28639,20934,25854,25156,26036,27896,30091,28505,29472,N,23946,25425,26804,27705,N,28944,N,N,27819,28114,N,29795,29101,N,N,23830,25782,28414,30121,29525,30084,22127,28069
00:10:00,20704,N,23196,N,30049,N,27998,23842,23819,24072,26056,27045,29472,27301,28521,N,22294,23713,23857,27457,30210,28366,28645,20952,25851,25145,26036,27895,30085,28507,29463,N,23943,25430,26803,27725,N,28945,N,N,27820,28139,N,29788,29099,N,N,23826,25782,28405,30114,29492,30076,22127,28066
00:10:00,20735,N,23289,N,30049,N,27993,23910,23802,24074,26065,27073,29486,27303,28517,N,22306,23717,23863,27469,30204,28364,28648,20998,25852,25126,26033,27876,30086,28502,29457,N,23912,25415,26807,27733,N,28931,N,N,27812,28132,N,29788,29103,N,N,23820,25774,28371,30117,29494,30060,22119,28076
00:10:00,20822,N,23327,N,30063,N,27987,23944,23767,24077,26035,27060,29473,27305,28497,N,22320,23725,23853,27440,30212,28370,28639,21047,N,25138,26031,27892,30077,28506,29464,N,23928,25419,26801,27749,N,28921,N,N,27817,28139,N,29784,29101,N,N,23821,25776,28379,30104,29485,30056,N,28071
00:10:00,20778,N,N,N,N,N,N,23875,23747,24114,25963,27060,29477,27300,N,N,22304,23746,23844,27454,30197,28344,N,21000,25821,25113,26014,27885,30080,28480,29433,N,23926,N,26805,27735,N,28901,N,N,27825,28104,N,29781,29085,N,N,23816,25773,28362,30125,N,N,22126,28057
