Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
IRKIS,vwc_1202.dat.csv,26.305,CoderBasic,,,,384.811,100,447.185,100,2.630.500,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,531.477,138.11,447.185,100.0,3.803.824,144.6
,,,,,,10,424.497,110.31,447.185,100.0,2.947.984,112.07
,,,,,,25,371.529,96.55,447.185,100.0,2.524.241,95.96
,,,,,,50,361.249,93.88,447.185,100.0,2.442.002,92.83
,,,,,,100,359.149,93.33,447.185,100.0,2.425.201,92.2
,,,,,,200,360.310,93.63,447.185,100.0,2.434.488,92.55
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,531.477,138.11,447.185,100.0,3.803.824,144.6
,,,,,,10,424.497,110.31,447.185,100.0,2.947.984,112.07
,,,,,,25,371.529,96.55,447.185,100.0,2.524.241,95.96
,,,,,,50,361.249,93.88,447.185,100.0,2.442.002,92.83
,,,,,,100,359.149,93.33,447.185,100.0,2.425.201,92.2
,,,,,,200,360.310,93.63,447.185,100.0,2.434.488,92.55
,,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5,499.396,129.78,447.185,100.0,3.547.176,134.85
,,,,,,10,378.887,98.46,447.185,100.0,2.583.108,98.2
,,,,,,25,315.385,81.96,447.185,100.0,2.075.090,78.89
,,,,,,50,300.590,78.11,447.185,100.0,1.956.726,74.39
,,,,,,100,295.784,76.86,447.185,100.0,1.918.283,72.92
,,,,,,200,295.278,76.73,447.185,100.0,1.914.232,72.77
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",5,433.163,112.57,447.185,100.0,3.017.316,114.71
,,,,,,10,284.447,73.92,447.185,100.0,1.827.588,69.48
,,,,,,25,198.904,51.69,447.185,100.0,1.143.244,43.46
,,,,,,50,173.919,45.2,447.185,100.0,943.360,35.86
,,,,,,100,162.998,42.36,447.185,100.0,855.993,32.54
