Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
IRKIS,vwc_1202.dat.csv,26.305,CoderPWLH,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,519.648,100,352.554,100,3.803.824,100
IRKIS,vwc_1202.dat.csv,26.305,,,,10,390.971,75.24,178.976,50.77,2.947.984,77.5
IRKIS,vwc_1202.dat.csv,26.305,,,,25,324.722,62.49,72.726,20.63,2.524.241,66.36
IRKIS,vwc_1202.dat.csv,26.305,,,,50,309.971,59.65,36.960,10.48,2.442.002,64.2
IRKIS,vwc_1202.dat.csv,26.305,,,,100,305.603,58.81,18.815,5.34,2.425.201,63.76
IRKIS,vwc_1202.dat.csv,26.305,,,,200,305.609,58.81,9.576,2.72,2.434.488,64.0
IRKIS,vwc_1202.dat.csv,26.305,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5,487.567,93.83,352.554,100.0,3.547.176,93.25
IRKIS,vwc_1202.dat.csv,26.305,,,,10,345.361,66.46,178.976,50.77,2.583.108,67.91
IRKIS,vwc_1202.dat.csv,26.305,,,,25,268.578,51.68,72.726,20.63,2.075.090,54.55
IRKIS,vwc_1202.dat.csv,26.305,,,,50,249.311,47.98,36.960,10.48,1.956.726,51.44
IRKIS,vwc_1202.dat.csv,26.305,,,,100,242.238,46.62,18.815,5.34,1.918.283,50.43
IRKIS,vwc_1202.dat.csv,26.305,,,,200,240.577,46.3,9.576,2.72,1.914.232,50.32
IRKIS,vwc_1202.dat.csv,26.305,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",5,421.334,81.08,352.554,100.0,3.017.316,79.32
IRKIS,vwc_1202.dat.csv,26.305,,,,10,250.921,48.29,178.976,50.77,1.827.588,48.05
IRKIS,vwc_1202.dat.csv,26.305,,,,25,152.097,29.27,72.726,20.63,1.143.244,30.06
IRKIS,vwc_1202.dat.csv,26.305,,,,50,122.641,23.6,36.960,10.48,943.360,24.8
IRKIS,vwc_1202.dat.csv,26.305,,,,100,109.452,21.06,18.815,5.34,855.993,22.5
IRKIS,vwc_1202.dat.csv,26.305,,,,200,104.299,20.07,9.576,2.72,824.008,21.66
IRKIS,vwc_1202.dat.csv,26.305,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",5,388.805,74.82,352.554,100.0,2.757.082,72.48
IRKIS,vwc_1202.dat.csv,26.305,,,,10,203.447,39.15,178.976,50.77,1.447.796,38.06
IRKIS,vwc_1202.dat.csv,26.305,,,,25,92.076,17.72,72.726,20.63,663.075,17.43
IRKIS,vwc_1202.dat.csv,26.305,,,,50,56.481,10.87,36.960,10.48,414.086,10.89
IRKIS,vwc_1202.dat.csv,26.305,,,,100,39.440,7.59,18.815,5.34,295.903,7.78
IRKIS,vwc_1202.dat.csv,26.305,,,,200,31.897,6.14,9.576,2.72,244.792,6.44
IRKIS,vwc_1202.dat.csv,26.305,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",5,386.958,74.47,352.554,100.0,2.742.304,72.09
IRKIS,vwc_1202.dat.csv,26.305,,,,10,200.080,38.5,178.976,50.77,1.420.856,37.35
IRKIS,vwc_1202.dat.csv,26.305,,,,25,86.452,16.64,72.726,20.63,618.087,16.25
IRKIS,vwc_1202.dat.csv,26.305,,,,50,49.402,9.51,36.960,10.48,357.450,9.4
IRKIS,vwc_1202.dat.csv,26.305,,,,100,31.123,5.99,18.815,5.34,229.362,6.03
IRKIS,vwc_1202.dat.csv,26.305,,,,200,22.652,4.36,9.576,2.72,170.832,4.49
IRKIS,vwc_1202.dat.csv,26.305,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",5,386.668,74.41,352.554,100.0,2.739.988,72.03
IRKIS,vwc_1202.dat.csv,26.305,,,,10,199.375,38.37,178.976,50.77,1.415.216,37.21
IRKIS,vwc_1202.dat.csv,26.305,,,,25,85.069,16.37,72.726,20.63,607.020,15.96
IRKIS,vwc_1202.dat.csv,26.305,,,,50,47.565,9.15,36.960,10.48,342.756,9.01
IRKIS,vwc_1202.dat.csv,26.305,,,,100,28.949,5.57,18.815,5.34,211.974,5.57
IRKIS,vwc_1202.dat.csv,26.305,,,,200,20.074,3.86,9.576,2.72,150.208,3.95
IRKIS,vwc_1202.dat.csv,26.305,,30,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",5,386.174,74.31,352.554,100.0,2.736.035,71.93
IRKIS,vwc_1202.dat.csv,26.305,,,,10,198.473,38.19,178.976,50.77,1.408.000,37.02
IRKIS,vwc_1202.dat.csv,26.305,,,,25,83.633,16.09,72.726,20.63,595.529,15.66
IRKIS,vwc_1202.dat.csv,26.305,,,,50,45.692,8.79,36.960,10.48,327.770,8.62
