Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
IRKIS,vwc_1202.dat.csv,26.305,CoderBasic,,,,384.811,100,447.185,100,2.630.500,100
,vwc_1203.dat.csv,26.305,CoderBasic,,,,384.811,100,447.185,100,2.630.500,100
,vwc_1204.dat.csv,26.305,CoderBasic,,,,384.811,100,447.185,100,2.630.500,100
,vwc_1205.dat.csv,26.305,CoderBasic,,,,384.811,100,447.185,100,2.630.500,100
,vwc_222.smet.csv,26.304,CoderBasic,,,,384.797,100,447.168,100,2.630.400,100
,vwc_333.smet.csv,26.088,CoderBasic,,,,381.638,100,443.496,100,2.608.800,100
,vwc_SLF2.smet.csv,26.305,CoderBasic,,,,384.811,100,447.185,100,2.630.500,100
NOAA-SST,noaa-buoy-201701.csv,4.392,CoderBasic,,,,492.948,100,74.664,100,3.864.960,100
,noaa-buoy-201702.csv,3.984,CoderBasic,,,,447.201,100,67.728,100,3.505.920,100
,noaa-buoy-201703.csv,4.362,CoderBasic,,,,489.585,100,74.154,100,3.838.560,100
,noaa-buoy-201704.csv,4.290,CoderBasic,,,,481.512,100,72.930,100,3.775.200,100
,noaa-buoy-201705.csv,4.272,CoderBasic,,,,479.493,100,72.624,100,3.759.360,100
,noaa-buoy-201706.csv,4.248,CoderBasic,,,,476.802,100,72.216,100,3.738.240,100
,noaa-buoy-201707.csv,4.374,CoderBasic,,,,490.930,100,74.358,100,3.849.120,100
,noaa-buoy-201708.csv,4.416,CoderBasic,,,,495.639,100,75.072,100,3.886.080,100
,noaa-buoy-201709.csv,4.290,CoderBasic,,,,481.512,100,72.930,100,3.775.200,100
,noaa-buoy-201710.csv,4.392,CoderBasic,,,,492.948,100,74.664,100,3.864.960,100
,noaa-buoy-201711.csv,4.290,CoderBasic,,,,481.512,100,72.930,100,3.775.200,100
,noaa-buoy-201712.csv,4.410,CoderBasic,,,,494.967,100,74.970,100,3.880.800,100
NOAA-ADCP,noaa-adcp-201501.csv,744,CoderBasic,,,,645.023,100,12.648,100,5.062.176,100
,noaa-adcp-201502.csv,672,CoderBasic,,,,583.634,100,11.424,100,4.572.288,100
,noaa-adcp-201503.csv,744,CoderBasic,,,,645.023,100,12.648,100,5.062.176,100
,noaa-adcp-201504.csv,720,CoderBasic,,,,624.560,100,12.240,100,4.898.880,100
,noaa-adcp-201505.csv,744,CoderBasic,,,,645.023,100,12.648,100,5.062.176,100
,noaa-adcp-201506.csv,720,CoderBasic,,,,624.560,100,12.240,100,4.898.880,100
,noaa-adcp-201507.csv,744,CoderBasic,,,,645.023,100,12.648,100,5.062.176,100
,noaa-adcp-201508.csv,744,CoderBasic,,,,645.023,100,12.648,100,5.062.176,100
,noaa-adcp-201509.csv,720,CoderBasic,,,,624.560,100,12.240,100,4.898.880,100
,noaa-adcp-201510.csv,744,CoderBasic,,,,645.023,100,12.648,100,5.062.176,100
,noaa-adcp-201511.csv,720,CoderBasic,,,,624.560,100,12.240,100,4.898.880,100
,noaa-adcp-201512.csv,744,CoderBasic,,,,645.023,100,12.648,100,5.062.176,100
SolarAnywhere,solar-anywhere-2011.csv,8.759,CoderBasic,,,,413.101,100,148.903,100,1.051.080,100,1.051.080,100,1.051.080,100
,solar-anywhere-2012.csv,8.759,CoderBasic,,,,413.101,100,148.903,100,1.051.080,100,1.051.080,100,1.051.080,100
,solar-anywhere-2013.csv,8.759,CoderBasic,,,,413.101,100,148.903,100,1.051.080,100,1.051.080,100,1.051.080,100
,solar-anywhere-2014.csv,8.759,CoderBasic,,,,413.101,100,148.903,100,1.051.080,100,1.051.080,100,1.051.080,100
ElNino,el-nino.csv,6.371,CoderBasic,,,,4.926.794,100,108.307,100,5.466.318,100,7.951.008,100,4.472.442,100,4.472.442,100,4.969.380,100,5.963.256,100,5.963.256,100
NOAA-SPC-hail,noaa_spc-hail.csv,17.059,CoderBasic,,,,110.920,100,290.003,100,204.708,100,221.767,100,170.590,100
NOAA-SPC-tornado,noaa_spc-tornado.csv,3.841,CoderBasic,,,,20.195,100,65.297,100,46.092,100,49.933,100
NOAA-SPC-wind,noaa_spc-wind.csv,40.260,CoderBasic,,,,281.856,100,684.420,100,523.380,100,563.640,100,483.120,100
