DATASET:,NOAA-SST
TIME UNIT:,seconds
FIRST TIMESTAMP:,2017-07-01 00:00:00
Time Delta,T0N110W,T0N125W,T0N140W,T0N155W,T0N165E,T0N170W,T0N180W,T0N95W,T2N110W,T2N125W,T2N140W,T2N155W,T2N165E,T2N170W,T2N180W,T2N95W,T2S110W,T2S125W,T2S140W,T2S155W,T2S165E,T2S170W,T2S180W,T2S95W,T5N110W,T5N125W,T5N140W,T5N155W,T5N165E,T5N170W,T5N180W,T5N95W,T5S110W,T5S125W,T5S140W,T5S155W,T5S165E,T5S170W,T5S180W,T5S95W,T8N110W,T8N125W,T8N155W,T8N165E,T8N170W,T8N180W,T8N95W,T8S110W,T8S125W,T8S155W,T8S165E,T8S170W,T8S180W,T8S95W,T9N140W
0,23872,25254,N,N,30101,29490,N,N,27062,27112,28037,N,N,N,N,N,24913,26343,28452,N,30294,N,N,N,27670,27967,29087,N,29677,29297,N,N,25537,27542,28451,N,N,29778,29677,N,29594,28702,N,N,N,28643,N,25816,27270,29312,29427,29807,N,25579,28810
600,23878,25308,N,N,30050,29535,N,23210,27065,27117,28072,N,N,N,N,26854,24910,26328,N,N,30292,N,N,23180,27664,27986,29093,N,29668,29275,N,27632,25523,27542,28448,N,N,29768,29682,23961,30058,28714,N,N,N,28649,28189,25818,27267,29312,29447,29813,N,N,28803
600,23853,25244,27190,N,30139,29406,N,23251,27068,27112,28053,N,N,N,N,N,24908,26349,N,N,30213,N,N,23144,27663,27964,29111,N,29676,29321,N,27633,25539,27551,28444,N,N,29778,29721,23942,29527,28715,N,N,N,28663,28181,25812,27267,29319,29467,29810,N,25582,28830
600,23833,25268,27224,N,30124,29340,N,23309,27066,27111,28055,N,N,N,N,26837,24888,26331,N,N,30258,N,N,23185,27643,27953,29117,N,29668,29360,N,27629,25524,27543,28442,N,N,29770,29750,23951,30070,28701,N,N,N,28661,28181,25809,27269,29316,29479,29809,N,25576,28882
600,23809,25271,27267,N,30073,29538,N,23268,27060,27113,28049,N,N,N,N,26856,24884,26333,N,N,30285,N,N,23166,27636,27969,29121,N,29694,29358,N,27639,25519,27542,28440,N,N,29774,29775,23948,29775,28691,N,N,N,28659,28168,25806,27263,29311,29505,29829,N,25572,28863
600,23810,25264,27214,N,30160,29476,N,23285,27071,27123,28052,N,N,N,N,26840,24881,26341,N,N,30374,N,N,23144,27623,27969,29111,N,29679,29427,N,27646,25517,27536,28445,N,N,29775,29771,23935,29795,28679,N,N,N,28667,28158,25803,27261,29325,29519,29837,N,25569,28861
600,23803,25275,27185,N,30140,29295,N,23293,27067,27118,28065,N,N,N,N,26835,24890,26339,N,N,30516,N,N,23170,27631,27992,29116,N,29704,29503,N,27651,25497,27535,28452,N,N,29765,29797,23930,29775,28672,N,N,N,28659,28147,25803,27248,29322,29558,29840,N,25566,28774
600,23787,25206,N,N,30241,29314,N,23286,27049,27081,28054,N,N,N,N,26819,24876,26310,28436,N,30555,N,N,23153,27618,27912,29010,N,29726,29512,N,27644,25498,27527,28438,N,N,29772,29825,23930,29891,28666,N,N,N,28664,28146,25791,27254,N,29565,29843,N,25579,28793
600,23780,25307,27175,N,30246,29505,N,23218,27033,27125,28059,N,N,N,N,26804,24872,26331,28460,N,30595,N,N,23131,27628,27950,29082,N,29730,29468,N,27640,25498,27511,28434,N,N,29774,29820,23930,29742,28652,N,N,N,28672,28139,25785,27247,N,29620,29844,N,25578,28760
600,23761,25307,27182,N,30320,29838,N,23235,27031,27112,28066,N,N,N,N,26814,24877,26325,28451,N,30607,N,N,23142,27605,27923,29027,N,29728,29645,N,27639,25476,27516,28431,N,N,29779,29856,23923,29786,28626,N,N,N,28682,28155,25779,27255,N,29630,29842,N,25580,28757
600,23741,25267,27184,N,30269,29713,N,23217,27064,27103,28059,N,N,N,N,26777,24875,26321,N,N,30557,N,N,23126,27621,27921,29011,N,29756,29601,N,27650,25475,27515,28427,N,N,29773,29837,23926,29851,28621,N,N,N,28670,28162,25773,27248,N,29579,29841,N,25587,28741
600,23732,25247,27154,N,30300,29623,N,23185,27075,27095,28063,N,N,N,N,26779,24868,26316,28433,N,30576,N,N,23110,27619,27956,28995,N,29761,29645,N,27643,25475,27515,28424,N,N,29773,29859,23934,29800,28616,N,N,N,28680,28192,25773,27249,N,29568,29863,N,25573,28706
600,23739,25238,27178,N,30326,29835,N,23160,27066,27091,28065,N,N,N,N,26797,24858,26312,N,N,30555,N,N,23108,27608,27909,29014,N,29764,29676,N,27639,25464,27508,28419,N,N,29770,29822,23933,29688,28587,N,N,N,28680,28202,25764,27250,N,29469,29854,N,25591,28709
600,23733,25262,N,N,30348,29698,N,23122,27068,27059,28051,N,N,N,N,26787,24864,26290,28436,N,30542,N,N,23123,27600,27796,28956,N,29790,29687,N,27639,25470,N,28412,N,N,29764,29853,23924,29638,28582,N,N,N,28670,28202,25761,27245,29315,29483,29855,N,25587,28691
600,23739,25191,27162,N,30346,29841,N,23122,27071,27076,28065,N,N,N,N,26769,24876,26296,28430,N,30570,N,N,23148,27612,27846,29019,N,29752,29740,N,27636,25474,27495,28411,N,N,29763,29840,23914,29485,28559,N,N,N,28672,28190,25756,27241,29319,29499,29852,N,25586,28692
600,23723,25211,27116,N,30348,29801,N,23127,27084,27066,28062,N,N,N,N,26739,24867,26302,28422,N,30612,N,N,23139,27609,27858,29013,N,29714,29692,N,27626,25452,27492,28401,N,N,29757,29847,23916,29535,28574,N,N,N,28698,28180,25747,27239,29317,29437,29856,N,25594,28684
600,23726,25202,27136,N,30482,29792,N,23088,27073,27064,28062,N,N,N,N,26741,24866,26292,N,N,30629,N,N,23131,27602,27861,28984,N,29742,29743,N,27628,25465,27485,28398,N,N,29757,29857,23918,29542,28578,N,N,N,28689,28174,25745,27223,29319,29491,29863,N,25579,28689
600,23727,25233,27170,N,30490,29850,N,23136,27053,27067,28053,N,N,N,N,26745,24852,26287,28410,N,30619,N,N,23107,27582,27803,28973,N,29728,29821,N,27621,25464,27485,28397,N,N,29742,29933,23916,29506,28557,N,N,N,28697,28166,25744,27233,29313,29542,29867,N,25587,28680
600,23720,25241,27151,N,30572,29838,N,23132,27062,27062,28049,N,N,N,N,26751,24843,26287,28386,N,30611,N,N,23118,27584,27768,28975,N,29747,29559,N,27621,25460,27480,28393,N,N,29751,29943,23908,29450,28551,N,N,N,28691,28169,25732,27223,29308,29648,29845,N,25578,28647
600,23728,25201,N,N,30416,29787,N,23168,27081,27036,28023,N,N,N,N,26746,24835,26269,28399,N,30648,N,N,23126,27591,27735,28915,N,29764,29629,N,27618,25450,27460,28405,N,N,29746,29920,23908,29435,28544,N,N,N,28680,28165,25743,27239,29314,29719,29842,N,25582,28645
600,23698,25245,27118,N,30479,29826,N,23139,27096,27055,28037,N,N,N,N,26734,24830,26278,28395,N,30558,N,N,23105,27571,27781,28975,N,29792,29448,N,27607,25455,27476,28402,N,N,29744,29885,23909,29412,28550,N,N,N,28693,28153,25733,27228,29305,29712,29849,N,25576,28625
600,23719,25222,27113,N,30460,29782,N,23091,27118,27045,28046,N,N,N,N,26742,24838,26281,28383,N,30615,N,N,23086,27569,27776,28946,N,29807,29725,N,27601,25462,27467,28397,N,N,29745,29868,23908,29407,28555,N,N,N,28690,28164,25735,27222,29293,29738,29838,N,25588,28616
600,23704,25217,27104,N,30474,29779,N,23044,27122,27045,28038,N,N,N,N,26710,24828,26285,28390,N,30604,N,N,23077,27566,27788,28939,N,29770,29601,N,27599,25438,27468,28408,N,N,29750,29831,23911,29413,28553,N,N,N,28688,28153,25727,27229,29306,29805,29827,N,25574,28613
600,23698,25208,27063,N,30521,29670,N,23020,27117,27041,28038,N,N,N,N,26698,24827,26277,28377,N,30629,N,N,23080,27562,27750,28945,N,29831,29736,N,27591,25438,27449,N,N,N,29745,29786,23908,29412,28541,N,N,N,28680,28143,25729,27222,29298,29785,29829,N,25581,28608
600,23690,25213,27057,N,30481,29696,N,22995,27117,27041,28027,N,N,N,N,26695,24817,26276,28379,N,30604,N,N,23086,27549,27739,28919,N,29798,29818,N,27591,25438,27459,N,N,N,29735,29773,23907,29396,28530,N,N,N,28680,28135,25722,27227,29301,29819,29826,N,25587,28580
600,23664,25196,N,N,30509,N,N,23002,27110,27024,28021,N,N,N,N,26681,24811,26259,28377,N,30585,N,N,23085,27535,27688,28912,N,29759,N,N,27581,25436,27485,28390,N,N,29721,29732,23902,29352,28537,N,N,N,28687,28125,25724,27224,29297,29785,29813,N,25581,28568
600,23655,25191,27060,N,30534,N,N,22983,27097,27041,28031,N,N,N,N,26684,24813,26272,28371,N,30580,N,N,23098,27531,27722,28927,N,29764,N,N,27584,25445,27486,28381,N,N,29711,29751,23902,29355,28524,N,N,N,28672,28111,25722,27228,29289,29779,29807,N,25578,28560
600,23649,25209,27053,N,30539,N,N,22967,27115,27032,28025,N,N,N,N,26677,24805,26271,28371,N,30572,N,N,23079,27528,27720,28935,N,29726,N,N,27577,25436,27483,28379,N,N,29734,29725,23904,29344,28515,N,N,N,28669,28078,25727,27216,29288,29804,29794,N,25583,28555
