Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
IRKIS,vwc_1202.dat.csv,26.305,CoderBasic,,,,384.811,100,447.185,100,2.630.500,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,190.766,49.57,194.694,43.54,1.330.628,50.58
,,,,,,10,144.716,37.61,100.016,22.37,1.056.908,40.18
,,,,,,25,120.602,31.34,41.106,9.19,922.905,35.08
,,,,,,50,116.761,30.34,21.120,4.72,912.166,34.68
,,,,,,100,117.141,30.44,10.865,2.43,925.461,35.18
,,,,,,200,119.402,31.03,5.586,1.25,948.828,36.07
,,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5,179.753,46.71,194.694,43.54,1.242.522,47.24
,,,,,,10,128.617,33.42,100.016,22.37,928.114,35.28
,,,,,,25,100.258,26.05,41.106,9.19,760.150,28.9
,,,,,,50,94.228,24.49,21.120,4.72,731.898,27.82
,,,,,,100,93.041,24.18,10.865,2.43,732.659,27.85
,,,,,,200,94.108,24.46,5.586,1.25,746.472,28.38
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",5,157.014,40.8,194.694,43.54,1.060.614,40.32
,,,,,,10,95.282,24.76,100.016,22.37,661.434,25.14
,,,,,,25,58.049,15.09,41.106,9.19,422.480,16.06
,,,,,,50,47.172,12.26,21.120,4.72,355.454,13.51
,,,,,,100,42.538,11.05,10.865,2.43,328.631,12.49
,,,,,,200,41.103,10.68,5.586,1.25,322.430,12.26
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",5,145.847,37.9,194.694,43.54,971.276,36.92
,,,,,,10,78.525,20.41,100.016,22.37,527.382,20.05
,,,,,,25,36.300,9.43,41.106,9.19,248.485,9.45
,,,,,,50,22.596,5.87,21.120,4.72,158.842,6.04
,,,,,,100,15.910,4.13,10.865,2.43,115.613,4.4
,,,,,,200,12.943,3.36,5.586,1.25,97.150,3.69
,,,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",5,145.212,37.74,194.694,43.54,966.200,36.73
,,,,,,10,77.336,20.1,100.016,22.37,517.866,19.69
,,,,,,25,34.262,8.9,41.106,9.19,232.185,8.83
,,,,,,50,19.966,5.19,21.120,4.72,137.802,5.24
,,,,,,100,12.746,3.31,10.865,2.43,90.300,3.43
,,,,,,200,9.346,2.43,5.586,1.25,68.378,2.6
,,,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",5,145.113,37.71,194.694,43.54,965.402,36.7
,,,,,,10,77.087,20.03,100.016,22.37,515.878,19.61
,,,,,,25,33.761,8.77,41.106,9.19,228.180,8.67
,,,,,,50,19.284,5.01,21.120,4.72,132.348,5.03
,,,,,,100,11.920,3.1,10.865,2.43,83.692,3.18
,,,,,,200,8.344,2.17,5.586,1.25,60.360,2.29
,,,,30,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",5,144.943,37.67,194.694,43.54,964.045,36.65
,,,,,,10,76.768,19.95,100.016,22.37,513.326,19.51
,,,,,,25,33.241,8.64,41.106,9.19,224.015,8.52
,,,,,,50,18.588,4.83,21.120,4.72,126.778,4.82
,,,,,,100,11.046,2.87,10.865,2.43,76.699,2.92
,,,,,,200,7.296,1.9,5.586,1.25,51.978,1.98
,vwc_1203.dat.csv,26.305,CoderBasic,,,,384.811,100,447.185,100,2.630.500,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 0, 'N', 0, 0, 0, 'N', 'N']",5,146.396,38.04,194.694,43.54,975.668,37.09
,,,,,,10,97.911,25.44,100.016,22.37,682.470,25.94
,,,,,,25,69.267,18.0,41.106,9.19,512.225,19.47
,,,,,,50,61.372,15.95,21.120,4.72,469.054,17.83
,,,,,,100,58.251,15.14,10.865,2.43,454.334,17.27
,,,,,,200,57.532,14.95,5.586,1.25,453.864,17.25
,,,,3,"[0, 1, 1, 0, 0, 'N', 1, 1, 0, 'N', 'N']",5,131.758,34.24,194.694,43.54,858.563,32.64
