Dataset,Filename,Coder,0,3,5,10,15,20,30,,0,3,5,10,15,20,30
IRKIS,vwc_1202.dat.csv,
,,CoderPCA,100,100,100,100,100,100,100,,1.45,1.45,1.45,1.45,1.45,1.45,1.45
,,CoderAPCA,200,200,200,200,200,200,200,,0.74,0.74,0.74,0.74,0.74,0.74,0.74
,,CoderCA,200,200,200,200,200,200,200,,1.48,1.48,1.48,1.48,1.48,1.48,1.48
,vwc_1203.dat.csv,
,,CoderPCA,100,100,100,100,100,100,100,,1.45,1.45,1.45,1.45,1.45,1.45,1.45
,,CoderAPCA,200,200,200,200,200,200,200,,0.74,0.74,0.74,0.74,0.74,0.74,0.74
,,CoderCA,200,200,200,200,200,200,200,,1.48,1.48,1.48,1.48,1.48,1.48,1.48
,vwc_1204.dat.csv,
,,CoderPCA,100,100,100,100,100,100,100,,1.45,1.45,1.45,1.45,1.45,1.45,1.45
,,CoderAPCA,200,200,200,200,200,200,200,,0.74,0.74,0.74,0.74,0.74,0.74,0.74
,,CoderCA,200,200,200,200,200,200,200,,1.48,1.48,1.48,1.48,1.48,1.48,1.48
,vwc_1205.dat.csv,
,,CoderPCA,100,100,100,100,100,100,100,,1.45,1.45,1.45,1.45,1.45,1.45,1.45
,,CoderAPCA,200,200,200,200,200,200,200,,0.74,0.74,0.74,0.74,0.74,0.74,0.74
,,CoderCA,200,200,200,200,200,200,200,,1.48,1.48,1.48,1.48,1.48,1.48,1.48
,vwc_222.smet.csv,
,,CoderPCA,100,100,100,100,100,100,100,,1.45,1.45,1.45,1.45,1.45,1.45,1.45
,,CoderAPCA,200,200,200,200,200,200,200,,0.74,0.74,0.74,0.74,0.74,0.74,0.74
,,CoderCA,200,200,200,200,200,200,200,,1.48,1.48,1.48,1.48,1.48,1.48,1.48
,vwc_333.smet.csv,
,,CoderPCA,200,200,200,200,200,200,200,,1.63,1.63,1.63,1.63,1.63,1.63,1.63
,,CoderAPCA,200,200,200,200,200,200,200,,0.74,0.74,0.74,0.74,0.74,0.74,0.74
,,CoderCA,200,200,200,200,200,200,200,,1.48,1.48,1.48,1.48,1.48,1.48,1.48
,vwc_SLF2.smet.csv,
,,CoderPCA,100,100,100,100,100,100,100,,1.45,1.45,1.45,1.45,1.45,1.45,1.45
,,CoderAPCA,200,200,200,200,200,200,200,,0.74,0.74,0.74,0.74,0.74,0.74,0.74
,,CoderCA,200,200,200,200,200,200,200,,1.48,1.48,1.48,1.48,1.48,1.48,1.48
