Dataset,Filename,Coder,0,3,5,10,15,20,30,,0,3,5,10,15,20,30
NOAA-ADCP,noaa-adcp-201501.csv,
,,CoderPCA,25,25,25,25,25,25,25,,9.91,9.91,9.91,9.91,9.91,9.91,9.91
,,CoderAPCA,200,200,200,200,200,200,200,,0.99,0.99,0.99,0.99,0.99,0.99,0.99
,,CoderCA,200,200,200,200,200,200,200,,1.98,1.98,1.98,1.98,1.98,1.98,1.98
,noaa-adcp-201502.csv,
,,CoderPCA,25,25,25,25,25,25,25,,10.95,10.95,10.95,10.95,10.95,10.95,10.95
,,CoderAPCA,200,200,200,200,200,200,200,,1.09,1.09,1.09,1.09,1.09,1.09,1.09
,,CoderCA,200,200,200,200,200,200,200,,2.19,2.19,2.19,2.19,2.19,2.19,2.19
,noaa-adcp-201503.csv,
,,CoderPCA,25,25,25,25,25,25,25,,9.91,9.91,9.91,9.91,9.91,9.91,9.91
,,CoderAPCA,200,200,200,200,200,200,200,,0.99,0.99,0.99,0.99,0.99,0.99,0.99
,,CoderCA,200,200,200,200,200,200,200,,1.98,1.98,1.98,1.98,1.98,1.98,1.98
,noaa-adcp-201504.csv,
,,CoderPCA,25,25,25,25,25,25,25,,10.24,10.24,10.24,10.24,10.24,10.24,10.24
,,CoderAPCA,200,200,200,200,200,200,200,,1.02,1.02,1.02,1.02,1.02,1.02,1.02
,,CoderCA,200,200,200,200,200,200,200,,2.04,2.04,2.04,2.04,2.04,2.04,2.04
,noaa-adcp-201505.csv,
,,CoderPCA,25,25,25,25,25,25,25,,9.91,9.91,9.91,9.91,9.91,9.91,9.91
,,CoderAPCA,200,200,200,200,200,200,200,,0.99,0.99,0.99,0.99,0.99,0.99,0.99
,,CoderCA,200,200,200,200,200,200,200,,1.98,1.98,1.98,1.98,1.98,1.98,1.98
,noaa-adcp-201506.csv,
,,CoderPCA,25,25,25,25,25,25,25,,10.24,10.24,10.24,10.24,10.24,10.24,10.24
,,CoderAPCA,200,200,200,200,200,200,200,,1.02,1.02,1.02,1.02,1.02,1.02,1.02
,,CoderCA,200,200,200,200,200,200,200,,2.04,2.04,2.04,2.04,2.04,2.04,2.04
,noaa-adcp-201507.csv,
,,CoderPCA,25,25,25,25,25,25,25,,9.91,9.91,9.91,9.91,9.91,9.91,9.91
,,CoderAPCA,200,200,200,200,200,200,200,,0.99,0.99,0.99,0.99,0.99,0.99,0.99
,,CoderCA,200,200,200,200,200,200,200,,1.98,1.98,1.98,1.98,1.98,1.98,1.98
,noaa-adcp-201508.csv,
,,CoderPCA,25,25,25,25,25,25,25,,9.91,9.91,9.91,9.91,9.91,9.91,9.91
,,CoderAPCA,200,200,200,200,200,200,200,,0.99,0.99,0.99,0.99,0.99,0.99,0.99
,,CoderCA,200,200,200,200,200,200,200,,1.98,1.98,1.98,1.98,1.98,1.98,1.98
,noaa-adcp-201509.csv,
,,CoderPCA,25,25,25,25,25,25,25,,10.24,10.24,10.24,10.24,10.24,10.24,10.24
,,CoderAPCA,200,200,200,200,200,200,200,,1.02,1.02,1.02,1.02,1.02,1.02,1.02
,,CoderCA,200,200,200,200,200,200,200,,2.04,2.04,2.04,2.04,2.04,2.04,2.04
,noaa-adcp-201510.csv,
,,CoderPCA,25,25,25,25,25,25,25,,9.91,9.91,9.91,9.91,9.91,9.91,9.91
,,CoderAPCA,200,200,200,200,200,200,200,,0.99,0.99,0.99,0.99,0.99,0.99,0.99
,,CoderCA,200,200,200,200,200,200,200,,1.98,1.98,1.98,1.98,1.98,1.98,1.98
,noaa-adcp-201511.csv,
,,CoderPCA,25,25,25,25,25,25,25,,10.24,10.24,10.24,10.24,10.24,10.24,10.24
,,CoderAPCA,200,200,200,200,200,200,200,,1.02,1.02,1.02,1.02,1.02,1.02,1.02
,,CoderCA,200,200,200,200,200,200,200,,2.04,2.04,2.04,2.04,2.04,2.04,2.04
,noaa-adcp-201512.csv,
,,CoderPCA,25,25,25,25,25,25,25,,9.91,9.91,9.91,9.91,9.91,9.91,9.91
,,CoderAPCA,200,200,200,200,200,200,200,,0.99,0.99,0.99,0.99,0.99,0.99,0.99
,,CoderCA,200,200,200,200,200,200,200,,1.98,1.98,1.98,1.98,1.98,1.98,1.98
