Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
CO2,co2_1.csv,152.907,CoderBasic,,,,535.190,100,2.599.419,100,1.681.977,100
,,,CoderPCA,0,"[0, 0]",5,281.682,52.63,550.493,21.18,1.702.835,101.24
,,,,,,10,245.899,45.95,275.340,10.59,1.691.724,100.58
,,,,,,25,224.605,41.97,110.208,4.24,1.686.510,100.27
,,,,,,50,217.541,40.65,55.164,2.12,1.685.036,100.18
,,,,,,100,213.909,39.97,27.642,1.06,1.683.507,100.09
,,,,,,200,212.305,39.67,15.572,0.6,1.682.742,100.05
,,,,3,"[0, 5]",5,260.683,48.71,550.493,21.18,1.534.843,91.25
,,,,,,10,225.109,42.06,275.340,10.59,1.525.404,90.69
,,,,,,25,207.643,38.8,110.208,4.24,1.550.814,92.2
,,,,,,50,203.325,37.99,55.164,2.12,1.571.307,93.42
,,,,,,100,204.108,38.14,27.642,1.06,1.605.099,95.43
,,,,,,200,206.559,38.6,15.572,0.6,1.636.773,97.31
,,,,5,"[0, 8]",5,258.521,48.3,550.493,21.18,1.517.551,90.22
,,,,,,10,221.211,41.33,275.340,10.59,1.494.219,88.84
,,,,,,25,201.340,37.62,110.208,4.24,1.500.390,89.2
,,,,,,50,197.463,36.9,55.164,2.12,1.524.414,90.63
,,,,,,100,197.847,36.97,27.642,1.06,1.555.005,92.45
,,,,,,200,201.907,37.73,15.572,0.6,1.599.560,95.1
,,,,10,"[0, 15]",5,255.403,47.72,550.493,21.18,1.492.603,88.74
,,,,,,10,218.847,40.89,275.340,10.59,1.475.310,87.71
,,,,,,25,196.819,36.78,110.208,4.24,1.464.222,87.05
,,,,,,50,190.119,35.52,55.164,2.12,1.465.663,87.14
,,,,,,100,188.590,35.24,27.642,1.06,1.480.953,88.05
,,,,,,200,191.236,35.73,15.572,0.6,1.514.189,90.02
,,,,15,"[0, 23]",5,249.754,46.67,550.493,21.18,1.447.415,86.05
,,,,,,10,217.065,40.56,275.340,10.59,1.461.054,86.87
,,,,,,25,195.202,36.47,110.208,4.24,1.451.286,86.28
,,,,,,50,188.772,35.27,55.164,2.12,1.454.883,86.5
,,,,,,100,186.957,34.93,27.642,1.06,1.467.885,87.27
,,,,,,200,189.047,35.32,15.572,0.6,1.496.677,88.98
,,,,20,"[0, 31]",5,241.554,45.13,550.493,21.18,1.381.811,82.15
,,,,,,10,215.060,40.18,275.340,10.59,1.445.016,85.91
,,,,,,25,194.806,36.4,110.208,4.24,1.448.118,86.1
