Dataset,Filename,Coder,0,3,5,10,15,20,30,,0,3,5,10,15,20,30
CO2,co2_1.csv,
,,CoderPCA,200,10,10,25,5,5,5,,100.05,90.69,88.84,87.05,86.05,82.15,72.86
,,CoderAPCA,5,5,5,5,5,5,10,,122.09,99.05,91.99,78.67,66.96,58.29,45.34
,,CoderCA,5,5,5,5,5,5,5,,125.04,110.84,107.55,101.24,94.57,88.34,78.59
,co2_10.csv,
,,CoderPCA,200,10,10,25,5,5,5,,100.05,94.22,92.61,91.08,90.38,87.43,78.74
,,CoderAPCA,5,5,5,5,5,5,10,,124.98,105.71,98.56,83.95,73.82,65.96,53.47
,,CoderCA,5,5,5,5,5,5,5,,126.61,116.47,113.58,107.58,102.3,97.31,88.12
,co2_11.csv,
,,CoderPCA,200,10,10,25,5,5,5,,100.05,94.8,93.33,91.5,90.13,86.92,77.93
,,CoderAPCA,5,5,5,5,5,5,10,,124.84,104.99,97.31,82.9,72.24,64.78,52.2
,,CoderCA,5,5,5,5,5,5,5,,126.51,116.74,113.58,107.25,101.38,96.43,86.94
,co2_12.csv,
,,CoderPCA,10,5,10,10,5,5,5,,96.2,86.05,83.44,79.76,77.23,73.35,65.12
,,CoderAPCA,5,5,5,5,10,10,25,,116.04,91.07,84.28,69.55,60.43,51.6,40.07
,,CoderCA,5,5,5,5,5,10,10,,120.21,104.66,100.87,92.85,86.97,81.47,71.14
,co2_13.csv,
,,CoderPCA,200,5,5,5,5,5,5,,100.05,94.49,91.18,86.29,81.06,76.02,66.24
,,CoderAPCA,5,5,5,5,5,10,25,,124.3,97.39,86.26,71.47,60.4,51.61,40.13
,,CoderCA,5,5,5,5,5,5,10,,126.28,111.78,105.59,96.5,88.38,82.26,72.01
,co2_14.csv,
,,CoderPCA,200,25,10,5,5,5,5,,100.05,97.07,96.38,94.2,90.68,85.72,74.83
,,CoderAPCA,5,5,5,5,5,5,10,,122.8,106.31,96.41,79.57,67.74,59.64,46.09
,,CoderCA,5,5,5,5,5,5,5,,124.32,117.2,112.92,104.68,96.48,90.6,79.11
,co2_15.csv,
,,CoderPCA,200,5,10,25,5,5,5,,100.05,96.84,95.23,93.51,92.03,88.45,79.51
,,CoderAPCA,5,5,5,5,5,5,10,,125.17,106.53,99.12,83.77,71.77,63.06,50.5
,,CoderCA,5,5,5,5,5,5,5,,126.63,116.82,113.28,106.56,100.05,93.75,83.3
,co2_16.csv,
,,CoderPCA,200,10,25,5,5,5,5,,100.05,90.49,89.19,85.98,82.28,78.44,68.45
,,CoderAPCA,5,5,5,5,5,10,10,,122.48,98.36,91.1,73.95,63.69,55.66,42.45
,,CoderCA,5,5,5,5,5,5,10,,125.56,111.32,107.91,98.74,91.84,85.87,75.75
,co2_2.csv,
,,CoderPCA,50,5,5,25,25,5,5,,100.04,89.17,85.17,80.6,79.14,76.15,68.15
,,CoderAPCA,5,5,5,5,5,10,10,,121.58,94.33,86.02,72.59,62.8,54.56,42.86
,,CoderCA,5,5,5,5,5,5,10,,124.73,107.58,102.41,95.41,89.41,84.29,74.58
,co2_3.csv,
,,CoderPCA,200,10,25,25,5,5,5,,100.05,99.75,98.74,98.01,97.5,94.09,85.35
,,CoderAPCA,5,5,5,5,5,5,5,,126.25,111.15,103.96,89.72,76.91,66.93,54.44
,,CoderCA,5,5,5,5,5,5,5,,126.97,120.31,117.45,111.41,105.06,98.82,88.42
,co2_4.csv,
,,CoderPCA,10,10,25,50,5,5,5,,98.97,91.13,89.14,86.87,86.12,81.72,71.59
,,CoderAPCA,5,5,5,5,5,5,10,,120.83,100.16,93.17,78.06,65.28,57.32,44.35
,,CoderCA,5,5,5,5,5,5,5,,123.7,111.62,108.62,102.12,94.36,88.24,77.92
,co2_5.csv,
,,CoderPCA,200,10,10,25,5,5,5,,100.05,96.14,94.97,93.7,92.36,88.91,79.17
,,CoderAPCA,5,5,5,5,5,5,10,,125.2,104.26,96.74,81.94,71.11,63.46,50.54
,,CoderCA,5,5,5,5,5,5,5,,126.84,118.18,115.32,109.0,102.82,97.5,87.15
,co2_6.csv,
,,CoderPCA,200,10,10,25,5,5,5,,100.05,94.54,93.41,92.19,90.68,87.38,78.28
,,CoderAPCA,5,5,5,5,5,5,10,,124.93,103.14,95.57,81.77,70.76,63.11,50.64
,,CoderCA,5,5,5,5,5,5,5,,126.66,116.68,113.74,107.91,101.76,96.38,86.6
,co2_7.csv,
,,CoderPCA,200,10,10,25,5,5,5,,100.05,96.24,95.1,93.37,92.32,88.83,79.87
,,CoderAPCA,5,5,5,5,5,5,10,,125.27,106.72,99.02,84.22,74.06,65.55,52.99
,,CoderCA,5,5,5,5,5,5,5,,126.66,118.36,115.32,108.96,103.47,97.92,88.19
,co2_8.csv,
,,CoderPCA,200,10,10,25,5,5,5,,100.01,95.05,93.72,92.06,90.94,87.52,78.62
,,CoderAPCA,5,5,5,5,5,5,10,,124.81,105.7,98.21,83.8,73.07,64.91,52.57
