Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
Wind_direction,wind_direction_1.csv,58.271,CoderBasic,,,,240.384,100,990.607,100,932.336,100
,,,CoderPCA,0,"[0, 0]",5,142.790,59.4,209.790,21.18,932.407,100.01
,,,,,,10,129.697,53.95,104.904,10.59,932.548,100.02
,,,,,,25,121.944,50.73,42.298,4.27,933.131,100.09
,,,,,,50,119.369,49.66,21.328,2.15,933.502,100.13
,,,,,,100,118.091,49.13,11.684,1.18,932.919,100.06
,,,,,,200,117.400,48.84,6.446,0.65,932.628,100.03
,,,,3,"[0, 239]",5,113.870,47.37,209.790,21.18,701.047,75.19
,,,,,,10,104.803,43.6,104.904,10.59,733.396,78.66
,,,,,,25,103.032,42.86,42.298,4.27,781.835,83.86
,,,,,,50,104.963,43.66,21.328,2.15,818.254,87.76
,,,,,,100,106.211,44.18,11.684,1.18,837.879,89.87
,,,,,,200,106.654,44.37,6.446,0.65,846.660,90.81
,,,,5,"[0, 398]",5,107.726,44.81,209.790,21.18,651.895,69.92
,,,,,,10,101.347,42.16,104.904,10.59,705.748,75.7
,,,,,,25,101.496,42.22,42.298,4.27,769.547,82.54
,,,,,,50,104.375,43.42,21.328,2.15,813.550,87.26
,,,,,,100,106.013,44.1,11.684,1.18,836.295,89.7
,,,,,,200,106.654,44.37,6.446,0.65,846.660,90.81
,,,,10,"[0, 797]",5,94.422,39.28,209.790,21.18,545.463,58.5
,,,,,,10,89.305,37.15,104.904,10.59,609.412,65.36
,,,,,,25,94.872,39.47,42.298,4.27,716.555,76.86
,,,,,,50,100.651,41.87,21.328,2.15,783.758,84.06
,,,,,,100,104.033,43.28,11.684,1.18,820.455,88.0
,,,,,,200,106.256,44.2,6.446,0.65,843.476,90.47
,,,,15,"[0, 1195]",5,86.174,35.85,209.790,21.18,479.479,51.43
,,,,,,10,79.837,33.21,104.904,10.59,533.668,57.24
,,,,,,25,85.944,35.75,42.298,4.27,645.131,69.2
,,,,,,50,95.163,39.59,21.328,2.15,739.854,79.35
,,,,,,100,102.251,42.54,11.684,1.18,806.199,86.47
,,,,,,200,105.460,43.87,6.446,0.65,837.108,89.79
,,,,20,"[0, 1594]",5,79.582,33.11,209.790,21.18,426.743,45.77
,,,,,,10,72.313,30.08,104.904,10.59,473.476,50.78
,,,,,,25,77.928,32.42,42.298,4.27,581.003,62.32
,,,,,,50,88.205,36.69,21.328,2.15,684.190,73.38
,,,,,,100,98.687,41.05,11.684,1.18,777.687,83.41
,,,,,,200,103.868,43.21,6.446,0.65,824.372,88.42
,,,,30,"[0, 2391]",5,71.758,29.85,209.790,21.18,364.151,39.06
,,,,,,10,61.387,25.54,104.904,10.59,386.068,41.41
,,,,,,25,66.072,27.49,42.298,4.27,486.155,52.14
,,,,,,50,77.621,32.29,21.328,2.15,599.518,64.3
,,,,,,100,89.579,37.26,11.684,1.18,704.823,75.6
,,,,,,200,101.082,42.05,6.446,0.65,802.084,86.03
,,,CoderAPCA,0,"[0, 0]",5,153.993,64.06,233.100,23.53,998.716,107.12
,,,,,,10,146.319,60.87,122.388,12.35,1.048.040,112.41
,,,,,,25,143.892,59.86,51.282,5.18,1.099.728,117.95
,,,,,,50,147.361,61.3,26.818,2.71,1.151.942,123.55
,,,,,,100,152.297,63.36,13.992,1.41,1.204.257,129.17
,,,,,,200,158.005,65.73,7.300,0.74,1.256.616,134.78
,,,,3,"[0, 239]",5,100.900,41.97,233.100,23.53,573.971,61.56
,,,,,,10,85.349,35.51,122.388,12.35,560.280,60.09
,,,,,,25,77.262,32.14,51.282,5.18,566.685,60.78
,,,,,,50,76.812,31.95,26.818,2.71,587.554,63.02
,,,,,,100,78.243,32.55,13.992,1.41,611.823,65.62
,,,,,,200,80.617,33.54,7.300,0.74,637.512,68.38
,,,,5,"[0, 398]",5,90.993,37.85,233.100,23.53,494.722,53.06
,,,,,,10,73.974,30.77,122.388,12.35,469.280,50.33
,,,,,,25,64.998,27.04,51.282,5.18,468.573,50.26
,,,,,,50,63.884,26.58,26.818,2.71,484.132,51.93
,,,,,,100,64.727,26.93,13.992,1.41,503.700,54.03
,,,,,,200,66.508,27.67,7.300,0.74,524.640,56.27
,,,,10,"[0, 797]",5,77.862,32.39,233.100,23.53,389.671,41.8
