DATASET:,IRKIS
TIME UNIT:,minutes
FIRST TIMESTAMP:,2010-10-01 00:00:00
Time Delta,-10cm_A
60,384
60,383
60,383
60,383
60,384
60,384
60,383
60,383
60,383
60,383
60,383
60,383
60,383
60,383
60,382
60,382
60,382
60,382
60,382
60,382
60,382
60,382
60,382
60,382
60,381
60,381
60,381
60,381
60,381
60,382
60,381
60,381
60,381
60,381
60,381
60,380
60,380
60,381
60,381
60,379
60,380
60,380
60,380
60,380
60,379
60,379
60,380
60,380
60,379
60,380
60,380
60,380
60,380
60,380
60,380
60,379
60,379
60,379
60,380
60,380
60,380
60,379
60,380
60,380
60,380
60,379
60,379
60,379
60,379
60,379
60,379
60,379
60,379
60,379
60,379
60,379
60,379
60,379
60,380
60,380
60,380
60,380
60,380
60,380
60,380
60,379
60,379
60,380
60,379
60,380
60,380
60,380
60,379
60,380
60,380
60,380
60,380
60,380
60,380
60,380
60,380
60,380
60,381
60,381
60,380
60,380
60,380
60,381
60,380
60,380
60,380
60,380
60,381
60,380
60,380
60,380
60,380
60,381
60,380
60,381
60,380
60,381
60,380
60,381
60,380
60,380
60,380
60,381
60,381
60,381
60,381
60,380
60,380
60,381
60,380
60,381
60,380
60,381
60,381
60,381
60,381
60,380
60,381
60,381
60,381
60,380
60,381
60,380
60,380
60,381
60,381
60,380
60,381
60,381
60,380
60,380
60,381
60,380
60,380
60,380
60,380
60,380
60,380
60,381
60,380
60,380
60,380
60,380
60,380
60,380
60,380
60,380
60,381
60,381
60,380
60,380
60,380
60,380
60,380
60,380
60,380
60,381
60,380
60,380
60,380
60,380
60,380
60,380
60,380
60,380
60,380
60,380
60,380
60,380
60,380
60,379
60,379
60,379
60,379
60,379
60,379
60,379
60,379
60,379
60,379
60,379
60,379
60,379
60,379
60,379
60,379
60,379
60,379
60,378
60,378
60,379
60,378
60,378
60,378
60,379
60,379
60,379
60,379
60,379
60,379
60,378
60,378
60,379
60,379
60,379
60,379
60,378
60,379
60,379
60,378
60,378
60,378
60,378
60,379
60,378
60,378
60,378
60,379
60,379
60,378
60,378
60,378
60,378
60,379
60,379
60,379
60,378
60,378
60,378
60,379
60,379
60,378
60,378
60,379
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,379
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,379
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,379
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
60,378
