DATASET:,IRKIS
TIME UNIT:,minutes
FIRST TIMESTAMP:,2010-10-01 00:00:00
Time Delta,-10cm_A,-30cm_A,-50cm_A,-80cm_A,-120cm_A,-10cm_B,-30cm_B,-50cm_B,-80cm_B,-120cm_B
0,N,N,N,N,N,N,N,N,N,N
1,N,N,N,N,N,N,N,N,N,N
2,N,N,N,N,N,N,N,N,N,N
3,N,N,N,N,N,N,N,N,N,N
4,N,N,N,N,N,N,N,N,N,N
5,N,N,N,N,N,N,N,N,N,N
6,N,N,N,N,N,N,N,N,N,N
7,N,N,N,N,N,N,N,N,N,N
8,N,N,N,N,N,N,N,N,N,N
9,N,N,N,N,N,N,N,N,N,N
10,N,N,N,N,N,N,N,N,N,N
11,N,N,N,N,N,N,N,N,N,N
12,N,N,N,N,N,N,N,N,N,N
13,N,N,N,N,N,N,N,N,N,N
14,N,N,N,N,N,N,N,N,N,N
15,N,N,N,N,N,N,N,N,N,N
16,N,N,N,N,N,N,N,N,N,N
17,N,N,N,N,N,N,N,N,N,N
18,N,N,N,N,N,N,N,N,N,N
19,N,N,N,N,N,N,N,N,N,N
20,N,N,N,N,N,N,N,N,N,N
21,N,N,N,N,N,N,N,N,N,N
22,N,N,N,N,N,N,N,N,N,N
23,N,N,N,N,N,N,N,N,N,N
24,N,N,N,N,N,N,N,N,N,N
25,N,N,N,N,N,N,N,N,N,N
26,N,N,N,N,N,N,N,N,N,N
27,N,N,N,N,N,N,N,N,N,N
28,N,N,N,N,N,N,N,N,N,N
29,N,N,N,N,N,N,N,N,N,N
30,N,N,N,N,N,N,N,N,N,N
31,N,N,N,N,N,N,N,N,N,N
32,N,N,N,N,N,N,N,N,N,N
33,N,N,N,N,N,N,N,N,N,N
34,N,N,N,N,N,N,N,N,N,N
35,N,N,N,N,N,N,N,N,N,N
36,N,N,N,N,N,N,N,N,N,N
37,N,N,N,N,N,N,N,N,N,N
38,N,N,N,N,N,N,N,N,N,N
39,N,N,N,N,N,N,N,N,N,N
40,N,N,N,N,N,N,N,N,N,N
41,N,N,N,N,N,N,N,N,N,N
42,N,N,N,N,N,N,N,N,N,N
43,N,N,N,N,N,N,N,N,N,N
