DATASET:,IRKIS
TIME UNIT:,minutes
FIRST TIMESTAMP:,2010-10-01 00:00:00
Time Delta,-10cm_A,-30cm_A,-50cm_A,-80cm_A,-120cm_A,-10cm_B,-30cm_B,-50cm_B,-80cm_B,-120cm_B
60,384,373,399,418,428,257,333,456,428,436
60,383,373,399,418,427,256,333,456,428,436
60,383,373,399,418,428,257,333,456,428,436
60,383,373,399,418,428,257,333,456,428,436
60,384,373,400,418,427,257,333,455,427,435
60,384,373,399,418,428,257,333,455,427,435
60,383,373,399,418,428,257,333,455,428,435
60,383,373,399,419,427,257,333,456,428,436
60,383,373,399,418,427,257,333,456,428,435
60,383,373,399,418,427,257,333,456,428,435
60,383,373,399,419,427,256,333,456,428,436
60,383,373,399,418,427,257,333,456,427,436
60,383,374,400,418,427,256,333,456,428,435
60,383,374,400,419,427,256,333,456,428,435
60,382,373,399,418,428,256,333,456,428,436
60,382,373,399,418,427,256,333,455,427,435
60,382,374,399,418,427,256,333,455,428,436
60,382,374,399,419,427,256,333,456,428,436
60,382,373,399,418,428,256,333,455,427,436
60,382,373,399,419,427,256,333,455,427,436
60,382,373,399,419,428,256,333,455,428,436
60,382,374,399,418,427,255,333,455,428,436
60,382,374,399,419,428,255,333,455,428,436
60,382,374,399,418,428,255,333,455,428,436
60,381,374,399,418,428,255,333,455,427,436
60,381,373,399,418,428,255,333,455,427,436
60,381,373,399,419,428,254,333,455,428,436
60,381,373,399,419,428,254,333,455,428,436
60,381,374,399,419,427,254,333,455,428,436
60,382,374,400,419,427,254,333,455,428,436
60,381,374,400,418,427,254,333,455,427,436
60,381,373,399,418,427,254,333,455,427,436
60,381,373,399,418,428,254,333,455,427,435
60,381,374,399,418,428,254,333,455,427,436
60,381,374,399,418,428,254,333,455,427,435
60,380,374,399,418,427,254,333,455,427,436
60,380,373,400,418,428,254,333,455,427,435
60,381,373,400,418,427,253,333,455,427,436
60,381,373,400,418,427,253,333,455,428,436
60,379,373,400,418,428,253,333,455,427,436
60,380,373,400,418,427,253,331,455,427,436
60,380,373,399,418,428,253,333,454,427,436
60,380,373,400,419,428,253,333,455,428,436
60,380,373,399,419,427,253,333,454,428,436
60,379,373,399,419,428,253,333,455,428,436
60,379,373,399,419,427,253,333,455,428,436
60,380,373,399,419,427,253,333,455,427,436
60,380,373,399,419,428,252,333,455,427,436
60,379,373,400,419,426,252,333,455,427,436
60,380,373,399,418,428,252,333,455,427,436
60,380,373,399,418,427,252,333,455,427,436
60,380,374,400,418,427,252,333,455,427,436
60,380,373,400,418,427,252,333,455,427,436
60,380,373,400,419,427,252,333,455,427,436
60,380,373,400,418,427,252,333,455,427,436
60,379,373,400,419,427,252,333,455,427,437
60,379,374,400,419,427,252,333,456,427,437
60,379,374,400,419,428,252,333,455,427,436
60,380,374,400,419,427,252,333,455,427,436
60,380,374,400,418,427,252,333,455,427,436
60,380,374,400,419,428,252,333,455,427,436
60,379,373,399,418,427,252,333,455,427,435
60,380,373,400,419,427,252,333,455,427,436
60,380,373,399,418,427,252,332,455,427,436
60,380,373,400,418,427,252,332,455,427,436
60,379,373,399,419,427,251,332,455,427,436
60,379,373,399,419,427,251,332,454,427,436
60,379,372,399,419,428,251,332,454,428,436
60,379,372,399,419,428,251,332,453,428,436
60,379,373,399,419,428,251,332,453,428,436
60,379,373,398,419,428,251,332,454,427,436
60,379,373,400,419,427,251,332,455,427,436
60,379,373,399,418,428,251,332,454,427,436
60,379,373,399,419,428,251,332,454,427,436
60,379,373,399,419,428,251,332,455,427,436
60,379,373,399,419,428,251,332,455,428,436
60,379,373,399,419,428,252,332,455,427,436
60,379,373,400,419,427,251,332,455,427,436
60,380,374,400,419,427,252,333,455,427,436
60,380,374,400,419,427,252,332,455,427,436
60,380,373,399,419,428,252,333,455,427,436
60,380,374,399,419,427,252,333,455,427,436
60,380,374,400,419,427,252,332,455,427,436
60,380,373,399,419,428,252,332,455,427,436
60,380,374,399,419,428,252,332,455,427,436
60,379,374,399,419,428,252,332,455,427,436
60,379,373,399,419,428,252,332,455,427,436
60,380,374,400,418,428,252,332,455,427,436
60,379,374,400,419,428,252,332,455,427,436
60,380,374,399,419,427,252,332,455,427,436
60,380,373,400,419,428,252,332,454,427,436
60,380,374,399,419,427,252,332,454,427,436
60,379,373,399,419,428,252,332,455,427,436
60,380,374,399,419,427,252,332,455,427,436
60,380,373,399,419,427,252,332,455,427,436
60,380,374,399,419,428,251,332,455,427,436
60,380,374,400,419,428,252,332,455,428,436
60,380,374,400,419,428,252,332,455,427,436
60,380,374,400,419,428,252,332,455,428,436
60,380,374,400,419,428,252,332,455,428,436
60,380,374,400,419,428,252,332,455,428,434
60,380,374,400,419,427,252,332,455,428,436
60,381,374,400,419,428,252,332,455,428,436
60,381,374,400,419,427,252,332,455,427,436
60,380,374,400,419,428,252,332,455,427,436
60,380,374,400,419,428,252,332,455,426,436
60,380,374,400,419,428,252,332,455,427,436
60,381,374,400,419,428,252,332,455,428,436
60,380,374,400,419,429,252,332,455,428,436
60,380,374,400,419,429,252,332,455,428,436
60,380,374,400,419,428,252,331,455,428,436
60,380,374,400,419,429,252,331,455,428,436
60,381,374,400,419,428,252,332,455,427,436
60,380,374,400,419,428,252,332,455,428,437
60,380,374,399,419,428,252,332,455,427,436
60,380,374,400,419,428,252,332,455,428,436
60,380,374,400,419,428,252,332,455,428,436
60,381,374,400,419,428,251,332,455,428,436
60,380,374,400,419,428,252,332,455,428,436
60,381,375,400,419,428,252,332,455,428,436
